K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 dgcnn
Train 0, loss: 1.587923, train acc: 0.313333, train avg acc: 0.314904
Test 0, loss: 1.554793, test acc: 0.250000, test avg acc: 0.250000
Train 1, loss: 2.131660, train acc: 0.240000, train avg acc: 0.238011
Test 1, loss: 1.972284, test acc: 0.400000, test avg acc: 0.386364
Train 2, loss: 2.475539, train acc: 0.273333, train avg acc: 0.271941
Test 2, loss: 5.787741, test acc: 0.225000, test avg acc: 0.211364
Train 3, loss: 2.999957, train acc: 0.233333, train avg acc: 0.231454
Test 3, loss: 4.653878, test acc: 0.250000, test avg acc: 0.251010
Train 4, loss: 2.941653, train acc: 0.273333, train avg acc: 0.272958
Test 4, loss: 6.171381, test acc: 0.175000, test avg acc: 0.186111
Train 5, loss: 2.961550, train acc: 0.280000, train avg acc: 0.279872
Test 5, loss: 5.561641, test acc: 0.275000, test avg acc: 0.288889
Train 6, loss: 2.750081, train acc: 0.266667, train avg acc: 0.264581
Test 6, loss: 5.078148, test acc: 0.250000, test avg acc: 0.263889
Train 7, loss: 2.744819, train acc: 0.260000, train avg acc: 0.263761
Test 7, loss: 3.415456, test acc: 0.125000, test avg acc: 0.130556
Train 8, loss: 2.472501, train acc: 0.246667, train avg acc: 0.242093
Test 8, loss: 2.045658, test acc: 0.300000, test avg acc: 0.311111
Train 9, loss: 2.311978, train acc: 0.293333, train avg acc: 0.290095
Test 9, loss: 2.046637, test acc: 0.275000, test avg acc: 0.286111
Train 10, loss: 1.885693, train acc: 0.313333, train avg acc: 0.311122
Test 10, loss: 1.669606, test acc: 0.200000, test avg acc: 0.216667
Train 11, loss: 1.846639, train acc: 0.300000, train avg acc: 0.299609
Test 11, loss: 1.826288, test acc: 0.200000, test avg acc: 0.208838
Train 12, loss: 1.765089, train acc: 0.313333, train avg acc: 0.312055
Test 12, loss: 1.785180, test acc: 0.250000, test avg acc: 0.251515
Train 13, loss: 1.732816, train acc: 0.320000, train avg acc: 0.324018
Test 13, loss: 1.804221, test acc: 0.325000, test avg acc: 0.324242
Train 14, loss: 1.565222, train acc: 0.313333, train avg acc: 0.310179
Test 14, loss: 1.489661, test acc: 0.275000, test avg acc: 0.300000
Train 15, loss: 1.490757, train acc: 0.273333, train avg acc: 0.272404
Test 15, loss: 1.443361, test acc: 0.225000, test avg acc: 0.233333
Train 16, loss: 1.488019, train acc: 0.313333, train avg acc: 0.315387
Test 16, loss: 1.430560, test acc: 0.300000, test avg acc: 0.322222
Train 17, loss: 1.482746, train acc: 0.306667, train avg acc: 0.307821
Test 17, loss: 1.413778, test acc: 0.350000, test avg acc: 0.354293
Train 18, loss: 1.476946, train acc: 0.306667, train avg acc: 0.304899
Test 18, loss: 1.390713, test acc: 0.375000, test avg acc: 0.373737
Train 19, loss: 1.453242, train acc: 0.320000, train avg acc: 0.319079
Test 19, loss: 1.416386, test acc: 0.300000, test avg acc: 0.302778
Train 20, loss: 1.449681, train acc: 0.286667, train avg acc: 0.283692
Test 20, loss: 1.387275, test acc: 0.400000, test avg acc: 0.411616
Train 21, loss: 1.388275, train acc: 0.333333, train avg acc: 0.329720
Test 21, loss: 1.333838, test acc: 0.325000, test avg acc: 0.332576
Train 22, loss: 1.434441, train acc: 0.253333, train avg acc: 0.253676
Test 22, loss: 1.323289, test acc: 0.425000, test avg acc: 0.422727
Train 23, loss: 1.434626, train acc: 0.273333, train avg acc: 0.272218
Test 23, loss: 1.313190, test acc: 0.425000, test avg acc: 0.426010
Train 24, loss: 1.367838, train acc: 0.380000, train avg acc: 0.377759
Test 24, loss: 1.316166, test acc: 0.400000, test avg acc: 0.408081
Train 25, loss: 1.372086, train acc: 0.353333, train avg acc: 0.350877
Test 25, loss: 1.322042, test acc: 0.400000, test avg acc: 0.397475
Train 26, loss: 1.362339, train acc: 0.380000, train avg acc: 0.377343
