K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.355340, train acc: 0.480000, train avg acc: 0.477494
Test 0, loss: 1.423201, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.411477, train acc: 0.533333, train avg acc: 0.535467
Test 1, loss: 2.452306, test acc: 0.325000, test avg acc: 0.305556
Train 2, loss: 1.362438, train acc: 0.686667, train avg acc: 0.689713
Test 2, loss: 2.776972, test acc: 0.325000, test avg acc: 0.305556
Train 3, loss: 1.563872, train acc: 0.533333, train avg acc: 0.536719
Test 3, loss: 3.217175, test acc: 0.350000, test avg acc: 0.325000
Train 4, loss: 1.627909, train acc: 0.613333, train avg acc: 0.616778
Test 4, loss: 1.884143, test acc: 0.625000, test avg acc: 0.611111
Train 5, loss: 1.704323, train acc: 0.606667, train avg acc: 0.610548
Test 5, loss: 1.771766, test acc: 0.600000, test avg acc: 0.597222
Train 6, loss: 1.744640, train acc: 0.506667, train avg acc: 0.506223
Test 6, loss: 1.777507, test acc: 0.650000, test avg acc: 0.644444
Train 7, loss: 1.614474, train acc: 0.593333, train avg acc: 0.585437
Test 7, loss: 1.410871, test acc: 0.725000, test avg acc: 0.725000
Train 8, loss: 1.490475, train acc: 0.693333, train avg acc: 0.702322
Test 8, loss: 1.309874, test acc: 0.725000, test avg acc: 0.716667
Train 9, loss: 1.354268, train acc: 0.666667, train avg acc: 0.668494
Test 9, loss: 1.127616, test acc: 0.725000, test avg acc: 0.715657
Train 10, loss: 1.380209, train acc: 0.640000, train avg acc: 0.647001
Test 10, loss: 1.154997, test acc: 0.675000, test avg acc: 0.666162
Train 11, loss: 1.346081, train acc: 0.646667, train avg acc: 0.651881
Test 11, loss: 1.184880, test acc: 0.750000, test avg acc: 0.744444
Train 12, loss: 1.416966, train acc: 0.620000, train avg acc: 0.626345
Test 12, loss: 1.296896, test acc: 0.600000, test avg acc: 0.593687
Train 13, loss: 1.433258, train acc: 0.640000, train avg acc: 0.642283
Test 13, loss: 1.312480, test acc: 0.800000, test avg acc: 0.797222
Train 14, loss: 1.407772, train acc: 0.653333, train avg acc: 0.653503
Test 14, loss: 1.405372, test acc: 0.650000, test avg acc: 0.641919
Train 15, loss: 1.506521, train acc: 0.620000, train avg acc: 0.622834
Test 15, loss: 1.333868, test acc: 0.750000, test avg acc: 0.750000
Train 16, loss: 1.272555, train acc: 0.593333, train avg acc: 0.594595
Test 16, loss: 1.280177, test acc: 0.775000, test avg acc: 0.750000
Train 17, loss: 1.252805, train acc: 0.720000, train avg acc: 0.717524
Test 17, loss: 1.129734, test acc: 0.800000, test avg acc: 0.800000
Train 18, loss: 1.200295, train acc: 0.700000, train avg acc: 0.697410
Test 18, loss: 1.113269, test acc: 0.700000, test avg acc: 0.699495
Train 19, loss: 1.129137, train acc: 0.720000, train avg acc: 0.719772
Test 19, loss: 1.010807, test acc: 0.775000, test avg acc: 0.755556
Train 20, loss: 1.160462, train acc: 0.673333, train avg acc: 0.681684
Test 20, loss: 1.037452, test acc: 0.800000, test avg acc: 0.797222
Train 21, loss: 1.128074, train acc: 0.766667, train avg acc: 0.768494
Test 21, loss: 0.997440, test acc: 0.775000, test avg acc: 0.755556
Train 22, loss: 1.036139, train acc: 0.780000, train avg acc: 0.773117
Test 22, loss: 0.984031, test acc: 0.800000, test avg acc: 0.783333
Train 23, loss: 1.058119, train acc: 0.753333, train avg acc: 0.751968
Test 23, loss: 0.985742, test acc: 0.775000, test avg acc: 0.766667
Train 24, loss: 1.070408, train acc: 0.713333, train avg acc: 0.714373
Test 24, loss: 0.987958, test acc: 0.775000, test avg acc: 0.758333
Train 25, loss: 1.055329, train acc: 0.780000, train avg acc: 0.781798
Test 25, loss: 0.967409, test acc: 0.775000, test avg acc: 0.758333
Train 26, loss: 1.045745, train acc: 0.753333, train avg acc: 0.754445
Test 26, loss: 0.943317, test acc: 0.775000, test avg acc: 0.755556
Train 27, loss: 1.050283, train acc: 0.700000, train avg acc: 0.711202
Test 27, loss: 0.961165, test acc: 0.775000, test avg acc: 0.763889
Train 28, loss: 1.037505, train acc: 0.766667, train avg acc: 0.767301
Test 28, loss: 0.969426, test acc: 0.825000, test avg acc: 0.811111
Train 29, loss: 0.986842, train acc: 0.773333, train avg acc: 0.777893
Test 29, loss: 0.942414, test acc: 0.800000, test avg acc: 0.783333
Train 30, loss: 1.035649, train acc: 0.800000, train avg acc: 0.801633
Test 30, loss: 0.974018, test acc: 0.825000, test avg acc: 0.819444
Train 31, loss: 1.033013, train acc: 0.766667, train avg acc: 0.766979
Test 31, loss: 0.948405, test acc: 0.850000, test avg acc: 0.844444
Train 32, loss: 1.048411, train acc: 0.753333, train avg acc: 0.748794
Test 32, loss: 0.923849, test acc: 0.775000, test avg acc: 0.752778
Train 33, loss: 0.995829, train acc: 0.773333, train avg acc: 0.784868
Test 33, loss: 0.923163, test acc: 0.775000, test avg acc: 0.772222
Train 34, loss: 0.980653, train acc: 0.813333, train avg acc: 0.809853
Test 34, loss: 0.959885, test acc: 0.775000, test avg acc: 0.772222
Train 35, loss: 0.977132, train acc: 0.806667, train avg acc: 0.806212
Test 35, loss: 0.925962, test acc: 0.800000, test avg acc: 0.788889
Train 36, loss: 0.986986, train acc: 0.780000, train avg acc: 0.790491
Test 36, loss: 0.919694, test acc: 0.825000, test avg acc: 0.816667
Train 37, loss: 0.998632, train acc: 0.773333, train avg acc: 0.780940
Test 37, loss: 0.918649, test acc: 0.825000, test avg acc: 0.808333
Train 38, loss: 0.972720, train acc: 0.780000, train avg acc: 0.784414
Test 38, loss: 0.927182, test acc: 0.850000, test avg acc: 0.844444
Train 39, loss: 0.986146, train acc: 0.786667, train avg acc: 0.791385
Test 39, loss: 0.947448, test acc: 0.825000, test avg acc: 0.816667
