K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.409418, train acc: 0.426667, train avg acc: 0.423420
Test 0, loss: 1.365463, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.393020, train acc: 0.553333, train avg acc: 0.556647
Test 1, loss: 1.852517, test acc: 0.450000, test avg acc: 0.427778
Train 2, loss: 1.414417, train acc: 0.620000, train avg acc: 0.624562
Test 2, loss: 2.512464, test acc: 0.325000, test avg acc: 0.305556
Train 3, loss: 1.470130, train acc: 0.626667, train avg acc: 0.627928
Test 3, loss: 2.579399, test acc: 0.450000, test avg acc: 0.436111
Train 4, loss: 1.678281, train acc: 0.573333, train avg acc: 0.576513
Test 4, loss: 2.134353, test acc: 0.500000, test avg acc: 0.483333
Train 5, loss: 1.647373, train acc: 0.646667, train avg acc: 0.647466
Test 5, loss: 2.404125, test acc: 0.600000, test avg acc: 0.588889
Train 6, loss: 1.613568, train acc: 0.680000, train avg acc: 0.680121
Test 6, loss: 1.692300, test acc: 0.675000, test avg acc: 0.661111
Train 7, loss: 1.721709, train acc: 0.573333, train avg acc: 0.567923
Test 7, loss: 1.314913, test acc: 0.725000, test avg acc: 0.716667
Train 8, loss: 1.579074, train acc: 0.573333, train avg acc: 0.580602
Test 8, loss: 1.255892, test acc: 0.700000, test avg acc: 0.686111
Train 9, loss: 1.513395, train acc: 0.620000, train avg acc: 0.623904
Test 9, loss: 1.373284, test acc: 0.675000, test avg acc: 0.655556
Train 10, loss: 1.490689, train acc: 0.606667, train avg acc: 0.617202
Test 10, loss: 1.499721, test acc: 0.550000, test avg acc: 0.552020
Train 11, loss: 1.261539, train acc: 0.666667, train avg acc: 0.672269
Test 11, loss: 1.053880, test acc: 0.725000, test avg acc: 0.717929
Train 12, loss: 1.308267, train acc: 0.640000, train avg acc: 0.644221
Test 12, loss: 1.067041, test acc: 0.725000, test avg acc: 0.716667
Train 13, loss: 1.334359, train acc: 0.673333, train avg acc: 0.670750
Test 13, loss: 1.239844, test acc: 0.750000, test avg acc: 0.747222
Train 14, loss: 1.341289, train acc: 0.693333, train avg acc: 0.695508
Test 14, loss: 1.174522, test acc: 0.550000, test avg acc: 0.557576
Train 15, loss: 1.407010, train acc: 0.600000, train avg acc: 0.603950
Test 15, loss: 1.201303, test acc: 0.750000, test avg acc: 0.747222
Train 16, loss: 1.240173, train acc: 0.706667, train avg acc: 0.707859
Test 16, loss: 1.062754, test acc: 0.750000, test avg acc: 0.738889
Train 17, loss: 1.182252, train acc: 0.746667, train avg acc: 0.743689
Test 17, loss: 1.083333, test acc: 0.700000, test avg acc: 0.688889
Train 18, loss: 1.153365, train acc: 0.733333, train avg acc: 0.736261
Test 18, loss: 1.073191, test acc: 0.700000, test avg acc: 0.703535
Train 19, loss: 1.170879, train acc: 0.733333, train avg acc: 0.731152
Test 19, loss: 1.132849, test acc: 0.875000, test avg acc: 0.869444
Train 20, loss: 1.187734, train acc: 0.706667, train avg acc: 0.709941
Test 20, loss: 1.080435, test acc: 0.650000, test avg acc: 0.656313
Train 21, loss: 1.098503, train acc: 0.726667, train avg acc: 0.726499
Test 21, loss: 0.957847, test acc: 0.800000, test avg acc: 0.783333
Train 22, loss: 1.088728, train acc: 0.780000, train avg acc: 0.773810
Test 22, loss: 0.995282, test acc: 0.800000, test avg acc: 0.783333
Train 23, loss: 1.073665, train acc: 0.766667, train avg acc: 0.763505
Test 23, loss: 0.943719, test acc: 0.800000, test avg acc: 0.791667
Train 24, loss: 1.078098, train acc: 0.733333, train avg acc: 0.732939
Test 24, loss: 0.980234, test acc: 0.825000, test avg acc: 0.811111
Train 25, loss: 1.080975, train acc: 0.773333, train avg acc: 0.774854
Test 25, loss: 0.972471, test acc: 0.800000, test avg acc: 0.791667
Train 26, loss: 0.992289, train acc: 0.773333, train avg acc: 0.773115
Test 26, loss: 0.934633, test acc: 0.800000, test avg acc: 0.786111
Train 27, loss: 1.014538, train acc: 0.773333, train avg acc: 0.779526
Test 27, loss: 0.939369, test acc: 0.875000, test avg acc: 0.869444
Train 28, loss: 1.011434, train acc: 0.753333, train avg acc: 0.754105
Test 28, loss: 0.947170, test acc: 0.825000, test avg acc: 0.811111
Train 29, loss: 0.956729, train acc: 0.806667, train avg acc: 0.809598
Test 29, loss: 0.919375, test acc: 0.800000, test avg acc: 0.780556
Train 30, loss: 1.014141, train acc: 0.773333, train avg acc: 0.772654
Test 30, loss: 0.931437, test acc: 0.775000, test avg acc: 0.761111
Train 31, loss: 0.997689, train acc: 0.766667, train avg acc: 0.767325
Test 31, loss: 0.962270, test acc: 0.775000, test avg acc: 0.772222
Train 32, loss: 1.015228, train acc: 0.740000, train avg acc: 0.737439
Test 32, loss: 0.918971, test acc: 0.800000, test avg acc: 0.783333
Train 33, loss: 0.995607, train acc: 0.786667, train avg acc: 0.796382
Test 33, loss: 0.935979, test acc: 0.850000, test avg acc: 0.844444
Train 34, loss: 0.967691, train acc: 0.780000, train avg acc: 0.774894
Test 34, loss: 0.923016, test acc: 0.825000, test avg acc: 0.819444
Train 35, loss: 0.974835, train acc: 0.773333, train avg acc: 0.772573
Test 35, loss: 0.920619, test acc: 0.800000, test avg acc: 0.786111
Train 36, loss: 0.985554, train acc: 0.766667, train avg acc: 0.775633
Test 36, loss: 0.925133, test acc: 0.800000, test avg acc: 0.786111
Train 37, loss: 1.010265, train acc: 0.766667, train avg acc: 0.774192
Test 37, loss: 0.926238, test acc: 0.800000, test avg acc: 0.783333
Train 38, loss: 0.991834, train acc: 0.773333, train avg acc: 0.774779
Test 38, loss: 0.938385, test acc: 0.800000, test avg acc: 0.797222
Train 39, loss: 0.993315, train acc: 0.806667, train avg acc: 0.810135
Test 39, loss: 0.920649, test acc: 0.800000, test avg acc: 0.786111
Train 40, loss: 0.961755, train acc: 0.806667, train avg acc: 0.807592
Test 40, loss: 0.923495, test acc: 0.775000, test avg acc: 0.755556
Train 41, loss: 0.944257, train acc: 0.820000, train avg acc: 0.825039
Test 41, loss: 0.922545, test acc: 0.800000, test avg acc: 0.794444
Train 42, loss: 1.006475, train acc: 0.733333, train avg acc: 0.729805
Test 42, loss: 0.916485, test acc: 0.825000, test avg acc: 0.813889
Train 43, loss: 0.957611, train acc: 0.800000, train avg acc: 0.806326
Test 43, loss: 0.912105, test acc: 0.775000, test avg acc: 0.755556
Train 44, loss: 0.958446, train acc: 0.786667, train avg acc: 0.793243
Test 44, loss: 0.925470, test acc: 0.850000, test avg acc: 0.841667
Train 45, loss: 0.955885, train acc: 0.786667, train avg acc: 0.795366
Test 45, loss: 0.934959, test acc: 0.750000, test avg acc: 0.744444
Train 46, loss: 0.992054, train acc: 0.793333, train avg acc: 0.801279
Test 46, loss: 0.922027, test acc: 0.825000, test avg acc: 0.813889
