K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 0, loss: 1.509405, train acc: 0.380000, train avg acc: 0.381816
Test 0, loss: 2.446662, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.402525, train acc: 0.540000, train avg acc: 0.540359
Test 1, loss: 10.300645, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.682487, train acc: 0.573333, train avg acc: 0.580982
Test 2, loss: 7.688851, test acc: 0.250000, test avg acc: 0.250000
Train 3, loss: 1.660161, train acc: 0.566667, train avg acc: 0.567212
Test 3, loss: 7.594407, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.972269, train acc: 0.520000, train avg acc: 0.525445
Test 4, loss: 7.271500, test acc: 0.300000, test avg acc: 0.275000
Train 5, loss: 1.900607, train acc: 0.553333, train avg acc: 0.557050
Test 5, loss: 2.294882, test acc: 0.325000, test avg acc: 0.305556
Train 6, loss: 2.045407, train acc: 0.500000, train avg acc: 0.498819
Test 6, loss: 1.552056, test acc: 0.550000, test avg acc: 0.538889
Train 7, loss: 2.410429, train acc: 0.566667, train avg acc: 0.570156
Test 7, loss: 1.606697, test acc: 0.625000, test avg acc: 0.616667
Train 8, loss: 2.087484, train acc: 0.606667, train avg acc: 0.615228
Test 8, loss: 1.956345, test acc: 0.625000, test avg acc: 0.613889
Train 9, loss: 2.035779, train acc: 0.553333, train avg acc: 0.561966
Test 9, loss: 1.899126, test acc: 0.575000, test avg acc: 0.565909
Train 10, loss: 2.568751, train acc: 0.480000, train avg acc: 0.487305
Test 10, loss: 1.083366, test acc: 0.575000, test avg acc: 0.557323
Train 11, loss: 1.592213, train acc: 0.566667, train avg acc: 0.569879
Test 11, loss: 1.371293, test acc: 0.525000, test avg acc: 0.542677
Train 12, loss: 1.465954, train acc: 0.673333, train avg acc: 0.684639
Test 12, loss: 2.055894, test acc: 0.450000, test avg acc: 0.451010
Train 13, loss: 1.729840, train acc: 0.640000, train avg acc: 0.644144
Test 13, loss: 1.431661, test acc: 0.775000, test avg acc: 0.761111
Train 14, loss: 1.303915, train acc: 0.633333, train avg acc: 0.630520
Test 14, loss: 1.344029, test acc: 0.650000, test avg acc: 0.631818
Train 15, loss: 1.340012, train acc: 0.700000, train avg acc: 0.695906
Test 15, loss: 1.398144, test acc: 0.775000, test avg acc: 0.755556
Train 16, loss: 1.244475, train acc: 0.713333, train avg acc: 0.716652
Test 16, loss: 1.461175, test acc: 0.675000, test avg acc: 0.663889
Train 17, loss: 1.308902, train acc: 0.706667, train avg acc: 0.710811
Test 17, loss: 1.260741, test acc: 0.850000, test avg acc: 0.838889
Train 18, loss: 1.367106, train acc: 0.633333, train avg acc: 0.633179
Test 18, loss: 1.111583, test acc: 0.800000, test avg acc: 0.783333
Train 19, loss: 1.198253, train acc: 0.693333, train avg acc: 0.700865
Test 19, loss: 1.147517, test acc: 0.700000, test avg acc: 0.691667
Train 20, loss: 1.202815, train acc: 0.680000, train avg acc: 0.685031
Test 20, loss: 0.948127, test acc: 0.800000, test avg acc: 0.800000
Train 21, loss: 1.182518, train acc: 0.720000, train avg acc: 0.722953
Test 21, loss: 0.951369, test acc: 0.825000, test avg acc: 0.808333
Train 22, loss: 1.236780, train acc: 0.673333, train avg acc: 0.677077
Test 22, loss: 1.118991, test acc: 0.725000, test avg acc: 0.719444
Train 23, loss: 1.186373, train acc: 0.746667, train avg acc: 0.748666
Test 23, loss: 1.199957, test acc: 0.775000, test avg acc: 0.758333
Train 24, loss: 1.420292, train acc: 0.600000, train avg acc: 0.610409
Test 24, loss: 1.065003, test acc: 0.750000, test avg acc: 0.727778
Train 25, loss: 1.167173, train acc: 0.713333, train avg acc: 0.717899
Test 25, loss: 1.081291, test acc: 0.800000, test avg acc: 0.786111
Train 26, loss: 1.183686, train acc: 0.740000, train avg acc: 0.741861
Test 26, loss: 1.139839, test acc: 0.825000, test avg acc: 0.811111
Train 27, loss: 1.134420, train acc: 0.693333, train avg acc: 0.697505
Test 27, loss: 0.951564, test acc: 0.825000, test avg acc: 0.819444
Train 28, loss: 1.129197, train acc: 0.693333, train avg acc: 0.698609
Test 28, loss: 1.017860, test acc: 0.750000, test avg acc: 0.741667
Train 29, loss: 1.176794, train acc: 0.733333, train avg acc: 0.736842
Test 29, loss: 1.079269, test acc: 0.775000, test avg acc: 0.755556
Train 30, loss: 1.063141, train acc: 0.780000, train avg acc: 0.781517
Test 30, loss: 0.973663, test acc: 0.775000, test avg acc: 0.763889
Train 31, loss: 1.027009, train acc: 0.726667, train avg acc: 0.722973
Test 31, loss: 0.907424, test acc: 0.850000, test avg acc: 0.841667
Train 32, loss: 1.105341, train acc: 0.693333, train avg acc: 0.699952
Test 32, loss: 0.912097, test acc: 0.825000, test avg acc: 0.813889
Train 33, loss: 1.099726, train acc: 0.773333, train avg acc: 0.775950
Test 33, loss: 0.941383, test acc: 0.750000, test avg acc: 0.747222
Train 34, loss: 1.011312, train acc: 0.760000, train avg acc: 0.758872
Test 34, loss: 1.049414, test acc: 0.700000, test avg acc: 0.691667
Train 35, loss: 1.122074, train acc: 0.673333, train avg acc: 0.682613
Test 35, loss: 0.965118, test acc: 0.800000, test avg acc: 0.780556
Train 36, loss: 1.041117, train acc: 0.753333, train avg acc: 0.755288
Test 36, loss: 0.961317, test acc: 0.750000, test avg acc: 0.736111
Train 37, loss: 1.083341, train acc: 0.673333, train avg acc: 0.672794
Test 37, loss: 0.939891, test acc: 0.750000, test avg acc: 0.747222
Train 38, loss: 1.065065, train acc: 0.706667, train avg acc: 0.712879
Test 38, loss: 0.990605, test acc: 0.800000, test avg acc: 0.780556
Train 39, loss: 1.056408, train acc: 0.720000, train avg acc: 0.734429
Test 39, loss: 0.981370, test acc: 0.800000, test avg acc: 0.783333
Train 40, loss: 1.055436, train acc: 0.753333, train avg acc: 0.755921
Test 40, loss: 0.920288, test acc: 0.825000, test avg acc: 0.813889
Train 41, loss: 0.986269, train acc: 0.793333, train avg acc: 0.793451
Test 41, loss: 0.909755, test acc: 0.850000, test avg acc: 0.836111
Train 42, loss: 1.050273, train acc: 0.760000, train avg acc: 0.769139
Test 42, loss: 0.901696, test acc: 0.850000, test avg acc: 0.844444
Train 43, loss: 1.019042, train acc: 0.773333, train avg acc: 0.762895
Test 43, loss: 0.943780, test acc: 0.850000, test avg acc: 0.844444
Train 44, loss: 1.031582, train acc: 0.753333, train avg acc: 0.747156
Test 44, loss: 0.924319, test acc: 0.800000, test avg acc: 0.791667
Train 45, loss: 1.017872, train acc: 0.773333, train avg acc: 0.776316
Test 45, loss: 0.904327, test acc: 0.850000, test avg acc: 0.836111
Train 46, loss: 1.049297, train acc: 0.706667, train avg acc: 0.715575
Test 46, loss: 0.912912, test acc: 0.825000, test avg acc: 0.808333
Train 47, loss: 0.965281, train acc: 0.800000, train avg acc: 0.802800
Test 47, loss: 0.919343, test acc: 0.825000, test avg acc: 0.816667
Train 48, loss: 0.971774, train acc: 0.786667, train avg acc: 0.790367
