K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 0, loss: 1.388101, train acc: 0.400000, train avg acc: 0.399921
Test 0, loss: 1.984556, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.516207, train acc: 0.606667, train avg acc: 0.606878
Test 1, loss: 13.048258, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.856802, train acc: 0.553333, train avg acc: 0.562455
Test 2, loss: 7.369362, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.914730, train acc: 0.613333, train avg acc: 0.612731
Test 3, loss: 8.958675, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 2.056729, train acc: 0.566667, train avg acc: 0.573394
Test 4, loss: 4.519267, test acc: 0.400000, test avg acc: 0.377778
Train 5, loss: 1.853185, train acc: 0.613333, train avg acc: 0.617899
Test 5, loss: 2.216533, test acc: 0.350000, test avg acc: 0.333333
Train 6, loss: 1.851612, train acc: 0.600000, train avg acc: 0.598564
Test 6, loss: 2.797934, test acc: 0.400000, test avg acc: 0.377778
Train 7, loss: 1.889607, train acc: 0.686667, train avg acc: 0.693134
Test 7, loss: 2.358620, test acc: 0.725000, test avg acc: 0.705051
Train 8, loss: 2.246298, train acc: 0.426667, train avg acc: 0.435325
Test 8, loss: 1.698828, test acc: 0.550000, test avg acc: 0.540152
Train 9, loss: 1.886767, train acc: 0.606667, train avg acc: 0.610043
Test 9, loss: 1.253610, test acc: 0.525000, test avg acc: 0.513384
Train 10, loss: 1.656111, train acc: 0.526667, train avg acc: 0.526928
Test 10, loss: 1.530410, test acc: 0.650000, test avg acc: 0.629545
Train 11, loss: 1.848817, train acc: 0.626667, train avg acc: 0.629445
Test 11, loss: 1.144415, test acc: 0.750000, test avg acc: 0.736111
Train 12, loss: 1.649489, train acc: 0.660000, train avg acc: 0.666650
Test 12, loss: 1.382646, test acc: 0.725000, test avg acc: 0.716667
