K: 25, local_K: 25, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 2.439545, train acc: 0.443750, train avg acc: 0.446721
Test 0, loss: 28.404176, test acc: 0.275000, test avg acc: 0.282576
Train 1, loss: 4.381263, train acc: 0.400000, train avg acc: 0.401231
Test 1, loss: 24.165503, test acc: 0.250000, test avg acc: 0.250000
Train 2, loss: 3.792357, train acc: 0.487500, train avg acc: 0.488739
Test 2, loss: 4.138162, test acc: 0.625000, test avg acc: 0.631818
Train 3, loss: 2.055496, train acc: 0.512500, train avg acc: 0.513778
Test 3, loss: 2.792000, test acc: 0.375000, test avg acc: 0.365909
Train 4, loss: 1.776194, train acc: 0.450000, train avg acc: 0.451720
Test 4, loss: 1.196423, test acc: 0.625000, test avg acc: 0.613636
Train 5, loss: 1.558013, train acc: 0.475000, train avg acc: 0.475317
Test 5, loss: 1.047304, test acc: 0.675000, test avg acc: 0.675000
Train 6, loss: 1.427583, train acc: 0.493750, train avg acc: 0.494837
Test 6, loss: 1.283513, test acc: 0.575000, test avg acc: 0.575000
Train 7, loss: 1.377695, train acc: 0.556250, train avg acc: 0.556879
Test 7, loss: 1.064332, test acc: 0.750000, test avg acc: 0.730556
Train 8, loss: 1.193206, train acc: 0.612500, train avg acc: 0.613962
Test 8, loss: 0.979204, test acc: 0.750000, test avg acc: 0.750000
Train 9, loss: 1.144118, train acc: 0.637500, train avg acc: 0.640807
Test 9, loss: 0.941907, test acc: 0.750000, test avg acc: 0.725000
Train 10, loss: 1.125767, train acc: 0.700000, train avg acc: 0.699625
Test 10, loss: 1.149854, test acc: 0.700000, test avg acc: 0.675000
Train 11, loss: 1.187742, train acc: 0.643750, train avg acc: 0.646783
Test 11, loss: 0.989106, test acc: 0.825000, test avg acc: 0.813889
Train 12, loss: 1.092537, train acc: 0.706250, train avg acc: 0.708497
Test 12, loss: 0.952132, test acc: 0.750000, test avg acc: 0.725000
Train 13, loss: 1.066670, train acc: 0.743750, train avg acc: 0.747248
Test 13, loss: 0.941458, test acc: 0.850000, test avg acc: 0.841667
Train 14, loss: 1.083824, train acc: 0.675000, train avg acc: 0.677705
Test 14, loss: 0.980178, test acc: 0.775000, test avg acc: 0.752778
Train 15, loss: 1.107390, train acc: 0.650000, train avg acc: 0.653010
Test 15, loss: 0.923069, test acc: 0.775000, test avg acc: 0.750000
Train 16, loss: 1.037757, train acc: 0.718750, train avg acc: 0.721783
Test 16, loss: 0.937787, test acc: 0.775000, test avg acc: 0.772222
Train 17, loss: 1.025755, train acc: 0.781250, train avg acc: 0.783673
Test 17, loss: 0.919046, test acc: 0.900000, test avg acc: 0.897222
Train 18, loss: 1.033157, train acc: 0.725000, train avg acc: 0.727416
Test 18, loss: 0.924473, test acc: 0.825000, test avg acc: 0.808333
Train 19, loss: 1.012419, train acc: 0.750000, train avg acc: 0.753033
Test 19, loss: 0.967717, test acc: 0.750000, test avg acc: 0.750000
Train 20, loss: 0.997946, train acc: 0.731250, train avg acc: 0.733681
Test 20, loss: 0.941855, test acc: 0.800000, test avg acc: 0.783333
Train 21, loss: 1.044527, train acc: 0.725000, train avg acc: 0.727416
Test 21, loss: 0.932147, test acc: 0.775000, test avg acc: 0.755556
Train 22, loss: 1.035476, train acc: 0.775000, train avg acc: 0.777736
Test 22, loss: 0.934219, test acc: 0.775000, test avg acc: 0.766667
Train 23, loss: 1.059520, train acc: 0.712500, train avg acc: 0.715990
Test 23, loss: 1.006514, test acc: 0.750000, test avg acc: 0.750000
Train 24, loss: 1.121755, train acc: 0.656250, train avg acc: 0.659733
Test 24, loss: 0.931638, test acc: 0.800000, test avg acc: 0.791667
Train 25, loss: 1.029640, train acc: 0.706250, train avg acc: 0.708216
