K: 25, local_K: 25, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 2.287964, train acc: 0.412500, train avg acc: 0.415623
Test 0, loss: 3.434111, test acc: 0.475000, test avg acc: 0.473232
Train 1, loss: 4.023535, train acc: 0.412500, train avg acc: 0.412946
Test 1, loss: 16.838673, test acc: 0.375000, test avg acc: 0.365909
Train 2, loss: 3.948677, train acc: 0.450000, train avg acc: 0.451704
Test 2, loss: 9.114567, test acc: 0.475000, test avg acc: 0.472727
Train 3, loss: 2.436829, train acc: 0.450000, train avg acc: 0.450782
Test 3, loss: 3.533875, test acc: 0.375000, test avg acc: 0.375000
Train 4, loss: 1.681342, train acc: 0.437500, train avg acc: 0.438907
Test 4, loss: 1.334860, test acc: 0.500000, test avg acc: 0.495455
Train 5, loss: 1.559205, train acc: 0.475000, train avg acc: 0.474683
Test 5, loss: 1.029261, test acc: 0.700000, test avg acc: 0.697222
Train 6, loss: 1.425844, train acc: 0.468750, train avg acc: 0.469997
Test 6, loss: 1.475458, test acc: 0.500000, test avg acc: 0.500000
Train 7, loss: 1.372847, train acc: 0.537500, train avg acc: 0.538313
Test 7, loss: 1.189877, test acc: 0.575000, test avg acc: 0.550000
Train 8, loss: 1.296723, train acc: 0.525000, train avg acc: 0.526278
Test 8, loss: 0.987909, test acc: 0.750000, test avg acc: 0.750000
Train 9, loss: 1.182397, train acc: 0.581250, train avg acc: 0.585342
Test 9, loss: 0.969206, test acc: 0.750000, test avg acc: 0.750000
Train 10, loss: 1.107180, train acc: 0.700000, train avg acc: 0.700426
Test 10, loss: 1.121247, test acc: 0.700000, test avg acc: 0.675000
Train 11, loss: 1.147168, train acc: 0.675000, train avg acc: 0.677255
Test 11, loss: 0.990239, test acc: 0.675000, test avg acc: 0.663889
Train 12, loss: 1.143410, train acc: 0.668750, train avg acc: 0.671447
Test 12, loss: 0.941759, test acc: 0.800000, test avg acc: 0.777778
Train 13, loss: 1.083037, train acc: 0.637500, train avg acc: 0.640502
Test 13, loss: 0.927883, test acc: 0.800000, test avg acc: 0.788889
Train 14, loss: 1.107646, train acc: 0.631250, train avg acc: 0.633810
Test 14, loss: 0.967067, test acc: 0.800000, test avg acc: 0.777778
Train 15, loss: 1.094595, train acc: 0.662500, train avg acc: 0.665045
Test 15, loss: 0.940524, test acc: 0.775000, test avg acc: 0.752778
Train 16, loss: 1.066479, train acc: 0.675000, train avg acc: 0.678627
Test 16, loss: 0.990490, test acc: 0.750000, test avg acc: 0.750000
Train 17, loss: 1.043963, train acc: 0.706250, train avg acc: 0.708521
Test 17, loss: 0.955128, test acc: 0.725000, test avg acc: 0.722222
Train 18, loss: 1.046724, train acc: 0.706250, train avg acc: 0.708048
Test 18, loss: 0.948591, test acc: 0.775000, test avg acc: 0.750000
Train 19, loss: 1.038965, train acc: 0.725000, train avg acc: 0.728193
Test 19, loss: 0.953753, test acc: 0.750000, test avg acc: 0.750000
Train 20, loss: 1.027311, train acc: 0.762500, train avg acc: 0.764474
Test 20, loss: 0.930310, test acc: 0.775000, test avg acc: 0.752778
Train 21, loss: 1.030933, train acc: 0.725000, train avg acc: 0.727103
Test 21, loss: 0.944265, test acc: 0.850000, test avg acc: 0.844444
Train 22, loss: 1.043115, train acc: 0.731250, train avg acc: 0.734604
Test 22, loss: 0.942764, test acc: 0.825000, test avg acc: 0.822222
Train 23, loss: 1.077104, train acc: 0.693750, train avg acc: 0.697858
Test 23, loss: 0.987409, test acc: 0.750000, test avg acc: 0.750000
Train 24, loss: 1.113962, train acc: 0.693750, train avg acc: 0.697385
Test 24, loss: 0.942249, test acc: 0.775000, test avg acc: 0.772222
Train 25, loss: 1.033800, train acc: 0.725000, train avg acc: 0.726958
Test 25, loss: 0.943063, test acc: 0.775000, test avg acc: 0.752778
Train 26, loss: 1.021185, train acc: 0.712500, train avg acc: 0.715830
Test 26, loss: 0.952251, test acc: 0.725000, test avg acc: 0.722222
Train 27, loss: 1.046757, train acc: 0.662500, train avg acc: 0.665365
Test 27, loss: 0.920089, test acc: 0.825000, test avg acc: 0.819444
Train 28, loss: 1.049195, train acc: 0.725000, train avg acc: 0.727728
Test 28, loss: 0.945987, test acc: 0.750000, test avg acc: 0.750000
Train 29, loss: 1.041519, train acc: 0.700000, train avg acc: 0.703475
Test 29, loss: 0.926387, test acc: 0.825000, test avg acc: 0.819444
Train 30, loss: 0.996087, train acc: 0.762500, train avg acc: 0.764482
Test 30, loss: 0.911309, test acc: 0.800000, test avg acc: 0.780556
Train 31, loss: 1.015856, train acc: 0.731250, train avg acc: 0.734748
Test 31, loss: 0.933247, test acc: 0.850000, test avg acc: 0.836111
Train 32, loss: 1.026385, train acc: 0.756250, train avg acc: 0.759596
Test 32, loss: 0.965272, test acc: 0.825000, test avg acc: 0.816667
Train 33, loss: 0.998167, train acc: 0.787500, train avg acc: 0.789619
Test 33, loss: 0.927213, test acc: 0.850000, test avg acc: 0.838889
Train 34, loss: 1.000376, train acc: 0.762500, train avg acc: 0.764009
Test 34, loss: 0.920057, test acc: 0.825000, test avg acc: 0.811111
Train 35, loss: 1.007071, train acc: 0.775000, train avg acc: 0.778186
Test 35, loss: 0.947968, test acc: 0.750000, test avg acc: 0.750000
Train 36, loss: 0.990966, train acc: 0.768750, train avg acc: 0.770267
Test 36, loss: 0.930143, test acc: 0.775000, test avg acc: 0.752778
Train 37, loss: 1.033536, train acc: 0.737500, train avg acc: 0.739923
Test 37, loss: 0.924685, test acc: 0.850000, test avg acc: 0.836111
Train 38, loss: 0.993678, train acc: 0.793750, train avg acc: 0.797561
Test 38, loss: 0.954162, test acc: 0.725000, test avg acc: 0.722222
Train 39, loss: 1.005910, train acc: 0.781250, train avg acc: 0.782774
Test 39, loss: 0.932072, test acc: 0.775000, test avg acc: 0.752778
Train 40, loss: 1.046620, train acc: 0.718750, train avg acc: 0.720693
Test 40, loss: 0.918786, test acc: 0.800000, test avg acc: 0.780556
Train 41, loss: 0.998415, train acc: 0.750000, train avg acc: 0.753490
Test 41, loss: 0.914258, test acc: 0.800000, test avg acc: 0.780556
Train 42, loss: 1.007743, train acc: 0.731250, train avg acc: 0.732575
Test 42, loss: 0.922101, test acc: 0.800000, test avg acc: 0.780556
Train 43, loss: 1.020641, train acc: 0.750000, train avg acc: 0.753948
Test 43, loss: 0.960533, test acc: 0.750000, test avg acc: 0.750000
Train 44, loss: 0.988910, train acc: 0.737500, train avg acc: 0.738544
Test 44, loss: 0.925933, test acc: 0.775000, test avg acc: 0.755556
Train 45, loss: 1.021970, train acc: 0.731250, train avg acc: 0.733505
Test 45, loss: 0.910383, test acc: 0.850000, test avg acc: 0.841667
Train 46, loss: 0.969180, train acc: 0.806250, train avg acc: 0.808529
Test 46, loss: 0.927467, test acc: 0.800000, test avg acc: 0.794444
Train 47, loss: 0.966929, train acc: 0.806250, train avg acc: 0.808071
Test 47, loss: 0.908408, test acc: 0.850000, test avg acc: 0.836111
Train 48, loss: 1.057255, train acc: 0.756250, train avg acc: 0.758978
Test 48, loss: 0.958182, test acc: 0.800000, test avg acc: 0.786111
Train 49, loss: 0.994550, train acc: 0.781250, train avg acc: 0.783337
Test 49, loss: 0.957682, test acc: 0.875000, test avg acc: 0.872222
Train 50, loss: 0.996169, train acc: 0.781250, train avg acc: 0.783384
Test 50, loss: 0.936231, test acc: 0.875000, test avg acc: 0.863889
Train 51, loss: 0.985620, train acc: 0.768750, train avg acc: 0.771334
Test 51, loss: 0.932864, test acc: 0.800000, test avg acc: 0.797222
Train 52, loss: 0.983304, train acc: 0.762500, train avg acc: 0.766151
Test 52, loss: 0.925979, test acc: 0.825000, test avg acc: 0.819444
Train 53, loss: 0.973651, train acc: 0.787500, train avg acc: 0.789329
Test 53, loss: 0.933313, test acc: 0.825000, test avg acc: 0.808333
Train 54, loss: 0.961407, train acc: 0.750000, train avg acc: 0.752873
Test 54, loss: 0.935763, test acc: 0.825000, test avg acc: 0.819444
Train 55, loss: 1.011782, train acc: 0.750000, train avg acc: 0.752584
Test 55, loss: 0.932412, test acc: 0.825000, test avg acc: 0.813889
Train 56, loss: 0.947051, train acc: 0.837500, train avg acc: 0.839169
Test 56, loss: 0.930942, test acc: 0.850000, test avg acc: 0.847222
Train 57, loss: 1.001127, train acc: 0.793750, train avg acc: 0.797104
Test 57, loss: 0.937077, test acc: 0.850000, test avg acc: 0.841667
Train 58, loss: 1.000563, train acc: 0.768750, train avg acc: 0.770884
Test 58, loss: 0.914677, test acc: 0.800000, test avg acc: 0.783333
Train 59, loss: 0.976890, train acc: 0.768750, train avg acc: 0.772104
Test 59, loss: 0.933019, test acc: 0.825000, test avg acc: 0.819444
Train 60, loss: 0.978816, train acc: 0.806250, train avg acc: 0.808994
Test 60, loss: 0.907886, test acc: 0.825000, test avg acc: 0.811111
Train 61, loss: 0.985718, train acc: 0.768750, train avg acc: 0.770884
Test 61, loss: 0.928347, test acc: 0.775000, test avg acc: 0.752778
Train 62, loss: 0.976098, train acc: 0.837500, train avg acc: 0.839634
Test 62, loss: 0.933294, test acc: 0.825000, test avg acc: 0.819444
Train 63, loss: 0.962024, train acc: 0.793750, train avg acc: 0.796341
Test 63, loss: 0.914213, test acc: 0.825000, test avg acc: 0.811111
Train 64, loss: 0.944119, train acc: 0.800000, train avg acc: 0.802736
Test 64, loss: 0.920953, test acc: 0.825000, test avg acc: 0.819444
Train 65, loss: 0.951611, train acc: 0.768750, train avg acc: 0.771494
Test 65, loss: 0.906945, test acc: 0.800000, test avg acc: 0.780556
Train 66, loss: 0.975403, train acc: 0.800000, train avg acc: 0.803049
Test 66, loss: 0.938682, test acc: 0.750000, test avg acc: 0.747222
Train 67, loss: 0.968222, train acc: 0.793750, train avg acc: 0.795884
Test 67, loss: 0.925577, test acc: 0.825000, test avg acc: 0.811111
Train 68, loss: 0.951081, train acc: 0.775000, train avg acc: 0.777736
Test 68, loss: 0.926042, test acc: 0.800000, test avg acc: 0.794444
Train 69, loss: 0.981227, train acc: 0.781250, train avg acc: 0.783232
Test 69, loss: 0.912014, test acc: 0.875000, test avg acc: 0.866667
Train 70, loss: 0.967997, train acc: 0.800000, train avg acc: 0.802584
Test 70, loss: 0.918368, test acc: 0.800000, test avg acc: 0.791667
Train 71, loss: 0.947726, train acc: 0.831250, train avg acc: 0.833064
Test 71, loss: 0.907120, test acc: 0.850000, test avg acc: 0.838889
Train 72, loss: 0.959606, train acc: 0.837500, train avg acc: 0.839474
