K: 25, local_K: 25, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 2.460744, train acc: 0.425000, train avg acc: 0.428291
Test 0, loss: 11.199142, test acc: 0.275000, test avg acc: 0.290404
Train 1, loss: 4.113972, train acc: 0.406250, train avg acc: 0.407481
Test 1, loss: 14.400165, test acc: 0.400000, test avg acc: 0.381818
Train 2, loss: 3.835762, train acc: 0.462500, train avg acc: 0.464372
Test 2, loss: 3.795554, test acc: 0.325000, test avg acc: 0.339394
Train 3, loss: 1.987530, train acc: 0.506250, train avg acc: 0.508787
Test 3, loss: 1.904271, test acc: 0.475000, test avg acc: 0.459091
Train 4, loss: 1.727844, train acc: 0.468750, train avg acc: 0.471553
Test 4, loss: 1.615349, test acc: 0.375000, test avg acc: 0.375000
Train 5, loss: 1.666845, train acc: 0.437500, train avg acc: 0.438723
Test 5, loss: 1.187953, test acc: 0.575000, test avg acc: 0.581818
Train 6, loss: 1.429312, train acc: 0.443750, train avg acc: 0.445270
Test 6, loss: 1.398204, test acc: 0.500000, test avg acc: 0.500000
Train 7, loss: 1.327501, train acc: 0.575000, train avg acc: 0.576278
Test 7, loss: 1.000209, test acc: 0.725000, test avg acc: 0.700000
Train 8, loss: 1.215923, train acc: 0.593750, train avg acc: 0.594403
Test 8, loss: 1.024699, test acc: 0.750000, test avg acc: 0.747222
Train 9, loss: 1.177409, train acc: 0.656250, train avg acc: 0.658802
Test 9, loss: 0.951908, test acc: 0.700000, test avg acc: 0.683333
Train 10, loss: 1.175843, train acc: 0.650000, train avg acc: 0.650723
Test 10, loss: 1.110490, test acc: 0.750000, test avg acc: 0.725000
Train 11, loss: 1.162623, train acc: 0.637500, train avg acc: 0.640205
Test 11, loss: 1.002038, test acc: 0.800000, test avg acc: 0.797222
Train 12, loss: 1.133711, train acc: 0.643750, train avg acc: 0.647233
Test 12, loss: 0.947076, test acc: 0.775000, test avg acc: 0.750000
Train 13, loss: 1.094169, train acc: 0.662500, train avg acc: 0.665494
Test 13, loss: 0.943939, test acc: 0.800000, test avg acc: 0.794444
Train 14, loss: 1.067313, train acc: 0.687500, train avg acc: 0.689611
Test 14, loss: 0.968171, test acc: 0.775000, test avg acc: 0.758333
Train 15, loss: 1.081722, train acc: 0.693750, train avg acc: 0.695853
Test 15, loss: 0.936436, test acc: 0.750000, test avg acc: 0.730556
Train 16, loss: 1.091136, train acc: 0.700000, train avg acc: 0.702720
Test 16, loss: 0.938538, test acc: 0.750000, test avg acc: 0.750000
Train 17, loss: 1.068140, train acc: 0.681250, train avg acc: 0.683802
Test 17, loss: 0.941578, test acc: 0.750000, test avg acc: 0.750000
Train 18, loss: 1.060286, train acc: 0.681250, train avg acc: 0.683673
Test 18, loss: 0.954104, test acc: 0.775000, test avg acc: 0.750000
Train 19, loss: 1.056029, train acc: 0.731250, train avg acc: 0.735045
Test 19, loss: 0.953403, test acc: 0.750000, test avg acc: 0.750000
Train 20, loss: 1.063680, train acc: 0.668750, train avg acc: 0.671943
Test 20, loss: 0.965606, test acc: 0.775000, test avg acc: 0.750000
Train 21, loss: 1.030466, train acc: 0.725000, train avg acc: 0.726501
Test 21, loss: 0.938355, test acc: 0.775000, test avg acc: 0.761111
Train 22, loss: 1.045046, train acc: 0.693750, train avg acc: 0.697393
Test 22, loss: 0.935629, test acc: 0.750000, test avg acc: 0.750000
Train 23, loss: 1.047057, train acc: 0.706250, train avg acc: 0.710510
Test 23, loss: 0.971054, test acc: 0.750000, test avg acc: 0.750000
Train 24, loss: 1.116583, train acc: 0.650000, train avg acc: 0.653322
Test 24, loss: 0.940601, test acc: 0.750000, test avg acc: 0.738889
Train 25, loss: 1.040939, train acc: 0.700000, train avg acc: 0.701958
Test 25, loss: 0.936861, test acc: 0.775000, test avg acc: 0.750000
Train 26, loss: 1.031583, train acc: 0.700000, train avg acc: 0.703170
Test 26, loss: 0.938591, test acc: 0.750000, test avg acc: 0.750000
Train 27, loss: 1.055050, train acc: 0.681250, train avg acc: 0.684596
