K: 25, local_K: 25, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 2.524405, train acc: 0.381250, train avg acc: 0.381856
Test 0, loss: 6.042025, test acc: 0.275000, test avg acc: 0.269697
Train 1, loss: 4.719900, train acc: 0.356250, train avg acc: 0.356696
Test 1, loss: 7.983778, test acc: 0.300000, test avg acc: 0.290909
Train 2, loss: 4.649402, train acc: 0.343750, train avg acc: 0.344485
Test 2, loss: 4.298558, test acc: 0.450000, test avg acc: 0.431818
Train 3, loss: 2.780036, train acc: 0.425000, train avg acc: 0.427009
Test 3, loss: 1.936414, test acc: 0.475000, test avg acc: 0.454545
Train 4, loss: 1.840102, train acc: 0.450000, train avg acc: 0.449844
Test 4, loss: 1.169518, test acc: 0.600000, test avg acc: 0.589646
Train 5, loss: 1.638559, train acc: 0.325000, train avg acc: 0.325590
Test 5, loss: 1.236085, test acc: 0.475000, test avg acc: 0.480808
Train 6, loss: 1.569135, train acc: 0.406250, train avg acc: 0.407649
Test 6, loss: 1.170212, test acc: 0.525000, test avg acc: 0.533586
Train 7, loss: 1.402266, train acc: 0.487500, train avg acc: 0.488145
Test 7, loss: 1.184432, test acc: 0.475000, test avg acc: 0.467929
Train 8, loss: 1.314635, train acc: 0.506250, train avg acc: 0.506590
Test 8, loss: 1.076227, test acc: 0.625000, test avg acc: 0.607323
Train 9, loss: 1.331518, train acc: 0.512500, train avg acc: 0.511894
Test 9, loss: 1.097280, test acc: 0.675000, test avg acc: 0.654545
Train 10, loss: 1.324445, train acc: 0.518750, train avg acc: 0.519692
Test 10, loss: 1.033006, test acc: 0.750000, test avg acc: 0.732828
Train 11, loss: 1.218879, train acc: 0.537500, train avg acc: 0.539732
Test 11, loss: 1.030814, test acc: 0.775000, test avg acc: 0.750000
Train 12, loss: 1.254142, train acc: 0.568750, train avg acc: 0.569098
Test 12, loss: 1.110676, test acc: 0.625000, test avg acc: 0.600000
Train 13, loss: 1.222550, train acc: 0.550000, train avg acc: 0.553291
Test 13, loss: 0.986704, test acc: 0.775000, test avg acc: 0.755556
Train 14, loss: 1.232932, train acc: 0.531250, train avg acc: 0.533154
Test 14, loss: 1.069085, test acc: 0.650000, test avg acc: 0.634091
Train 15, loss: 1.144518, train acc: 0.631250, train avg acc: 0.634260
Test 15, loss: 0.960004, test acc: 0.775000, test avg acc: 0.775000
Train 16, loss: 1.184579, train acc: 0.600000, train avg acc: 0.603010
Test 16, loss: 1.023958, test acc: 0.750000, test avg acc: 0.750000
Train 17, loss: 1.137024, train acc: 0.637500, train avg acc: 0.639427
Test 17, loss: 1.071828, test acc: 0.725000, test avg acc: 0.725000
