K: 10, local_K: 10, Batch: 5.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 5.837842, train acc: 0.337500, train avg acc: 0.338379
Test 0, loss: 23.379622, test acc: 0.100000, test avg acc: 0.097727
Train 1, loss: 7.176862, train acc: 0.237500, train avg acc: 0.237586
Test 1, loss: 3.520890, test acc: 0.175000, test avg acc: 0.175505
Train 2, loss: 3.705222, train acc: 0.343750, train avg acc: 0.344493
Test 2, loss: 3.130406, test acc: 0.275000, test avg acc: 0.275000
Train 3, loss: 2.514918, train acc: 0.312500, train avg acc: 0.312289
Test 3, loss: 2.250753, test acc: 0.350000, test avg acc: 0.329545
Train 4, loss: 2.505850, train acc: 0.331250, train avg acc: 0.331672
Test 4, loss: 2.091044, test acc: 0.325000, test avg acc: 0.318182
Train 5, loss: 2.191387, train acc: 0.306250, train avg acc: 0.306977
Test 5, loss: 1.486778, test acc: 0.375000, test avg acc: 0.364141
Train 6, loss: 2.000454, train acc: 0.337500, train avg acc: 0.339173
Test 6, loss: 1.636036, test acc: 0.425000, test avg acc: 0.423485
Train 7, loss: 1.639597, train acc: 0.343750, train avg acc: 0.344653
Test 7, loss: 1.322842, test acc: 0.425000, test avg acc: 0.420202
Train 8, loss: 1.536994, train acc: 0.368750, train avg acc: 0.369813
Test 8, loss: 1.184229, test acc: 0.500000, test avg acc: 0.506818
Train 9, loss: 1.488938, train acc: 0.387500, train avg acc: 0.388571
Test 9, loss: 1.367807, test acc: 0.450000, test avg acc: 0.445455
Train 10, loss: 1.514200, train acc: 0.362500, train avg acc: 0.363708
Test 10, loss: 1.230966, test acc: 0.525000, test avg acc: 0.522222
Train 11, loss: 1.389706, train acc: 0.406250, train avg acc: 0.409678
Test 11, loss: 1.145114, test acc: 0.600000, test avg acc: 0.586364
Train 12, loss: 1.335090, train acc: 0.437500, train avg acc: 0.438899
Test 12, loss: 1.209344, test acc: 0.475000, test avg acc: 0.481313
Train 13, loss: 1.319576, train acc: 0.468750, train avg acc: 0.470783
