K: 10, local_K: 10, Batch: 5.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 6.500895, train acc: 0.287500, train avg acc: 0.288067
Test 0, loss: 45.410260, test acc: 0.350000, test avg acc: 0.338384
Train 1, loss: 8.392629, train acc: 0.312500, train avg acc: 0.312762
Test 1, loss: 7.506763, test acc: 0.450000, test avg acc: 0.441162
Train 2, loss: 5.862607, train acc: 0.250000, train avg acc: 0.250856
Test 2, loss: 4.874558, test acc: 0.225000, test avg acc: 0.250000
Train 3, loss: 4.343259, train acc: 0.275000, train avg acc: 0.274445
Test 3, loss: 2.720606, test acc: 0.375000, test avg acc: 0.368434
Train 4, loss: 3.680581, train acc: 0.243750, train avg acc: 0.243211
Test 4, loss: 3.798373, test acc: 0.375000, test avg acc: 0.386364
Train 5, loss: 3.050936, train acc: 0.362500, train avg acc: 0.363548
Test 5, loss: 1.921470, test acc: 0.400000, test avg acc: 0.377778
Train 6, loss: 2.177771, train acc: 0.350000, train avg acc: 0.350879
Test 6, loss: 1.424230, test acc: 0.375000, test avg acc: 0.374747
Train 7, loss: 1.936258, train acc: 0.400000, train avg acc: 0.399668
Test 7, loss: 1.664870, test acc: 0.200000, test avg acc: 0.202778
Train 8, loss: 1.891517, train acc: 0.350000, train avg acc: 0.350590
Test 8, loss: 1.562313, test acc: 0.375000, test avg acc: 0.363636
Train 9, loss: 1.485854, train acc: 0.400000, train avg acc: 0.400598
Test 9, loss: 1.453898, test acc: 0.450000, test avg acc: 0.442929
Train 10, loss: 1.583802, train acc: 0.350000, train avg acc: 0.350895
Test 10, loss: 1.358440, test acc: 0.500000, test avg acc: 0.497222
Train 11, loss: 1.476445, train acc: 0.418750, train avg acc: 0.419837
Test 11, loss: 1.395191, test acc: 0.475000, test avg acc: 0.486111
Train 12, loss: 1.428445, train acc: 0.412500, train avg acc: 0.413403
Test 12, loss: 1.473900, test acc: 0.275000, test avg acc: 0.278788
Train 13, loss: 1.429108, train acc: 0.406250, train avg acc: 0.407192
Test 13, loss: 1.299954, test acc: 0.400000, test avg acc: 0.422222
Train 14, loss: 1.414266, train acc: 0.406250, train avg acc: 0.406879
Test 14, loss: 1.332548, test acc: 0.375000, test avg acc: 0.388636
Train 15, loss: 1.281251, train acc: 0.468750, train avg acc: 0.468906
Test 15, loss: 1.264364, test acc: 0.525000, test avg acc: 0.516162
Train 16, loss: 1.352553, train acc: 0.437500, train avg acc: 0.439052
Test 16, loss: 1.351191, test acc: 0.400000, test avg acc: 0.395707
Train 17, loss: 1.344368, train acc: 0.431250, train avg acc: 0.432192
Test 17, loss: 1.398863, test acc: 0.375000, test avg acc: 0.363636
Train 18, loss: 1.299387, train acc: 0.462500, train avg acc: 0.464822
Test 18, loss: 1.363876, test acc: 0.425000, test avg acc: 0.431818
Train 19, loss: 1.284860, train acc: 0.487500, train avg acc: 0.489228
Test 19, loss: 1.238326, test acc: 0.550000, test avg acc: 0.556818
Train 20, loss: 1.274147, train acc: 0.487500, train avg acc: 0.490029
Test 20, loss: 1.096195, test acc: 0.650000, test avg acc: 0.638889
Train 21, loss: 1.386916, train acc: 0.443750, train avg acc: 0.446857
Test 21, loss: 1.112506, test acc: 0.600000, test avg acc: 0.602273
Train 22, loss: 1.277986, train acc: 0.518750, train avg acc: 0.519876
Test 22, loss: 1.149096, test acc: 0.675000, test avg acc: 0.669444
Train 23, loss: 1.363189, train acc: 0.518750, train avg acc: 0.520294
Test 23, loss: 1.107433, test acc: 0.625000, test avg acc: 0.608333
Train 24, loss: 1.225600, train acc: 0.537500, train avg acc: 0.540502
Test 24, loss: 1.157285, test acc: 0.625000, test avg acc: 0.613889
Train 25, loss: 1.218898, train acc: 0.543750, train avg acc: 0.546126
Test 25, loss: 1.100783, test acc: 0.725000, test avg acc: 0.700000
Train 26, loss: 1.280663, train acc: 0.487500, train avg acc: 0.490631
Test 26, loss: 1.213708, test acc: 0.425000, test avg acc: 0.409091
Train 27, loss: 1.226228, train acc: 0.575000, train avg acc: 0.575965
Test 27, loss: 1.155201, test acc: 0.525000, test avg acc: 0.500000
Train 28, loss: 1.216807, train acc: 0.556250, train avg acc: 0.559260
Test 28, loss: 1.082052, test acc: 0.700000, test avg acc: 0.697222
Train 29, loss: 1.145117, train acc: 0.631250, train avg acc: 0.633787
Test 29, loss: 1.297849, test acc: 0.450000, test avg acc: 0.444444
Train 30, loss: 1.185423, train acc: 0.562500, train avg acc: 0.565357
Test 30, loss: 1.089442, test acc: 0.650000, test avg acc: 0.625000
Train 31, loss: 1.179721, train acc: 0.631250, train avg acc: 0.634572
Test 31, loss: 1.142782, test acc: 0.575000, test avg acc: 0.575000
Train 32, loss: 1.092107, train acc: 0.662500, train avg acc: 0.665228
Test 32, loss: 1.158467, test acc: 0.575000, test avg acc: 0.558333
Train 33, loss: 1.225136, train acc: 0.587500, train avg acc: 0.591119
Test 33, loss: 1.186967, test acc: 0.475000, test avg acc: 0.481818
Train 34, loss: 1.192444, train acc: 0.606250, train avg acc: 0.607544
Test 34, loss: 1.106000, test acc: 0.575000, test avg acc: 0.552273
Train 35, loss: 1.170373, train acc: 0.631250, train avg acc: 0.634107
Test 35, loss: 1.191014, test acc: 0.450000, test avg acc: 0.450000
Train 36, loss: 1.187873, train acc: 0.587500, train avg acc: 0.587551
Test 36, loss: 1.205672, test acc: 0.675000, test avg acc: 0.652273
Train 37, loss: 1.154250, train acc: 0.612500, train avg acc: 0.615205
Test 37, loss: 1.114970, test acc: 0.725000, test avg acc: 0.702778
Train 38, loss: 1.199496, train acc: 0.593750, train avg acc: 0.597385
Test 38, loss: 1.191566, test acc: 0.550000, test avg acc: 0.550000
Train 39, loss: 1.175054, train acc: 0.618750, train avg acc: 0.621607
Test 39, loss: 1.088324, test acc: 0.575000, test avg acc: 0.550000
Train 40, loss: 1.204101, train acc: 0.612500, train avg acc: 0.615189
Test 40, loss: 1.202798, test acc: 0.525000, test avg acc: 0.502273
Train 41, loss: 1.248475, train acc: 0.562500, train avg acc: 0.565021
Test 41, loss: 1.163265, test acc: 0.575000, test avg acc: 0.556818
Train 42, loss: 1.130762, train acc: 0.568750, train avg acc: 0.572971
Test 42, loss: 1.068401, test acc: 0.650000, test avg acc: 0.638889
Train 43, loss: 1.235270, train acc: 0.543750, train avg acc: 0.546416
Test 43, loss: 1.022914, test acc: 0.725000, test avg acc: 0.713889
Train 44, loss: 1.125409, train acc: 0.650000, train avg acc: 0.652400
Test 44, loss: 1.016040, test acc: 0.700000, test avg acc: 0.675000
Train 45, loss: 1.195012, train acc: 0.575000, train avg acc: 0.579229
Test 45, loss: 1.164073, test acc: 0.475000, test avg acc: 0.479545
Train 46, loss: 1.120160, train acc: 0.643750, train avg acc: 0.646310
Test 46, loss: 1.106882, test acc: 0.675000, test avg acc: 0.675000
Train 47, loss: 1.167014, train acc: 0.612500, train avg acc: 0.615365
Test 47, loss: 1.074368, test acc: 0.700000, test avg acc: 0.700000
