K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.365695, train acc: 0.440000, train avg acc: 0.441463
Test 0, loss: 1.571333, test acc: 0.250000, test avg acc: 0.250000
Train 1, loss: 1.266035, train acc: 0.660000, train avg acc: 0.663273
Test 1, loss: 2.552514, test acc: 0.250000, test avg acc: 0.250000
Train 2, loss: 1.556054, train acc: 0.566667, train avg acc: 0.571422
Test 2, loss: 3.110678, test acc: 0.325000, test avg acc: 0.318182
Train 3, loss: 1.475446, train acc: 0.593333, train avg acc: 0.596359
Test 3, loss: 2.266191, test acc: 0.450000, test avg acc: 0.451768
Train 4, loss: 1.494618, train acc: 0.653333, train avg acc: 0.651188
Test 4, loss: 2.598600, test acc: 0.475000, test avg acc: 0.450000
Train 5, loss: 1.785644, train acc: 0.566667, train avg acc: 0.567810
Test 5, loss: 3.254912, test acc: 0.450000, test avg acc: 0.459091
Train 6, loss: 2.051002, train acc: 0.500000, train avg acc: 0.504020
Test 6, loss: 1.760930, test acc: 0.600000, test avg acc: 0.575000
Train 7, loss: 1.686706, train acc: 0.593333, train avg acc: 0.598480
Test 7, loss: 1.269475, test acc: 0.700000, test avg acc: 0.699495
Train 8, loss: 1.756490, train acc: 0.580000, train avg acc: 0.580408
Test 8, loss: 1.317165, test acc: 0.750000, test avg acc: 0.738889
Train 9, loss: 1.670788, train acc: 0.633333, train avg acc: 0.634169
Test 9, loss: 1.626741, test acc: 0.775000, test avg acc: 0.766667
Train 10, loss: 1.635696, train acc: 0.640000, train avg acc: 0.644863
Test 10, loss: 1.159292, test acc: 0.725000, test avg acc: 0.702778
Train 11, loss: 1.326875, train acc: 0.640000, train avg acc: 0.636878
Test 11, loss: 1.157522, test acc: 0.675000, test avg acc: 0.671717
Train 12, loss: 1.275289, train acc: 0.693333, train avg acc: 0.697330
Test 12, loss: 1.230307, test acc: 0.725000, test avg acc: 0.713384
Train 13, loss: 1.268743, train acc: 0.706667, train avg acc: 0.709510
Test 13, loss: 1.140626, test acc: 0.750000, test avg acc: 0.738384
Train 14, loss: 1.308825, train acc: 0.633333, train avg acc: 0.641215
Test 14, loss: 1.094634, test acc: 0.725000, test avg acc: 0.713889
Train 15, loss: 1.211930, train acc: 0.646667, train avg acc: 0.647123
Test 15, loss: 1.168642, test acc: 0.825000, test avg acc: 0.813889
Train 16, loss: 1.228306, train acc: 0.686667, train avg acc: 0.683818
Test 16, loss: 1.070286, test acc: 0.775000, test avg acc: 0.761111
Train 17, loss: 1.145899, train acc: 0.706667, train avg acc: 0.709430
Test 17, loss: 1.106720, test acc: 0.750000, test avg acc: 0.738889
Train 18, loss: 1.200022, train acc: 0.706667, train avg acc: 0.692861
Test 18, loss: 1.076611, test acc: 0.775000, test avg acc: 0.761111
Train 19, loss: 1.126134, train acc: 0.746667, train avg acc: 0.751213
Test 19, loss: 1.007097, test acc: 0.825000, test avg acc: 0.813889
Train 20, loss: 1.176981, train acc: 0.640000, train avg acc: 0.648490
Test 20, loss: 1.054898, test acc: 0.775000, test avg acc: 0.775000
Train 21, loss: 1.131243, train acc: 0.680000, train avg acc: 0.680786
Test 21, loss: 0.983454, test acc: 0.825000, test avg acc: 0.811111
Train 22, loss: 1.082626, train acc: 0.733333, train avg acc: 0.739429
Test 22, loss: 0.997007, test acc: 0.725000, test avg acc: 0.705556
Train 23, loss: 1.052720, train acc: 0.760000, train avg acc: 0.763124
Test 23, loss: 0.971930, test acc: 0.750000, test avg acc: 0.738889
Train 24, loss: 1.028586, train acc: 0.733333, train avg acc: 0.725000
Test 24, loss: 0.948723, test acc: 0.750000, test avg acc: 0.736111
Train 25, loss: 1.003985, train acc: 0.780000, train avg acc: 0.782580
Test 25, loss: 0.978437, test acc: 0.800000, test avg acc: 0.783333
Train 26, loss: 1.036937, train acc: 0.746667, train avg acc: 0.751754
