K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.352749, train acc: 0.426667, train avg acc: 0.431370
Test 0, loss: 2.193335, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.387682, train acc: 0.560000, train avg acc: 0.559438
Test 1, loss: 8.461588, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.516444, train acc: 0.613333, train avg acc: 0.617052
Test 2, loss: 13.048220, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.615387, train acc: 0.606667, train avg acc: 0.606330
Test 3, loss: 12.866776, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.580599, train acc: 0.560000, train avg acc: 0.569253
Test 4, loss: 9.841971, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 1.662259, train acc: 0.580000, train avg acc: 0.584398
Test 5, loss: 2.933147, test acc: 0.275000, test avg acc: 0.250000
Train 6, loss: 1.702146, train acc: 0.593333, train avg acc: 0.600468
Test 6, loss: 3.887127, test acc: 0.300000, test avg acc: 0.275000
Train 7, loss: 1.594846, train acc: 0.680000, train avg acc: 0.681754
Test 7, loss: 1.889122, test acc: 0.475000, test avg acc: 0.455556
Train 8, loss: 1.551443, train acc: 0.640000, train avg acc: 0.641134
Test 8, loss: 1.469367, test acc: 0.650000, test avg acc: 0.636111
Train 9, loss: 1.530783, train acc: 0.653333, train avg acc: 0.660791
Test 9, loss: 1.150987, test acc: 0.750000, test avg acc: 0.738889
Train 10, loss: 1.535800, train acc: 0.633333, train avg acc: 0.630315
Test 10, loss: 1.414834, test acc: 0.675000, test avg acc: 0.661111
Train 11, loss: 1.484396, train acc: 0.666667, train avg acc: 0.668208
Test 11, loss: 1.201552, test acc: 0.750000, test avg acc: 0.736111
Train 12, loss: 1.397038, train acc: 0.660000, train avg acc: 0.667720
Test 12, loss: 1.247445, test acc: 0.700000, test avg acc: 0.677273
Train 13, loss: 1.266691, train acc: 0.653333, train avg acc: 0.654193
Test 13, loss: 1.072784, test acc: 0.775000, test avg acc: 0.755556
Train 14, loss: 1.181485, train acc: 0.700000, train avg acc: 0.694577
Test 14, loss: 1.025488, test acc: 0.775000, test avg acc: 0.762879
Train 15, loss: 1.188572, train acc: 0.666667, train avg acc: 0.662281
Test 15, loss: 1.130456, test acc: 0.725000, test avg acc: 0.711111
Train 16, loss: 1.181529, train acc: 0.700000, train avg acc: 0.702424
Test 16, loss: 0.996512, test acc: 0.775000, test avg acc: 0.755556
Train 17, loss: 1.093461, train acc: 0.733333, train avg acc: 0.740184
Test 17, loss: 1.074975, test acc: 0.775000, test avg acc: 0.752778
Train 18, loss: 1.135889, train acc: 0.700000, train avg acc: 0.700036
Test 18, loss: 0.997651, test acc: 0.675000, test avg acc: 0.663384
Train 19, loss: 1.171287, train acc: 0.693333, train avg acc: 0.698371
Test 19, loss: 1.082054, test acc: 0.800000, test avg acc: 0.780556
Train 20, loss: 1.149958, train acc: 0.746667, train avg acc: 0.747748
Test 20, loss: 1.014004, test acc: 0.750000, test avg acc: 0.735101
Train 21, loss: 1.151461, train acc: 0.666667, train avg acc: 0.670322
Test 21, loss: 1.034536, test acc: 0.800000, test avg acc: 0.794444
Train 22, loss: 1.096110, train acc: 0.753333, train avg acc: 0.755425
Test 22, loss: 0.948484, test acc: 0.800000, test avg acc: 0.780556
Train 23, loss: 1.031983, train acc: 0.753333, train avg acc: 0.760225
Test 23, loss: 0.980438, test acc: 0.775000, test avg acc: 0.763889
Train 24, loss: 1.018122, train acc: 0.793333, train avg acc: 0.791804
Test 24, loss: 0.962430, test acc: 0.750000, test avg acc: 0.733333
Train 25, loss: 1.034763, train acc: 0.740000, train avg acc: 0.744450
Test 25, loss: 0.939973, test acc: 0.725000, test avg acc: 0.702778
Train 26, loss: 1.000339, train acc: 0.753333, train avg acc: 0.756414
Test 26, loss: 0.934131, test acc: 0.825000, test avg acc: 0.813889
Train 27, loss: 1.032460, train acc: 0.733333, train avg acc: 0.737353
Test 27, loss: 0.962240, test acc: 0.825000, test avg acc: 0.816667
Train 28, loss: 1.039370, train acc: 0.773333, train avg acc: 0.775485
Test 28, loss: 0.938722, test acc: 0.775000, test avg acc: 0.766667
Train 29, loss: 1.029900, train acc: 0.720000, train avg acc: 0.722588
