K: 15, local_K: 15, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 2.524934, train acc: 0.437500, train avg acc: 0.439204
Test 0, loss: 15.041036, test acc: 0.250000, test avg acc: 0.272727
Train 1, loss: 4.307699, train acc: 0.443750, train avg acc: 0.445493
Test 1, loss: 11.093357, test acc: 0.375000, test avg acc: 0.375000
Train 2, loss: 3.572527, train acc: 0.437500, train avg acc: 0.438266
Test 2, loss: 3.987531, test acc: 0.525000, test avg acc: 0.507828
Train 3, loss: 3.160894, train acc: 0.350000, train avg acc: 0.349973
Test 3, loss: 1.751305, test acc: 0.450000, test avg acc: 0.439141
Train 4, loss: 2.100505, train acc: 0.418750, train avg acc: 0.421576
Test 4, loss: 1.670076, test acc: 0.400000, test avg acc: 0.406566
Train 5, loss: 1.455346, train acc: 0.506250, train avg acc: 0.508787
Test 5, loss: 1.243149, test acc: 0.475000, test avg acc: 0.484343
Train 6, loss: 1.431765, train acc: 0.562500, train avg acc: 0.565029
Test 6, loss: 1.197064, test acc: 0.575000, test avg acc: 0.566162
Train 7, loss: 1.273304, train acc: 0.575000, train avg acc: 0.576118
Test 7, loss: 1.074862, test acc: 0.725000, test avg acc: 0.700000
Train 8, loss: 1.290204, train acc: 0.543750, train avg acc: 0.546576
Test 8, loss: 1.005172, test acc: 0.775000, test avg acc: 0.750000
Train 9, loss: 1.198648, train acc: 0.618750, train avg acc: 0.621920
Test 9, loss: 1.118834, test acc: 0.700000, test avg acc: 0.700000
Train 10, loss: 1.232489, train acc: 0.543750, train avg acc: 0.545814
Test 10, loss: 1.097184, test acc: 0.500000, test avg acc: 0.492424
Train 11, loss: 1.204711, train acc: 0.637500, train avg acc: 0.638817
Test 11, loss: 1.045694, test acc: 0.750000, test avg acc: 0.725000
Train 12, loss: 1.131475, train acc: 0.656250, train avg acc: 0.659123
Test 12, loss: 0.997534, test acc: 0.750000, test avg acc: 0.736111
Train 13, loss: 1.129318, train acc: 0.625000, train avg acc: 0.627240
Test 13, loss: 1.011868, test acc: 0.825000, test avg acc: 0.811111
Train 14, loss: 1.048249, train acc: 0.712500, train avg acc: 0.715076
Test 14, loss: 1.006369, test acc: 0.775000, test avg acc: 0.766667
Train 15, loss: 1.081792, train acc: 0.712500, train avg acc: 0.714458
Test 15, loss: 0.980495, test acc: 0.725000, test avg acc: 0.713889
Train 16, loss: 1.121117, train acc: 0.675000, train avg acc: 0.676943
Test 16, loss: 1.028415, test acc: 0.725000, test avg acc: 0.716667
Train 17, loss: 1.082885, train acc: 0.700000, train avg acc: 0.703186
Test 17, loss: 1.094543, test acc: 0.725000, test avg acc: 0.727273
Train 18, loss: 1.140531, train acc: 0.668750, train avg acc: 0.671158
Test 18, loss: 0.970540, test acc: 0.775000, test avg acc: 0.752778
Train 19, loss: 1.113866, train acc: 0.637500, train avg acc: 0.638465
Test 19, loss: 0.969615, test acc: 0.775000, test avg acc: 0.750000
Train 20, loss: 1.155608, train acc: 0.650000, train avg acc: 0.652826
Test 20, loss: 1.061704, test acc: 0.725000, test avg acc: 0.725000
Train 21, loss: 1.080924, train acc: 0.668750, train avg acc: 0.671646
Test 21, loss: 1.010111, test acc: 0.800000, test avg acc: 0.788889
Train 22, loss: 1.090956, train acc: 0.668750, train avg acc: 0.671623
Test 22, loss: 1.007821, test acc: 0.750000, test avg acc: 0.750000
Train 23, loss: 1.043056, train acc: 0.743750, train avg acc: 0.746189
Test 23, loss: 0.988163, test acc: 0.725000, test avg acc: 0.722222
Train 24, loss: 1.072307, train acc: 0.662500, train avg acc: 0.665525
Test 24, loss: 1.000716, test acc: 0.750000, test avg acc: 0.750000
Train 25, loss: 1.041021, train acc: 0.681250, train avg acc: 0.684283
Test 25, loss: 1.010507, test acc: 0.725000, test avg acc: 0.725000
Train 26, loss: 1.060716, train acc: 0.762500, train avg acc: 0.763712
Test 26, loss: 0.992541, test acc: 0.775000, test avg acc: 0.750000
Train 27, loss: 1.117265, train acc: 0.662500, train avg acc: 0.665830
Test 27, loss: 0.978922, test acc: 0.775000, test avg acc: 0.769444
Train 28, loss: 1.069056, train acc: 0.700000, train avg acc: 0.703940
Test 28, loss: 0.967708, test acc: 0.750000, test avg acc: 0.747222
Train 29, loss: 1.045017, train acc: 0.700000, train avg acc: 0.701059
Test 29, loss: 0.964014, test acc: 0.800000, test avg acc: 0.777778
Train 30, loss: 1.036658, train acc: 0.718750, train avg acc: 0.723163
Test 30, loss: 0.975174, test acc: 0.750000, test avg acc: 0.750000
Train 31, loss: 1.018048, train acc: 0.781250, train avg acc: 0.782462
Test 31, loss: 0.978601, test acc: 0.775000, test avg acc: 0.750000
Train 32, loss: 1.016792, train acc: 0.731250, train avg acc: 0.733818
Test 32, loss: 0.996785, test acc: 0.750000, test avg acc: 0.744444
Train 33, loss: 1.063397, train acc: 0.687500, train avg acc: 0.690815
Test 33, loss: 0.954588, test acc: 0.725000, test avg acc: 0.719444
Train 34, loss: 1.067348, train acc: 0.725000, train avg acc: 0.726814
