K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.313095, train acc: 0.446667, train avg acc: 0.450231
Test 0, loss: 2.415429, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.385054, train acc: 0.613333, train avg acc: 0.616634
Test 1, loss: 8.197877, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.778114, train acc: 0.640000, train avg acc: 0.645084
Test 2, loss: 7.395602, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 2.004105, train acc: 0.566667, train avg acc: 0.567034
Test 3, loss: 6.589639, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.679464, train acc: 0.573333, train avg acc: 0.585488
Test 4, loss: 4.315039, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 1.882237, train acc: 0.506667, train avg acc: 0.512694
Test 5, loss: 4.242691, test acc: 0.425000, test avg acc: 0.423990
Train 6, loss: 2.830920, train acc: 0.493333, train avg acc: 0.493381
Test 6, loss: 1.615776, test acc: 0.675000, test avg acc: 0.650000
Train 7, loss: 2.823034, train acc: 0.566667, train avg acc: 0.573047
Test 7, loss: 1.891014, test acc: 0.700000, test avg acc: 0.675000
Train 8, loss: 2.364321, train acc: 0.666667, train avg acc: 0.670659
Test 8, loss: 1.266791, test acc: 0.750000, test avg acc: 0.735101
Train 9, loss: 1.834773, train acc: 0.560000, train avg acc: 0.563568
Test 9, loss: 1.874168, test acc: 0.525000, test avg acc: 0.527020
Train 10, loss: 2.590071, train acc: 0.500000, train avg acc: 0.500483
Test 10, loss: 2.384879, test acc: 0.575000, test avg acc: 0.569697
Train 11, loss: 1.689062, train acc: 0.706667, train avg acc: 0.709104
Test 11, loss: 1.589642, test acc: 0.500000, test avg acc: 0.481818
Train 12, loss: 1.418959, train acc: 0.646667, train avg acc: 0.657034
Test 12, loss: 1.329726, test acc: 0.725000, test avg acc: 0.705051
Train 13, loss: 1.433585, train acc: 0.666667, train avg acc: 0.671171
Test 13, loss: 1.200872, test acc: 0.725000, test avg acc: 0.702273
Train 14, loss: 1.653567, train acc: 0.693333, train avg acc: 0.692692
Test 14, loss: 2.056574, test acc: 0.725000, test avg acc: 0.705051
Train 15, loss: 1.759615, train acc: 0.673333, train avg acc: 0.668494
Test 15, loss: 1.230483, test acc: 0.650000, test avg acc: 0.641919
Train 16, loss: 1.457709, train acc: 0.733333, train avg acc: 0.736389
Test 16, loss: 0.975590, test acc: 0.700000, test avg acc: 0.691667
Train 17, loss: 1.536899, train acc: 0.713333, train avg acc: 0.716498
Test 17, loss: 0.968245, test acc: 0.825000, test avg acc: 0.808333
Train 18, loss: 1.449575, train acc: 0.720000, train avg acc: 0.718350
Test 18, loss: 0.972711, test acc: 0.800000, test avg acc: 0.777778
Train 19, loss: 1.250315, train acc: 0.706667, train avg acc: 0.714323
Test 19, loss: 0.948756, test acc: 0.775000, test avg acc: 0.750000
Train 20, loss: 1.294289, train acc: 0.686667, train avg acc: 0.687630
Test 20, loss: 0.953683, test acc: 0.750000, test avg acc: 0.733333
Train 21, loss: 1.477286, train acc: 0.686667, train avg acc: 0.690058
Test 21, loss: 0.943080, test acc: 0.775000, test avg acc: 0.761111
Train 22, loss: 1.201165, train acc: 0.713333, train avg acc: 0.715924
Test 22, loss: 0.939097, test acc: 0.775000, test avg acc: 0.750000
Train 23, loss: 1.112827, train acc: 0.753333, train avg acc: 0.761833
Test 23, loss: 0.941905, test acc: 0.775000, test avg acc: 0.750000
Train 24, loss: 1.102237, train acc: 0.753333, train avg acc: 0.759501
Test 24, loss: 0.933193, test acc: 0.800000, test avg acc: 0.780556
Train 25, loss: 1.059919, train acc: 0.713333, train avg acc: 0.722548
Test 25, loss: 0.944306, test acc: 0.775000, test avg acc: 0.763889
Train 26, loss: 1.065084, train acc: 0.780000, train avg acc: 0.782402
Test 26, loss: 0.959818, test acc: 0.775000, test avg acc: 0.752778
Train 27, loss: 1.084134, train acc: 0.773333, train avg acc: 0.776854
Test 27, loss: 0.929177, test acc: 0.825000, test avg acc: 0.808333
Train 28, loss: 1.046235, train acc: 0.733333, train avg acc: 0.739865
Test 28, loss: 0.929032, test acc: 0.775000, test avg acc: 0.763889
Train 29, loss: 1.009547, train acc: 0.760000, train avg acc: 0.762792
