K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.287951, train acc: 0.466667, train avg acc: 0.470593
Test 0, loss: 2.340202, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.439879, train acc: 0.546667, train avg acc: 0.549898
Test 1, loss: 7.362416, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.572060, train acc: 0.593333, train avg acc: 0.600143
Test 2, loss: 8.057219, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.655423, train acc: 0.526667, train avg acc: 0.526316
Test 3, loss: 4.442704, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.908807, train acc: 0.560000, train avg acc: 0.566273
Test 4, loss: 7.176547, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 2.591191, train acc: 0.586667, train avg acc: 0.594451
Test 5, loss: 3.750051, test acc: 0.500000, test avg acc: 0.482323
Train 6, loss: 2.404955, train acc: 0.586667, train avg acc: 0.587119
Test 6, loss: 1.992626, test acc: 0.475000, test avg acc: 0.461111
Train 7, loss: 1.728523, train acc: 0.646667, train avg acc: 0.652356
Test 7, loss: 1.812279, test acc: 0.675000, test avg acc: 0.663889
Train 8, loss: 2.141485, train acc: 0.553333, train avg acc: 0.552165
Test 8, loss: 2.651742, test acc: 0.600000, test avg acc: 0.592929
Train 9, loss: 1.953283, train acc: 0.606667, train avg acc: 0.614316
Test 9, loss: 3.217270, test acc: 0.600000, test avg acc: 0.577273
Train 10, loss: 1.915697, train acc: 0.560000, train avg acc: 0.564997
Test 10, loss: 1.136371, test acc: 0.675000, test avg acc: 0.652273
Train 11, loss: 1.971488, train acc: 0.633333, train avg acc: 0.635669
Test 11, loss: 1.250443, test acc: 0.700000, test avg acc: 0.693939
Train 12, loss: 2.109195, train acc: 0.713333, train avg acc: 0.722966
Test 12, loss: 2.095057, test acc: 0.650000, test avg acc: 0.635606
Train 13, loss: 1.868991, train acc: 0.633333, train avg acc: 0.635308
Test 13, loss: 1.075008, test acc: 0.700000, test avg acc: 0.683333
Train 14, loss: 1.571033, train acc: 0.700000, train avg acc: 0.698222
Test 14, loss: 1.309157, test acc: 0.775000, test avg acc: 0.755556
Train 15, loss: 1.484364, train acc: 0.720000, train avg acc: 0.712719
Test 15, loss: 1.486187, test acc: 0.800000, test avg acc: 0.780556
Train 16, loss: 1.582500, train acc: 0.646667, train avg acc: 0.647311
Test 16, loss: 1.031360, test acc: 0.700000, test avg acc: 0.688889
Train 17, loss: 1.743558, train acc: 0.640000, train avg acc: 0.643581
