K: 15, local_K: 15, Batch: 32.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.356174, train acc: 0.443750, train avg acc: 0.444821
Test 0, loss: 1.316121, test acc: 0.450000, test avg acc: 0.444444
Train 1, loss: 1.479529, train acc: 0.593750, train avg acc: 0.596912
Test 1, loss: 1.582585, test acc: 0.525000, test avg acc: 0.505556
Train 2, loss: 1.454289, train acc: 0.600000, train avg acc: 0.602232
Test 2, loss: 2.155025, test acc: 0.475000, test avg acc: 0.455556
Train 3, loss: 1.679383, train acc: 0.512500, train avg acc: 0.514533
Test 3, loss: 2.424658, test acc: 0.500000, test avg acc: 0.475000
Train 4, loss: 1.725608, train acc: 0.587500, train avg acc: 0.591592
Test 4, loss: 1.599131, test acc: 0.425000, test avg acc: 0.414646
Train 5, loss: 1.519087, train acc: 0.593750, train avg acc: 0.595341
Test 5, loss: 1.450611, test acc: 0.625000, test avg acc: 0.600000
Train 6, loss: 1.545549, train acc: 0.631250, train avg acc: 0.633810
Test 6, loss: 1.312732, test acc: 0.575000, test avg acc: 0.557323
Train 7, loss: 1.580619, train acc: 0.593750, train avg acc: 0.595982
Test 7, loss: 1.327053, test acc: 0.775000, test avg acc: 0.755556
Train 8, loss: 1.489694, train acc: 0.587500, train avg acc: 0.591248
Test 8, loss: 1.428450, test acc: 0.675000, test avg acc: 0.669444
Train 9, loss: 1.446556, train acc: 0.656250, train avg acc: 0.658337
Test 9, loss: 1.392743, test acc: 0.750000, test avg acc: 0.733333
Train 10, loss: 1.373851, train acc: 0.650000, train avg acc: 0.652392
Test 10, loss: 1.098669, test acc: 0.775000, test avg acc: 0.752778
Train 11, loss: 1.275291, train acc: 0.687500, train avg acc: 0.690662
Test 11, loss: 1.255532, test acc: 0.750000, test avg acc: 0.747222
Train 12, loss: 1.209933, train acc: 0.681250, train avg acc: 0.681508
Test 12, loss: 1.018665, test acc: 0.800000, test avg acc: 0.780556
Train 13, loss: 1.202177, train acc: 0.650000, train avg acc: 0.653756
Test 13, loss: 1.234961, test acc: 0.750000, test avg acc: 0.744444
Train 14, loss: 1.349644, train acc: 0.675000, train avg acc: 0.677744
Test 14, loss: 1.214229, test acc: 0.775000, test avg acc: 0.772222
Train 15, loss: 1.263194, train acc: 0.668750, train avg acc: 0.670951
Test 15, loss: 1.111292, test acc: 0.800000, test avg acc: 0.799495
Train 16, loss: 1.222174, train acc: 0.743750, train avg acc: 0.745388
Test 16, loss: 1.074197, test acc: 0.775000, test avg acc: 0.774495
Train 17, loss: 1.117238, train acc: 0.725000, train avg acc: 0.726943
Test 17, loss: 0.965887, test acc: 0.800000, test avg acc: 0.783333
Train 18, loss: 1.162474, train acc: 0.725000, train avg acc: 0.728948
Test 18, loss: 0.983421, test acc: 0.775000, test avg acc: 0.750000
Train 19, loss: 1.155109, train acc: 0.706250, train avg acc: 0.707247
Test 19, loss: 1.131138, test acc: 0.775000, test avg acc: 0.769444
Train 20, loss: 1.182512, train acc: 0.706250, train avg acc: 0.708048
Test 20, loss: 1.010419, test acc: 0.825000, test avg acc: 0.811111
Train 21, loss: 1.108470, train acc: 0.731250, train avg acc: 0.732872
Test 21, loss: 1.037686, test acc: 0.775000, test avg acc: 0.769444
Train 22, loss: 1.081098, train acc: 0.743750, train avg acc: 0.745106
Test 22, loss: 0.979056, test acc: 0.850000, test avg acc: 0.847222
Train 23, loss: 1.101019, train acc: 0.718750, train avg acc: 0.721599
Test 23, loss: 1.005586, test acc: 0.775000, test avg acc: 0.752778
Train 24, loss: 1.091622, train acc: 0.768750, train avg acc: 0.771631
Test 24, loss: 0.993861, test acc: 0.750000, test avg acc: 0.736111
Train 25, loss: 1.036867, train acc: 0.762500, train avg acc: 0.762766
Test 25, loss: 0.974096, test acc: 0.775000, test avg acc: 0.761111
Train 26, loss: 1.048946, train acc: 0.706250, train avg acc: 0.709123
Test 26, loss: 0.994048, test acc: 0.800000, test avg acc: 0.780556
Train 27, loss: 1.038346, train acc: 0.750000, train avg acc: 0.753795
Test 27, loss: 0.933003, test acc: 0.825000, test avg acc: 0.811111
Train 28, loss: 1.021136, train acc: 0.775000, train avg acc: 0.776485
Test 28, loss: 0.965016, test acc: 0.775000, test avg acc: 0.769444
Train 29, loss: 1.005933, train acc: 0.806250, train avg acc: 0.807927
Test 29, loss: 0.935650, test acc: 0.800000, test avg acc: 0.788889
Train 30, loss: 1.016634, train acc: 0.737500, train avg acc: 0.739595
Test 30, loss: 0.955438, test acc: 0.875000, test avg acc: 0.869444
Train 31, loss: 1.004007, train acc: 0.787500, train avg acc: 0.790084
Test 31, loss: 0.939677, test acc: 0.850000, test avg acc: 0.838889
Train 32, loss: 1.008847, train acc: 0.750000, train avg acc: 0.752545
Test 32, loss: 0.927404, test acc: 0.825000, test avg acc: 0.811111
Train 33, loss: 1.014559, train acc: 0.750000, train avg acc: 0.751814
Test 33, loss: 1.016756, test acc: 0.825000, test avg acc: 0.822222
Train 34, loss: 1.046502, train acc: 0.743750, train avg acc: 0.745251
Test 34, loss: 0.927880, test acc: 0.825000, test avg acc: 0.816667
Train 35, loss: 0.973500, train acc: 0.800000, train avg acc: 0.803193
Test 35, loss: 0.918283, test acc: 0.825000, test avg acc: 0.808333
Train 36, loss: 0.976059, train acc: 0.787500, train avg acc: 0.790076
Test 36, loss: 0.945624, test acc: 0.775000, test avg acc: 0.769444
Train 37, loss: 0.958712, train acc: 0.825000, train avg acc: 0.826220
Test 37, loss: 0.929107, test acc: 0.800000, test avg acc: 0.783333
Train 38, loss: 0.962822, train acc: 0.787500, train avg acc: 0.790076
Test 38, loss: 0.929308, test acc: 0.775000, test avg acc: 0.758333
Train 39, loss: 0.967574, train acc: 0.800000, train avg acc: 0.803201
Test 39, loss: 0.935032, test acc: 0.775000, test avg acc: 0.761111
Train 40, loss: 0.966353, train acc: 0.818750, train avg acc: 0.820884
Test 40, loss: 0.912092, test acc: 0.850000, test avg acc: 0.838889
Train 41, loss: 0.955106, train acc: 0.793750, train avg acc: 0.796639
Test 41, loss: 0.920367, test acc: 0.875000, test avg acc: 0.866667
Train 42, loss: 0.973226, train acc: 0.793750, train avg acc: 0.796494
Test 42, loss: 0.918069, test acc: 0.850000, test avg acc: 0.844444
Train 43, loss: 0.961662, train acc: 0.762500, train avg acc: 0.763223
Test 43, loss: 0.938517, test acc: 0.875000, test avg acc: 0.869444
Train 44, loss: 0.957867, train acc: 0.818750, train avg acc: 0.820122
Test 44, loss: 0.927996, test acc: 0.775000, test avg acc: 0.755556
Train 45, loss: 0.983437, train acc: 0.756250, train avg acc: 0.758345
Test 45, loss: 0.912888, test acc: 0.800000, test avg acc: 0.783333
Train 46, loss: 0.948458, train acc: 0.787500, train avg acc: 0.790693
Test 46, loss: 0.922069, test acc: 0.850000, test avg acc: 0.844444
Train 47, loss: 0.976615, train acc: 0.762500, train avg acc: 0.764939
Test 47, loss: 0.912047, test acc: 0.875000, test avg acc: 0.872222
Train 48, loss: 0.944792, train acc: 0.800000, train avg acc: 0.803049
Test 48, loss: 0.910673, test acc: 0.875000, test avg acc: 0.863889
Train 49, loss: 0.945825, train acc: 0.781250, train avg acc: 0.784146
Test 49, loss: 0.925568, test acc: 0.825000, test avg acc: 0.822222
Train 50, loss: 0.958060, train acc: 0.793750, train avg acc: 0.796037
Test 50, loss: 0.921056, test acc: 0.875000, test avg acc: 0.866667
Train 51, loss: 0.946190, train acc: 0.806250, train avg acc: 0.808841
Test 51, loss: 0.909551, test acc: 0.875000, test avg acc: 0.866667
Train 52, loss: 0.953719, train acc: 0.812500, train avg acc: 0.814169
Test 52, loss: 0.913647, test acc: 0.875000, test avg acc: 0.869444
Train 53, loss: 0.939052, train acc: 0.831250, train avg acc: 0.832767
Test 53, loss: 0.909561, test acc: 0.875000, test avg acc: 0.869444
Train 54, loss: 0.955675, train acc: 0.818750, train avg acc: 0.820724
Test 54, loss: 0.904892, test acc: 0.825000, test avg acc: 0.813889
Train 55, loss: 0.965899, train acc: 0.787500, train avg acc: 0.791006
Test 55, loss: 0.908130, test acc: 0.825000, test avg acc: 0.811111
Train 56, loss: 0.955990, train acc: 0.843750, train avg acc: 0.845732
Test 56, loss: 0.912612, test acc: 0.875000, test avg acc: 0.869444
Train 57, loss: 0.942492, train acc: 0.831250, train avg acc: 0.832927
Test 57, loss: 0.924597, test acc: 0.850000, test avg acc: 0.841667
Train 58, loss: 0.939715, train acc: 0.850000, train avg acc: 0.851677
Test 58, loss: 0.907338, test acc: 0.850000, test avg acc: 0.841667
Train 59, loss: 0.958328, train acc: 0.812500, train avg acc: 0.815091
Test 59, loss: 0.906237, test acc: 0.850000, test avg acc: 0.841667
Train 60, loss: 0.907824, train acc: 0.856250, train avg acc: 0.857622
Test 60, loss: 0.918554, test acc: 0.825000, test avg acc: 0.819444
Train 61, loss: 0.944969, train acc: 0.775000, train avg acc: 0.776814
Test 61, loss: 0.924855, test acc: 0.825000, test avg acc: 0.819444
Train 62, loss: 0.938571, train acc: 0.831250, train avg acc: 0.833071
Test 62, loss: 0.909160, test acc: 0.850000, test avg acc: 0.838889
Train 63, loss: 0.944877, train acc: 0.812500, train avg acc: 0.815396
Test 63, loss: 0.915345, test acc: 0.800000, test avg acc: 0.788889
Train 64, loss: 0.946334, train acc: 0.781250, train avg acc: 0.784146
Test 64, loss: 0.930040, test acc: 0.850000, test avg acc: 0.847222
Train 65, loss: 0.948516, train acc: 0.806250, train avg acc: 0.807470
Test 65, loss: 0.919839, test acc: 0.825000, test avg acc: 0.822222
Train 66, loss: 0.935391, train acc: 0.806250, train avg acc: 0.808689
Test 66, loss: 0.914151, test acc: 0.800000, test avg acc: 0.783333
Train 67, loss: 0.927863, train acc: 0.818750, train avg acc: 0.821799
Test 67, loss: 0.920172, test acc: 0.800000, test avg acc: 0.788889
Train 68, loss: 0.936232, train acc: 0.812500, train avg acc: 0.814329
Test 68, loss: 0.920226, test acc: 0.850000, test avg acc: 0.847222
Train 69, loss: 0.936377, train acc: 0.787500, train avg acc: 0.790091
Test 69, loss: 0.907370, test acc: 0.875000, test avg acc: 0.866667
Train 70, loss: 0.943766, train acc: 0.793750, train avg acc: 0.796799
Test 70, loss: 0.911332, test acc: 0.875000, test avg acc: 0.869444
Train 71, loss: 0.942320, train acc: 0.781250, train avg acc: 0.783841
Test 71, loss: 0.915079, test acc: 0.875000, test avg acc: 0.866667
Train 72, loss: 0.926953, train acc: 0.843750, train avg acc: 0.845579
Test 72, loss: 0.921350, test acc: 0.850000, test avg acc: 0.844444
Train 73, loss: 0.926715, train acc: 0.818750, train avg acc: 0.820732
Test 73, loss: 0.922134, test acc: 0.800000, test avg acc: 0.786111
Train 74, loss: 0.927442, train acc: 0.825000, train avg acc: 0.827591
Test 74, loss: 0.916242, test acc: 0.850000, test avg acc: 0.838889
Train 75, loss: 0.939195, train acc: 0.812500, train avg acc: 0.815091
Test 75, loss: 0.938017, test acc: 0.800000, test avg acc: 0.791667
Train 76, loss: 0.941419, train acc: 0.812500, train avg acc: 0.814482
Test 76, loss: 0.931441, test acc: 0.825000, test avg acc: 0.819444
Train 77, loss: 0.916060, train acc: 0.831250, train avg acc: 0.833384
Test 77, loss: 0.912295, test acc: 0.850000, test avg acc: 0.841667
Train 78, loss: 0.941754, train acc: 0.806250, train avg acc: 0.809139
Test 78, loss: 0.905278, test acc: 0.850000, test avg acc: 0.838889
Train 79, loss: 0.931585, train acc: 0.806250, train avg acc: 0.808994
Test 79, loss: 0.914631, test acc: 0.800000, test avg acc: 0.794444
Train 80, loss: 0.908223, train acc: 0.831250, train avg acc: 0.832622
Test 80, loss: 0.911552, test acc: 0.825000, test avg acc: 0.819444
Train 81, loss: 0.937136, train acc: 0.787500, train avg acc: 0.789626
Test 81, loss: 0.909062, test acc: 0.875000, test avg acc: 0.869444
Train 82, loss: 0.919726, train acc: 0.818750, train avg acc: 0.821494
Test 82, loss: 0.910735, test acc: 0.850000, test avg acc: 0.841667
Train 83, loss: 0.928615, train acc: 0.793750, train avg acc: 0.796189
Test 83, loss: 0.916290, test acc: 0.825000, test avg acc: 0.819444
Train 84, loss: 0.945041, train acc: 0.787500, train avg acc: 0.788239
Test 84, loss: 0.920953, test acc: 0.825000, test avg acc: 0.819444
Train 85, loss: 0.922188, train acc: 0.818750, train avg acc: 0.820732
Test 85, loss: 0.917758, test acc: 0.850000, test avg acc: 0.844444
Train 86, loss: 0.940278, train acc: 0.806250, train avg acc: 0.809299
Test 86, loss: 0.913823, test acc: 0.850000, test avg acc: 0.838889
Train 87, loss: 0.922512, train acc: 0.812500, train avg acc: 0.815244
Test 87, loss: 0.923489, test acc: 0.800000, test avg acc: 0.794444
Train 88, loss: 0.944351, train acc: 0.825000, train avg acc: 0.826982
Test 88, loss: 0.928101, test acc: 0.800000, test avg acc: 0.794444
Train 89, loss: 0.935347, train acc: 0.825000, train avg acc: 0.827134
Test 89, loss: 0.926795, test acc: 0.850000, test avg acc: 0.841667
Train 90, loss: 0.926070, train acc: 0.837500, train avg acc: 0.839787
Test 90, loss: 0.919801, test acc: 0.825000, test avg acc: 0.813889
Train 91, loss: 0.912988, train acc: 0.831250, train avg acc: 0.833689
Test 91, loss: 0.914174, test acc: 0.825000, test avg acc: 0.816667
Train 92, loss: 0.949175, train acc: 0.793750, train avg acc: 0.796494
Test 92, loss: 0.927416, test acc: 0.800000, test avg acc: 0.794444
Train 93, loss: 0.922709, train acc: 0.825000, train avg acc: 0.826220
Test 93, loss: 0.922933, test acc: 0.800000, test avg acc: 0.794444
Train 94, loss: 0.920318, train acc: 0.875000, train avg acc: 0.876829
Test 94, loss: 0.913457, test acc: 0.875000, test avg acc: 0.869444
Train 95, loss: 0.918250, train acc: 0.812500, train avg acc: 0.815549
Test 95, loss: 0.909726, test acc: 0.900000, test avg acc: 0.894444
Train 96, loss: 0.927233, train acc: 0.837500, train avg acc: 0.840091
Test 96, loss: 0.907361, test acc: 0.825000, test avg acc: 0.816667
Train 97, loss: 0.931302, train acc: 0.812500, train avg acc: 0.814482
Test 97, loss: 0.912825, test acc: 0.800000, test avg acc: 0.791667
Train 98, loss: 0.939022, train acc: 0.800000, train avg acc: 0.802134
Test 98, loss: 0.911254, test acc: 0.850000, test avg acc: 0.841667
Train 99, loss: 0.901482, train acc: 0.831250, train avg acc: 0.833232
Test 99, loss: 0.909294, test acc: 0.825000, test avg acc: 0.813889
Train 100, loss: 0.925203, train acc: 0.818750, train avg acc: 0.821494
Test 100, loss: 0.904040, test acc: 0.825000, test avg acc: 0.813889
Train 101, loss: 0.910908, train acc: 0.856250, train avg acc: 0.858079
Test 101, loss: 0.907594, test acc: 0.875000, test avg acc: 0.869444
Train 102, loss: 0.905264, train acc: 0.843750, train avg acc: 0.845427
Test 102, loss: 0.909346, test acc: 0.900000, test avg acc: 0.894444
Train 103, loss: 0.927632, train acc: 0.825000, train avg acc: 0.826829
Test 103, loss: 0.909512, test acc: 0.875000, test avg acc: 0.866667
Train 104, loss: 0.933528, train acc: 0.812500, train avg acc: 0.815549
Test 104, loss: 0.908760, test acc: 0.875000, test avg acc: 0.866667
Train 105, loss: 0.935679, train acc: 0.812500, train avg acc: 0.814939
Test 105, loss: 0.909676, test acc: 0.875000, test avg acc: 0.866667
Train 106, loss: 0.927144, train acc: 0.831250, train avg acc: 0.833841
Test 106, loss: 0.913938, test acc: 0.825000, test avg acc: 0.819444
Train 107, loss: 0.943067, train acc: 0.806250, train avg acc: 0.807927
Test 107, loss: 0.920019, test acc: 0.825000, test avg acc: 0.819444
Train 108, loss: 0.930189, train acc: 0.812500, train avg acc: 0.814634
Test 108, loss: 0.905700, test acc: 0.850000, test avg acc: 0.844444
Train 109, loss: 0.915673, train acc: 0.837500, train avg acc: 0.839482
Test 109, loss: 0.909659, test acc: 0.850000, test avg acc: 0.844444
Train 110, loss: 0.941661, train acc: 0.793750, train avg acc: 0.796341
Test 110, loss: 0.909864, test acc: 0.850000, test avg acc: 0.844444
Train 111, loss: 0.900597, train acc: 0.837500, train avg acc: 0.839177
Test 111, loss: 0.914375, test acc: 0.850000, test avg acc: 0.844444
Train 112, loss: 0.916582, train acc: 0.837500, train avg acc: 0.839787
Test 112, loss: 0.905796, test acc: 0.850000, test avg acc: 0.841667
Train 113, loss: 0.901886, train acc: 0.843750, train avg acc: 0.846189
Test 113, loss: 0.905328, test acc: 0.825000, test avg acc: 0.813889
Train 114, loss: 0.918600, train acc: 0.825000, train avg acc: 0.827744
Test 114, loss: 0.903448, test acc: 0.850000, test avg acc: 0.838889
Train 115, loss: 0.918996, train acc: 0.837500, train avg acc: 0.839634
Test 115, loss: 0.908587, test acc: 0.850000, test avg acc: 0.844444
Train 116, loss: 0.941496, train acc: 0.806250, train avg acc: 0.807774
Test 116, loss: 0.913554, test acc: 0.825000, test avg acc: 0.819444
Train 117, loss: 0.912408, train acc: 0.818750, train avg acc: 0.820427
Test 117, loss: 0.910432, test acc: 0.825000, test avg acc: 0.822222
Train 118, loss: 0.911091, train acc: 0.825000, train avg acc: 0.827134
Test 118, loss: 0.907010, test acc: 0.875000, test avg acc: 0.866667
Train 119, loss: 0.920855, train acc: 0.850000, train avg acc: 0.851982
Test 119, loss: 0.907848, test acc: 0.875000, test avg acc: 0.866667
Train 120, loss: 0.938132, train acc: 0.812500, train avg acc: 0.815244
Test 120, loss: 0.911233, test acc: 0.875000, test avg acc: 0.866667
Train 121, loss: 0.922991, train acc: 0.800000, train avg acc: 0.802744
Test 121, loss: 0.915962, test acc: 0.850000, test avg acc: 0.841667
Train 122, loss: 0.912382, train acc: 0.818750, train avg acc: 0.821037
Test 122, loss: 0.915900, test acc: 0.875000, test avg acc: 0.869444
Train 123, loss: 0.909876, train acc: 0.837500, train avg acc: 0.839177
Test 123, loss: 0.916499, test acc: 0.850000, test avg acc: 0.841667
Train 124, loss: 0.914325, train acc: 0.843750, train avg acc: 0.845732
Test 124, loss: 0.912631, test acc: 0.825000, test avg acc: 0.816667
Train 125, loss: 0.928052, train acc: 0.825000, train avg acc: 0.827287
Test 125, loss: 0.908481, test acc: 0.825000, test avg acc: 0.816667
Train 126, loss: 0.911422, train acc: 0.825000, train avg acc: 0.827591
Test 126, loss: 0.908301, test acc: 0.825000, test avg acc: 0.816667
Train 127, loss: 0.925193, train acc: 0.806250, train avg acc: 0.808384
Test 127, loss: 0.909967, test acc: 0.825000, test avg acc: 0.819444
Train 128, loss: 0.908001, train acc: 0.806250, train avg acc: 0.808232
Test 128, loss: 0.908671, test acc: 0.825000, test avg acc: 0.819444
Train 129, loss: 0.944358, train acc: 0.825000, train avg acc: 0.827134
Test 129, loss: 0.909160, test acc: 0.875000, test avg acc: 0.869444
Train 130, loss: 0.913271, train acc: 0.818750, train avg acc: 0.821494
Test 130, loss: 0.908620, test acc: 0.850000, test avg acc: 0.841667
Train 131, loss: 0.914115, train acc: 0.818750, train avg acc: 0.821189
Test 131, loss: 0.908096, test acc: 0.825000, test avg acc: 0.813889
Train 132, loss: 0.902492, train acc: 0.850000, train avg acc: 0.851677
Test 132, loss: 0.908525, test acc: 0.850000, test avg acc: 0.841667
Train 133, loss: 0.893915, train acc: 0.837500, train avg acc: 0.839482
Test 133, loss: 0.907345, test acc: 0.850000, test avg acc: 0.838889
Train 134, loss: 0.907699, train acc: 0.850000, train avg acc: 0.851677
