K: 15, local_K: 15, Batch: 32.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.246166, train acc: 0.531250, train avg acc: 0.531911
Test 0, loss: 1.823840, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.290917, train acc: 0.681250, train avg acc: 0.683642
Test 1, loss: 4.103556, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.469827, train acc: 0.675000, train avg acc: 0.678162
Test 2, loss: 5.838494, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.728077, train acc: 0.593750, train avg acc: 0.595669
Test 3, loss: 3.224449, test acc: 0.350000, test avg acc: 0.348485
Train 4, loss: 1.609947, train acc: 0.662500, train avg acc: 0.663344
Test 4, loss: 6.864973, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 1.478260, train acc: 0.606250, train avg acc: 0.609412
Test 5, loss: 2.256690, test acc: 0.525000, test avg acc: 0.500000
Train 6, loss: 1.377979, train acc: 0.618750, train avg acc: 0.619114
Test 6, loss: 2.482851, test acc: 0.450000, test avg acc: 0.444444
Train 7, loss: 1.471981, train acc: 0.681250, train avg acc: 0.684420
Test 7, loss: 1.528242, test acc: 0.625000, test avg acc: 0.625000
Train 8, loss: 1.559104, train acc: 0.556250, train avg acc: 0.556141
Test 8, loss: 1.228989, test acc: 0.725000, test avg acc: 0.719444
Train 9, loss: 1.442837, train acc: 0.712500, train avg acc: 0.715365
Test 9, loss: 1.359914, test acc: 0.700000, test avg acc: 0.696212
Train 10, loss: 1.514467, train acc: 0.700000, train avg acc: 0.700395
Test 10, loss: 1.374121, test acc: 0.700000, test avg acc: 0.690657
Train 11, loss: 1.542197, train acc: 0.562500, train avg acc: 0.565615
Test 11, loss: 1.204880, test acc: 0.675000, test avg acc: 0.658333
Train 12, loss: 1.275688, train acc: 0.668750, train avg acc: 0.671478
Test 12, loss: 1.329511, test acc: 0.675000, test avg acc: 0.679545
Train 13, loss: 1.233962, train acc: 0.725000, train avg acc: 0.725989
Test 13, loss: 1.149657, test acc: 0.775000, test avg acc: 0.763889
Train 14, loss: 1.286892, train acc: 0.650000, train avg acc: 0.652240
Test 14, loss: 1.246832, test acc: 0.700000, test avg acc: 0.691667
Train 15, loss: 1.248633, train acc: 0.675000, train avg acc: 0.677384
Test 15, loss: 1.062390, test acc: 0.775000, test avg acc: 0.763889
Train 16, loss: 1.215815, train acc: 0.718750, train avg acc: 0.720837
Test 16, loss: 1.073606, test acc: 0.700000, test avg acc: 0.694444
Train 17, loss: 1.160219, train acc: 0.687500, train avg acc: 0.689603
Test 17, loss: 1.245623, test acc: 0.725000, test avg acc: 0.708333
Train 18, loss: 1.211793, train acc: 0.712500, train avg acc: 0.714892
Test 18, loss: 1.012635, test acc: 0.700000, test avg acc: 0.686111
Train 19, loss: 1.168885, train acc: 0.706250, train avg acc: 0.708970
Test 19, loss: 1.008206, test acc: 0.775000, test avg acc: 0.771212
Train 20, loss: 1.037091, train acc: 0.812500, train avg acc: 0.814298
Test 20, loss: 0.994176, test acc: 0.750000, test avg acc: 0.736111
Train 21, loss: 1.110381, train acc: 0.718750, train avg acc: 0.720548
Test 21, loss: 0.994533, test acc: 0.800000, test avg acc: 0.788889
Train 22, loss: 1.039228, train acc: 0.750000, train avg acc: 0.752111
Test 22, loss: 1.018776, test acc: 0.700000, test avg acc: 0.685101
Train 23, loss: 1.092513, train acc: 0.731250, train avg acc: 0.733505
Test 23, loss: 0.975085, test acc: 0.825000, test avg acc: 0.816667
Train 24, loss: 1.037318, train acc: 0.712500, train avg acc: 0.714763
Test 24, loss: 0.925641, test acc: 0.825000, test avg acc: 0.813889
Train 25, loss: 1.000781, train acc: 0.787500, train avg acc: 0.789763
Test 25, loss: 0.954249, test acc: 0.800000, test avg acc: 0.791667
Train 26, loss: 1.047686, train acc: 0.762500, train avg acc: 0.765076
Test 26, loss: 0.949875, test acc: 0.800000, test avg acc: 0.797222
Train 27, loss: 1.002376, train acc: 0.718750, train avg acc: 0.720997
Test 27, loss: 0.959935, test acc: 0.800000, test avg acc: 0.794444
Train 28, loss: 1.019183, train acc: 0.775000, train avg acc: 0.777279
Test 28, loss: 0.948494, test acc: 0.800000, test avg acc: 0.794444
Train 29, loss: 1.029442, train acc: 0.762500, train avg acc: 0.765068
Test 29, loss: 0.948494, test acc: 0.825000, test avg acc: 0.816667
Train 30, loss: 1.018006, train acc: 0.781250, train avg acc: 0.783369
Test 30, loss: 0.973355, test acc: 0.775000, test avg acc: 0.761111
Train 31, loss: 0.987921, train acc: 0.775000, train avg acc: 0.778506
Test 31, loss: 0.945435, test acc: 0.800000, test avg acc: 0.780556
Train 32, loss: 0.997592, train acc: 0.793750, train avg acc: 0.797713
Test 32, loss: 0.939161, test acc: 0.775000, test avg acc: 0.758333
Train 33, loss: 0.985177, train acc: 0.812500, train avg acc: 0.814024
Test 33, loss: 0.955659, test acc: 0.800000, test avg acc: 0.797222
Train 34, loss: 0.983986, train acc: 0.787500, train avg acc: 0.788848
Test 34, loss: 0.915612, test acc: 0.800000, test avg acc: 0.780556
Train 35, loss: 0.969129, train acc: 0.806250, train avg acc: 0.808978
Test 35, loss: 0.929582, test acc: 0.825000, test avg acc: 0.811111
Train 36, loss: 0.975999, train acc: 0.756250, train avg acc: 0.758994
Test 36, loss: 0.919175, test acc: 0.800000, test avg acc: 0.788889
Train 37, loss: 0.957987, train acc: 0.781250, train avg acc: 0.782927
Test 37, loss: 0.931737, test acc: 0.800000, test avg acc: 0.788889
