K: 15, local_K: 15, Batch: 26.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.297533, train acc: 0.564103, train avg acc: 0.563381
Test 0, loss: 1.983412, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.637862, train acc: 0.621795, train avg acc: 0.621010
Test 1, loss: 5.216095, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.608094, train acc: 0.608974, train avg acc: 0.611969
Test 2, loss: 5.871205, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 2.095629, train acc: 0.551282, train avg acc: 0.553289
Test 3, loss: 4.113995, test acc: 0.300000, test avg acc: 0.275000
Train 4, loss: 2.011010, train acc: 0.596154, train avg acc: 0.598802
Test 4, loss: 2.755322, test acc: 0.325000, test avg acc: 0.300000
Train 5, loss: 1.729563, train acc: 0.564103, train avg acc: 0.567234
Test 5, loss: 1.843210, test acc: 0.600000, test avg acc: 0.586111
Train 6, loss: 1.558229, train acc: 0.589744, train avg acc: 0.593197
Test 6, loss: 1.336576, test acc: 0.625000, test avg acc: 0.613384
Train 7, loss: 1.596193, train acc: 0.564103, train avg acc: 0.570197
Test 7, loss: 1.842431, test acc: 0.600000, test avg acc: 0.577778
Train 8, loss: 1.640387, train acc: 0.589744, train avg acc: 0.594016
Test 8, loss: 1.351152, test acc: 0.625000, test avg acc: 0.614646
Train 9, loss: 1.552227, train acc: 0.634615, train avg acc: 0.637500
Test 9, loss: 1.982184, test acc: 0.675000, test avg acc: 0.671717
Train 10, loss: 1.710151, train acc: 0.544872, train avg acc: 0.547266
Test 10, loss: 2.155349, test acc: 0.650000, test avg acc: 0.646970
Train 11, loss: 1.366474, train acc: 0.705128, train avg acc: 0.707962
Test 11, loss: 1.213136, test acc: 0.725000, test avg acc: 0.721717
Train 12, loss: 1.368266, train acc: 0.641026, train avg acc: 0.642240
Test 12, loss: 1.170405, test acc: 0.700000, test avg acc: 0.686111
Train 13, loss: 1.251584, train acc: 0.647436, train avg acc: 0.652340
Test 13, loss: 1.187709, test acc: 0.725000, test avg acc: 0.718939
Train 14, loss: 1.274189, train acc: 0.666667, train avg acc: 0.669049
Test 14, loss: 1.164677, test acc: 0.725000, test avg acc: 0.710101
Train 15, loss: 1.201303, train acc: 0.660256, train avg acc: 0.659700
Test 15, loss: 1.056839, test acc: 0.675000, test avg acc: 0.658333
Train 16, loss: 1.084330, train acc: 0.762821, train avg acc: 0.762795
Test 16, loss: 1.066391, test acc: 0.750000, test avg acc: 0.749495
Train 17, loss: 1.133343, train acc: 0.717949, train avg acc: 0.721240
Test 17, loss: 1.005537, test acc: 0.750000, test avg acc: 0.733333
