K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.375325, train acc: 0.440000, train avg acc: 0.443566
Test 0, loss: 2.681473, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.426931, train acc: 0.560000, train avg acc: 0.559326
Test 1, loss: 12.230238, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.657190, train acc: 0.606667, train avg acc: 0.616030
Test 2, loss: 6.529496, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.638233, train acc: 0.593333, train avg acc: 0.594595
Test 3, loss: 14.251137, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.797159, train acc: 0.600000, train avg acc: 0.612693
Test 4, loss: 10.831627, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 1.897664, train acc: 0.586667, train avg acc: 0.595379
Test 5, loss: 3.439798, test acc: 0.350000, test avg acc: 0.325000
Train 6, loss: 1.614086, train acc: 0.566667, train avg acc: 0.566286
Test 6, loss: 5.149304, test acc: 0.300000, test avg acc: 0.275000
Train 7, loss: 1.668179, train acc: 0.646667, train avg acc: 0.653287
Test 7, loss: 1.829199, test acc: 0.625000, test avg acc: 0.605556
Train 8, loss: 1.921974, train acc: 0.526667, train avg acc: 0.522174
Test 8, loss: 1.526898, test acc: 0.625000, test avg acc: 0.614646
Train 9, loss: 2.030139, train acc: 0.626667, train avg acc: 0.634081
Test 9, loss: 2.230001, test acc: 0.650000, test avg acc: 0.636111
Train 10, loss: 1.640382, train acc: 0.633333, train avg acc: 0.630841
Test 10, loss: 1.704828, test acc: 0.525000, test avg acc: 0.539394
Train 11, loss: 1.441092, train acc: 0.580000, train avg acc: 0.581437
Test 11, loss: 1.069821, test acc: 0.675000, test avg acc: 0.668434
Train 12, loss: 1.505825, train acc: 0.673333, train avg acc: 0.685492
Test 12, loss: 1.160618, test acc: 0.675000, test avg acc: 0.663384
Train 13, loss: 1.393450, train acc: 0.686667, train avg acc: 0.689362
Test 13, loss: 1.594528, test acc: 0.700000, test avg acc: 0.683333
Train 14, loss: 1.343801, train acc: 0.720000, train avg acc: 0.715616
Test 14, loss: 1.323573, test acc: 0.725000, test avg acc: 0.713889
Train 15, loss: 1.386228, train acc: 0.680000, train avg acc: 0.675804
Test 15, loss: 1.040636, test acc: 0.825000, test avg acc: 0.808333
Train 16, loss: 1.379295, train acc: 0.740000, train avg acc: 0.740544
Test 16, loss: 1.190054, test acc: 0.775000, test avg acc: 0.755556
Train 17, loss: 1.303308, train acc: 0.673333, train avg acc: 0.680011
Test 17, loss: 1.240791, test acc: 0.650000, test avg acc: 0.636111
Train 18, loss: 1.234410, train acc: 0.666667, train avg acc: 0.666963
Test 18, loss: 0.993113, test acc: 0.775000, test avg acc: 0.763889
Train 19, loss: 1.189513, train acc: 0.666667, train avg acc: 0.674334
Test 19, loss: 0.986856, test acc: 0.750000, test avg acc: 0.741667
Train 20, loss: 1.195297, train acc: 0.686667, train avg acc: 0.690402
Test 20, loss: 0.972713, test acc: 0.800000, test avg acc: 0.780556
Train 21, loss: 1.211228, train acc: 0.693333, train avg acc: 0.696637
Test 21, loss: 0.973199, test acc: 0.775000, test avg acc: 0.752778
Train 22, loss: 1.228469, train acc: 0.673333, train avg acc: 0.678502
Test 22, loss: 0.933743, test acc: 0.775000, test avg acc: 0.763889
Train 23, loss: 1.136664, train acc: 0.733333, train avg acc: 0.735213
Test 23, loss: 0.966669, test acc: 0.825000, test avg acc: 0.825000
Train 24, loss: 1.215262, train acc: 0.693333, train avg acc: 0.696520
Test 24, loss: 0.958177, test acc: 0.825000, test avg acc: 0.811111
Train 25, loss: 1.116293, train acc: 0.753333, train avg acc: 0.757393
Test 25, loss: 0.955391, test acc: 0.800000, test avg acc: 0.780556
Train 26, loss: 1.108480, train acc: 0.740000, train avg acc: 0.743059
Test 26, loss: 0.949276, test acc: 0.700000, test avg acc: 0.686111
Train 27, loss: 1.019537, train acc: 0.746667, train avg acc: 0.748787
Test 27, loss: 0.940276, test acc: 0.775000, test avg acc: 0.758333
Train 28, loss: 1.024961, train acc: 0.753333, train avg acc: 0.759420
Test 28, loss: 0.945172, test acc: 0.725000, test avg acc: 0.702778
Train 29, loss: 1.033768, train acc: 0.733333, train avg acc: 0.735380
Test 29, loss: 0.974718, test acc: 0.750000, test avg acc: 0.727778
Train 30, loss: 1.013580, train acc: 0.800000, train avg acc: 0.802350
Test 30, loss: 0.937117, test acc: 0.750000, test avg acc: 0.736111
Train 31, loss: 1.051695, train acc: 0.740000, train avg acc: 0.736833
Test 31, loss: 0.937190, test acc: 0.775000, test avg acc: 0.761111
Train 32, loss: 1.010966, train acc: 0.760000, train avg acc: 0.766980
Test 32, loss: 0.929513, test acc: 0.775000, test avg acc: 0.758333
Train 33, loss: 0.988318, train acc: 0.786667, train avg acc: 0.789108
Test 33, loss: 0.946646, test acc: 0.825000, test avg acc: 0.819444
Train 34, loss: 0.969599, train acc: 0.820000, train avg acc: 0.819692
Test 34, loss: 0.935561, test acc: 0.825000, test avg acc: 0.811111
Train 35, loss: 1.035845, train acc: 0.700000, train avg acc: 0.709915
Test 35, loss: 0.950795, test acc: 0.775000, test avg acc: 0.755556
Train 36, loss: 0.994781, train acc: 0.806667, train avg acc: 0.806543
Test 36, loss: 0.957541, test acc: 0.800000, test avg acc: 0.797222
Train 37, loss: 0.975138, train acc: 0.793333, train avg acc: 0.792319
Test 37, loss: 0.932554, test acc: 0.825000, test avg acc: 0.819444
Train 38, loss: 0.976031, train acc: 0.786667, train avg acc: 0.792482
Test 38, loss: 0.914413, test acc: 0.850000, test avg acc: 0.836111
Train 39, loss: 0.989326, train acc: 0.773333, train avg acc: 0.784929
Test 39, loss: 0.916367, test acc: 0.775000, test avg acc: 0.766667
Train 40, loss: 0.994634, train acc: 0.773333, train avg acc: 0.779203
Test 40, loss: 0.932705, test acc: 0.800000, test avg acc: 0.797222
Train 41, loss: 0.943517, train acc: 0.813333, train avg acc: 0.808456
Test 41, loss: 0.910209, test acc: 0.825000, test avg acc: 0.808333
Train 42, loss: 0.983380, train acc: 0.793333, train avg acc: 0.803472
Test 42, loss: 0.908880, test acc: 0.825000, test avg acc: 0.816667
