K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.394961, train acc: 0.466667, train avg acc: 0.463802
Test 0, loss: 1.451062, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.344279, train acc: 0.593333, train avg acc: 0.596505
Test 1, loss: 2.074975, test acc: 0.325000, test avg acc: 0.305556
Train 2, loss: 1.421738, train acc: 0.593333, train avg acc: 0.599117
Test 2, loss: 2.301563, test acc: 0.450000, test avg acc: 0.430556
Train 3, loss: 1.578348, train acc: 0.606667, train avg acc: 0.606806
Test 3, loss: 2.126687, test acc: 0.550000, test avg acc: 0.541667
Train 4, loss: 1.773549, train acc: 0.600000, train avg acc: 0.607056
Test 4, loss: 1.875170, test acc: 0.575000, test avg acc: 0.581818
Train 5, loss: 1.622166, train acc: 0.613333, train avg acc: 0.612137
Test 5, loss: 1.477600, test acc: 0.625000, test avg acc: 0.611111
Train 6, loss: 1.665605, train acc: 0.606667, train avg acc: 0.604908
Test 6, loss: 1.836471, test acc: 0.525000, test avg acc: 0.514646
Train 7, loss: 1.696304, train acc: 0.566667, train avg acc: 0.564172
Test 7, loss: 1.537941, test acc: 0.700000, test avg acc: 0.694444
Train 8, loss: 1.522409, train acc: 0.660000, train avg acc: 0.668955
Test 8, loss: 1.776673, test acc: 0.750000, test avg acc: 0.730556
Train 9, loss: 1.390706, train acc: 0.693333, train avg acc: 0.695906
Test 9, loss: 1.875456, test acc: 0.550000, test avg acc: 0.548737
Train 10, loss: 1.419388, train acc: 0.586667, train avg acc: 0.592376
Test 10, loss: 1.445491, test acc: 0.775000, test avg acc: 0.752778
Train 11, loss: 1.383365, train acc: 0.640000, train avg acc: 0.645661
Test 11, loss: 1.454494, test acc: 0.700000, test avg acc: 0.704545
Train 12, loss: 1.370491, train acc: 0.606667, train avg acc: 0.611216
Test 12, loss: 1.419979, test acc: 0.550000, test avg acc: 0.541414
Train 13, loss: 1.272099, train acc: 0.693333, train avg acc: 0.695377
Test 13, loss: 1.218333, test acc: 0.700000, test avg acc: 0.683333
Train 14, loss: 1.421990, train acc: 0.673333, train avg acc: 0.673813
Test 14, loss: 1.131016, test acc: 0.750000, test avg acc: 0.735606
Train 15, loss: 1.193236, train acc: 0.686667, train avg acc: 0.690748
Test 15, loss: 1.054944, test acc: 0.725000, test avg acc: 0.722222
Train 16, loss: 1.178696, train acc: 0.640000, train avg acc: 0.639758
Test 16, loss: 1.013445, test acc: 0.700000, test avg acc: 0.688889
Train 17, loss: 1.076702, train acc: 0.726667, train avg acc: 0.721215
Test 17, loss: 1.025345, test acc: 0.750000, test avg acc: 0.736111
Train 18, loss: 1.205463, train acc: 0.726667, train avg acc: 0.731025
Test 18, loss: 0.987484, test acc: 0.750000, test avg acc: 0.733333
Train 19, loss: 1.184684, train acc: 0.680000, train avg acc: 0.678343
Test 19, loss: 0.995750, test acc: 0.825000, test avg acc: 0.819444
Train 20, loss: 1.087483, train acc: 0.766667, train avg acc: 0.768164
Test 20, loss: 0.997872, test acc: 0.775000, test avg acc: 0.769444
Train 21, loss: 1.100939, train acc: 0.706667, train avg acc: 0.712573
Test 21, loss: 0.952257, test acc: 0.775000, test avg acc: 0.758333
Train 22, loss: 1.027409, train acc: 0.760000, train avg acc: 0.758628
Test 22, loss: 1.004464, test acc: 0.750000, test avg acc: 0.736111
Train 23, loss: 1.047414, train acc: 0.760000, train avg acc: 0.756204
Test 23, loss: 0.988975, test acc: 0.775000, test avg acc: 0.758333
Train 24, loss: 1.045899, train acc: 0.740000, train avg acc: 0.738478
Test 24, loss: 0.984551, test acc: 0.775000, test avg acc: 0.758333
Train 25, loss: 1.018253, train acc: 0.813333, train avg acc: 0.815424
Test 25, loss: 0.974934, test acc: 0.775000, test avg acc: 0.758333
Train 26, loss: 0.979587, train acc: 0.766667, train avg acc: 0.767070
Test 26, loss: 0.946378, test acc: 0.750000, test avg acc: 0.730556
Train 27, loss: 1.063599, train acc: 0.706667, train avg acc: 0.720096
Test 27, loss: 0.951684, test acc: 0.800000, test avg acc: 0.794444
Train 28, loss: 1.033901, train acc: 0.746667, train avg acc: 0.749167
Test 28, loss: 0.951662, test acc: 0.775000, test avg acc: 0.761111
Train 29, loss: 0.978693, train acc: 0.806667, train avg acc: 0.810251
Test 29, loss: 0.938446, test acc: 0.800000, test avg acc: 0.783333
Train 30, loss: 1.043491, train acc: 0.726667, train avg acc: 0.726877
Test 30, loss: 0.973267, test acc: 0.825000, test avg acc: 0.813889
Train 31, loss: 1.066770, train acc: 0.753333, train avg acc: 0.756237
