K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.358313, train acc: 0.446667, train avg acc: 0.443503
Test 0, loss: 1.439644, test acc: 0.425000, test avg acc: 0.431818
Train 1, loss: 1.424965, train acc: 0.560000, train avg acc: 0.561811
Test 1, loss: 1.923230, test acc: 0.500000, test avg acc: 0.500000
Train 2, loss: 1.497194, train acc: 0.646667, train avg acc: 0.650924
Test 2, loss: 2.026439, test acc: 0.400000, test avg acc: 0.388889
Train 3, loss: 1.726650, train acc: 0.486667, train avg acc: 0.491115
Test 3, loss: 2.244128, test acc: 0.550000, test avg acc: 0.531818
Train 4, loss: 1.829030, train acc: 0.586667, train avg acc: 0.593166
Test 4, loss: 2.437071, test acc: 0.575000, test avg acc: 0.566667
Train 5, loss: 1.823293, train acc: 0.560000, train avg acc: 0.560202
Test 5, loss: 2.133105, test acc: 0.650000, test avg acc: 0.641667
Train 6, loss: 1.763127, train acc: 0.560000, train avg acc: 0.559922
Test 6, loss: 1.462057, test acc: 0.625000, test avg acc: 0.616162
Train 7, loss: 1.609749, train acc: 0.560000, train avg acc: 0.549784
Test 7, loss: 1.631368, test acc: 0.625000, test avg acc: 0.610606
Train 8, loss: 1.517293, train acc: 0.686667, train avg acc: 0.692398
Test 8, loss: 1.531453, test acc: 0.625000, test avg acc: 0.611111
Train 9, loss: 1.497194, train acc: 0.553333, train avg acc: 0.556287
Test 9, loss: 1.638000, test acc: 0.625000, test avg acc: 0.605556
Train 10, loss: 1.577379, train acc: 0.613333, train avg acc: 0.622233
Test 10, loss: 1.374191, test acc: 0.650000, test avg acc: 0.638889
Train 11, loss: 1.365285, train acc: 0.713333, train avg acc: 0.714291
Test 11, loss: 1.305802, test acc: 0.700000, test avg acc: 0.700000
Train 12, loss: 1.338715, train acc: 0.646667, train avg acc: 0.650911
Test 12, loss: 1.129593, test acc: 0.700000, test avg acc: 0.683333
Train 13, loss: 1.302906, train acc: 0.653333, train avg acc: 0.649975
Test 13, loss: 1.383465, test acc: 0.750000, test avg acc: 0.738889
Train 14, loss: 1.305192, train acc: 0.700000, train avg acc: 0.700325
Test 14, loss: 1.174640, test acc: 0.775000, test avg acc: 0.755051
Train 15, loss: 1.377916, train acc: 0.666667, train avg acc: 0.669785
Test 15, loss: 1.299056, test acc: 0.700000, test avg acc: 0.694444
Train 16, loss: 1.268117, train acc: 0.640000, train avg acc: 0.642070
Test 16, loss: 1.091085, test acc: 0.725000, test avg acc: 0.713889
Train 17, loss: 1.246512, train acc: 0.593333, train avg acc: 0.591522
Test 17, loss: 1.006246, test acc: 0.800000, test avg acc: 0.780556
Train 18, loss: 1.144530, train acc: 0.706667, train avg acc: 0.715184
Test 18, loss: 1.094311, test acc: 0.725000, test avg acc: 0.722222
Train 19, loss: 1.155399, train acc: 0.686667, train avg acc: 0.687589
Test 19, loss: 1.041869, test acc: 0.725000, test avg acc: 0.711111
Train 20, loss: 1.118797, train acc: 0.720000, train avg acc: 0.725669
Test 20, loss: 0.997999, test acc: 0.750000, test avg acc: 0.741162
Train 21, loss: 1.105965, train acc: 0.720000, train avg acc: 0.726170
Test 21, loss: 1.027336, test acc: 0.725000, test avg acc: 0.716667
Train 22, loss: 1.091622, train acc: 0.653333, train avg acc: 0.652440
Test 22, loss: 1.014177, test acc: 0.750000, test avg acc: 0.744444
Train 23, loss: 1.019226, train acc: 0.726667, train avg acc: 0.723507
Test 23, loss: 0.973736, test acc: 0.800000, test avg acc: 0.786111
Train 24, loss: 1.035554, train acc: 0.773333, train avg acc: 0.772113
Test 24, loss: 1.006058, test acc: 0.775000, test avg acc: 0.755556
Train 25, loss: 1.085870, train acc: 0.760000, train avg acc: 0.761696
Test 25, loss: 0.991110, test acc: 0.775000, test avg acc: 0.758333
Train 26, loss: 1.035758, train acc: 0.720000, train avg acc: 0.721017
Test 26, loss: 0.975914, test acc: 0.800000, test avg acc: 0.786111
Train 27, loss: 1.043671, train acc: 0.713333, train avg acc: 0.721579
Test 27, loss: 0.992202, test acc: 0.725000, test avg acc: 0.708333
Train 28, loss: 1.016350, train acc: 0.746667, train avg acc: 0.748426
Test 28, loss: 0.973777, test acc: 0.775000, test avg acc: 0.758333
Train 29, loss: 1.006207, train acc: 0.786667, train avg acc: 0.789595
Test 29, loss: 0.968366, test acc: 0.775000, test avg acc: 0.758333
Train 30, loss: 1.036422, train acc: 0.733333, train avg acc: 0.730349
Test 30, loss: 0.940723, test acc: 0.825000, test avg acc: 0.813889
Train 31, loss: 1.010207, train acc: 0.820000, train avg acc: 0.822765
Test 31, loss: 0.983218, test acc: 0.800000, test avg acc: 0.794444
Train 32, loss: 1.054176, train acc: 0.733333, train avg acc: 0.730853
Test 32, loss: 0.942666, test acc: 0.775000, test avg acc: 0.758333
Train 33, loss: 0.986031, train acc: 0.793333, train avg acc: 0.801232
Test 33, loss: 0.960310, test acc: 0.825000, test avg acc: 0.819444
Train 34, loss: 1.023918, train acc: 0.766667, train avg acc: 0.762656
Test 34, loss: 0.973131, test acc: 0.775000, test avg acc: 0.763889
Train 35, loss: 0.966810, train acc: 0.806667, train avg acc: 0.807990
Test 35, loss: 0.935468, test acc: 0.800000, test avg acc: 0.788889
Train 36, loss: 1.005360, train acc: 0.733333, train avg acc: 0.744757
Test 36, loss: 0.954696, test acc: 0.750000, test avg acc: 0.738889
Train 37, loss: 0.998372, train acc: 0.780000, train avg acc: 0.786576
Test 37, loss: 0.988560, test acc: 0.800000, test avg acc: 0.783333
Train 38, loss: 1.015303, train acc: 0.773333, train avg acc: 0.777104
Test 38, loss: 0.943504, test acc: 0.800000, test avg acc: 0.791667
Train 39, loss: 1.030631, train acc: 0.686667, train avg acc: 0.691873
Test 39, loss: 0.947707, test acc: 0.775000, test avg acc: 0.769444
Train 40, loss: 0.997718, train acc: 0.746667, train avg acc: 0.746069
Test 40, loss: 0.988209, test acc: 0.825000, test avg acc: 0.813889
Train 41, loss: 0.990067, train acc: 0.800000, train avg acc: 0.805837
Test 41, loss: 0.942186, test acc: 0.800000, test avg acc: 0.788889
Train 42, loss: 0.998557, train acc: 0.706667, train avg acc: 0.709323
Test 42, loss: 0.948659, test acc: 0.825000, test avg acc: 0.819444
Train 43, loss: 0.987764, train acc: 0.806667, train avg acc: 0.810720
