K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.277793, train acc: 0.480000, train avg acc: 0.480719
Test 0, loss: 1.594147, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.353790, train acc: 0.586667, train avg acc: 0.587629
Test 1, loss: 3.649567, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.540348, train acc: 0.593333, train avg acc: 0.597652
Test 2, loss: 3.736859, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.495883, train acc: 0.653333, train avg acc: 0.653805
Test 3, loss: 3.546605, test acc: 0.350000, test avg acc: 0.333333
Train 4, loss: 1.446925, train acc: 0.620000, train avg acc: 0.626374
Test 4, loss: 3.142002, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 1.584340, train acc: 0.600000, train avg acc: 0.603571
Test 5, loss: 2.815104, test acc: 0.275000, test avg acc: 0.250000
Train 6, loss: 1.692668, train acc: 0.560000, train avg acc: 0.567247
Test 6, loss: 2.077841, test acc: 0.525000, test avg acc: 0.508333
Train 7, loss: 1.601767, train acc: 0.626667, train avg acc: 0.629660
Test 7, loss: 1.689484, test acc: 0.550000, test avg acc: 0.536111
Train 8, loss: 1.555697, train acc: 0.700000, train avg acc: 0.700660
Test 8, loss: 1.976583, test acc: 0.550000, test avg acc: 0.545202
Train 9, loss: 1.821289, train acc: 0.600000, train avg acc: 0.603098
Test 9, loss: 1.578063, test acc: 0.775000, test avg acc: 0.772222
Train 10, loss: 1.639148, train acc: 0.553333, train avg acc: 0.550095
Test 10, loss: 1.520524, test acc: 0.725000, test avg acc: 0.710101
Train 11, loss: 1.537157, train acc: 0.586667, train avg acc: 0.589794
Test 11, loss: 1.766082, test acc: 0.550000, test avg acc: 0.542929
Train 12, loss: 1.517487, train acc: 0.613333, train avg acc: 0.623925
Test 12, loss: 1.533270, test acc: 0.650000, test avg acc: 0.644697
Train 13, loss: 1.451025, train acc: 0.613333, train avg acc: 0.615385
Test 13, loss: 1.610228, test acc: 0.675000, test avg acc: 0.658333
Train 14, loss: 1.365131, train acc: 0.673333, train avg acc: 0.670830
Test 14, loss: 1.217096, test acc: 0.775000, test avg acc: 0.758333
Train 15, loss: 1.295526, train acc: 0.700000, train avg acc: 0.695906
Test 15, loss: 1.300901, test acc: 0.575000, test avg acc: 0.578535
Train 16, loss: 1.288090, train acc: 0.680000, train avg acc: 0.682630
Test 16, loss: 1.037191, test acc: 0.750000, test avg acc: 0.733333
Train 17, loss: 1.228804, train acc: 0.646667, train avg acc: 0.654317
Test 17, loss: 1.083496, test acc: 0.725000, test avg acc: 0.708333
Train 18, loss: 1.180799, train acc: 0.673333, train avg acc: 0.672297
Test 18, loss: 1.069368, test acc: 0.725000, test avg acc: 0.705556
Train 19, loss: 1.193753, train acc: 0.633333, train avg acc: 0.638786
Test 19, loss: 1.042455, test acc: 0.700000, test avg acc: 0.694444
Train 20, loss: 1.139476, train acc: 0.713333, train avg acc: 0.716389
