K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.350580, train acc: 0.460000, train avg acc: 0.457036
Test 0, loss: 1.440708, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.352323, train acc: 0.593333, train avg acc: 0.595783
Test 1, loss: 1.887020, test acc: 0.375000, test avg acc: 0.361111
Train 2, loss: 1.276065, train acc: 0.686667, train avg acc: 0.692730
Test 2, loss: 1.907347, test acc: 0.525000, test avg acc: 0.508333
Train 3, loss: 1.630707, train acc: 0.566667, train avg acc: 0.569117
Test 3, loss: 2.516124, test acc: 0.500000, test avg acc: 0.488889
Train 4, loss: 1.699885, train acc: 0.660000, train avg acc: 0.665423
Test 4, loss: 1.590059, test acc: 0.650000, test avg acc: 0.647222
Train 5, loss: 1.546295, train acc: 0.620000, train avg acc: 0.622211
Test 5, loss: 1.719134, test acc: 0.700000, test avg acc: 0.691667
Train 6, loss: 1.510918, train acc: 0.653333, train avg acc: 0.652383
Test 6, loss: 1.359125, test acc: 0.725000, test avg acc: 0.705556
Train 7, loss: 1.509228, train acc: 0.660000, train avg acc: 0.657418
Test 7, loss: 1.216859, test acc: 0.750000, test avg acc: 0.741162
Train 8, loss: 1.383414, train acc: 0.720000, train avg acc: 0.726138
Test 8, loss: 1.460825, test acc: 0.650000, test avg acc: 0.641919
Train 9, loss: 1.414619, train acc: 0.580000, train avg acc: 0.582968
Test 9, loss: 1.332653, test acc: 0.700000, test avg acc: 0.694444
Train 10, loss: 1.555228, train acc: 0.613333, train avg acc: 0.620472
Test 10, loss: 1.161490, test acc: 0.750000, test avg acc: 0.733333
Train 11, loss: 1.441167, train acc: 0.700000, train avg acc: 0.703667
Test 11, loss: 1.520361, test acc: 0.675000, test avg acc: 0.669444
Train 12, loss: 1.477104, train acc: 0.633333, train avg acc: 0.637189
Test 12, loss: 1.145504, test acc: 0.750000, test avg acc: 0.741667
Train 13, loss: 1.324009, train acc: 0.620000, train avg acc: 0.619775
Test 13, loss: 1.320497, test acc: 0.775000, test avg acc: 0.769444
Train 14, loss: 1.393578, train acc: 0.633333, train avg acc: 0.632719
Test 14, loss: 1.133281, test acc: 0.700000, test avg acc: 0.684596
Train 15, loss: 1.316679, train acc: 0.673333, train avg acc: 0.676195
Test 15, loss: 1.283165, test acc: 0.725000, test avg acc: 0.722222
Train 16, loss: 1.242583, train acc: 0.726667, train avg acc: 0.726707
Test 16, loss: 1.053322, test acc: 0.775000, test avg acc: 0.761111
Train 17, loss: 1.301329, train acc: 0.693333, train avg acc: 0.691011
Test 17, loss: 1.055244, test acc: 0.775000, test avg acc: 0.758333
Train 18, loss: 1.215746, train acc: 0.746667, train avg acc: 0.751670
Test 18, loss: 1.140981, test acc: 0.725000, test avg acc: 0.722222
Train 19, loss: 1.196320, train acc: 0.666667, train avg acc: 0.667496
Test 19, loss: 1.011228, test acc: 0.725000, test avg acc: 0.708333
Train 20, loss: 1.171831, train acc: 0.693333, train avg acc: 0.699417
Test 20, loss: 1.154460, test acc: 0.775000, test avg acc: 0.772222
Train 21, loss: 1.199830, train acc: 0.746667, train avg acc: 0.747953
Test 21, loss: 1.031925, test acc: 0.750000, test avg acc: 0.736111
Train 22, loss: 1.156866, train acc: 0.693333, train avg acc: 0.685041
Test 22, loss: 1.048053, test acc: 0.725000, test avg acc: 0.702778
Train 23, loss: 1.104715, train acc: 0.706667, train avg acc: 0.700836
Test 23, loss: 0.976526, test acc: 0.750000, test avg acc: 0.738889
Train 24, loss: 1.073371, train acc: 0.733333, train avg acc: 0.733978
Test 24, loss: 0.981226, test acc: 0.800000, test avg acc: 0.786111
Train 25, loss: 1.133061, train acc: 0.753333, train avg acc: 0.755117
Test 25, loss: 1.059510, test acc: 0.775000, test avg acc: 0.758333
Train 26, loss: 1.113077, train acc: 0.753333, train avg acc: 0.753378
Test 26, loss: 0.962727, test acc: 0.750000, test avg acc: 0.727778
Train 27, loss: 1.079955, train acc: 0.740000, train avg acc: 0.753533
Test 27, loss: 0.959950, test acc: 0.750000, test avg acc: 0.730556
Train 28, loss: 1.041289, train acc: 0.766667, train avg acc: 0.765895
Test 28, loss: 0.965008, test acc: 0.750000, test avg acc: 0.736111
Train 29, loss: 1.021207, train acc: 0.760000, train avg acc: 0.759450
Test 29, loss: 0.931286, test acc: 0.850000, test avg acc: 0.836111
Train 30, loss: 1.030344, train acc: 0.766667, train avg acc: 0.761918
Test 30, loss: 0.919676, test acc: 0.850000, test avg acc: 0.836111
Train 31, loss: 1.062744, train acc: 0.746667, train avg acc: 0.749134
Test 31, loss: 0.986600, test acc: 0.775000, test avg acc: 0.769444
Train 32, loss: 1.049365, train acc: 0.793333, train avg acc: 0.792025
Test 32, loss: 0.925888, test acc: 0.825000, test avg acc: 0.813889
Train 33, loss: 0.996158, train acc: 0.800000, train avg acc: 0.807425
Test 33, loss: 0.944823, test acc: 0.800000, test avg acc: 0.788889
Train 34, loss: 1.024518, train acc: 0.760000, train avg acc: 0.756020
Test 34, loss: 0.968187, test acc: 0.775000, test avg acc: 0.766667
Train 35, loss: 1.020650, train acc: 0.793333, train avg acc: 0.792895
Test 35, loss: 0.953979, test acc: 0.775000, test avg acc: 0.758333
Train 36, loss: 1.017689, train acc: 0.773333, train avg acc: 0.784150
Test 36, loss: 0.960322, test acc: 0.775000, test avg acc: 0.761111
Train 37, loss: 0.999876, train acc: 0.760000, train avg acc: 0.768288
Test 37, loss: 0.929343, test acc: 0.750000, test avg acc: 0.730556
Train 38, loss: 0.993083, train acc: 0.760000, train avg acc: 0.763205
Test 38, loss: 0.936385, test acc: 0.775000, test avg acc: 0.772222
Train 39, loss: 0.984660, train acc: 0.786667, train avg acc: 0.788983
Test 39, loss: 0.942240, test acc: 0.775000, test avg acc: 0.766667
Train 40, loss: 1.000018, train acc: 0.773333, train avg acc: 0.773086
Test 40, loss: 0.922960, test acc: 0.775000, test avg acc: 0.755556
Train 41, loss: 0.967305, train acc: 0.766667, train avg acc: 0.773589
Test 41, loss: 0.925476, test acc: 0.825000, test avg acc: 0.813889
Train 42, loss: 1.000523, train acc: 0.766667, train avg acc: 0.767497
Test 42, loss: 0.930062, test acc: 0.800000, test avg acc: 0.797222
Train 43, loss: 0.953433, train acc: 0.840000, train avg acc: 0.843446
Test 43, loss: 0.920004, test acc: 0.850000, test avg acc: 0.838889
Train 44, loss: 0.976457, train acc: 0.773333, train avg acc: 0.779861
Test 44, loss: 0.913993, test acc: 0.800000, test avg acc: 0.783333
Train 45, loss: 0.965868, train acc: 0.753333, train avg acc: 0.767767
Test 45, loss: 0.926032, test acc: 0.800000, test avg acc: 0.794444
Train 46, loss: 0.969850, train acc: 0.773333, train avg acc: 0.782200
Test 46, loss: 0.924560, test acc: 0.775000, test avg acc: 0.761111
Train 47, loss: 0.954464, train acc: 0.813333, train avg acc: 0.811157
Test 47, loss: 0.911218, test acc: 0.800000, test avg acc: 0.788889
Train 48, loss: 0.963858, train acc: 0.793333, train avg acc: 0.800752
Test 48, loss: 0.914485, test acc: 0.825000, test avg acc: 0.816667
