K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 0, loss: 1.366389, train acc: 0.460000, train avg acc: 0.461483
Test 0, loss: 1.774938, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.444446, train acc: 0.533333, train avg acc: 0.531934
Test 1, loss: 5.195270, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.561274, train acc: 0.606667, train avg acc: 0.614750
Test 2, loss: 6.904141, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.725902, train acc: 0.506667, train avg acc: 0.507112
Test 3, loss: 4.209019, test acc: 0.375000, test avg acc: 0.350000
Train 4, loss: 1.708939, train acc: 0.533333, train avg acc: 0.541505
Test 4, loss: 1.811418, test acc: 0.400000, test avg acc: 0.388889
Train 5, loss: 1.776306, train acc: 0.560000, train avg acc: 0.563011
Test 5, loss: 1.619525, test acc: 0.450000, test avg acc: 0.436111
Train 6, loss: 1.662890, train acc: 0.500000, train avg acc: 0.502774
Test 6, loss: 1.812861, test acc: 0.525000, test avg acc: 0.513889
Train 7, loss: 1.635353, train acc: 0.613333, train avg acc: 0.618305
Test 7, loss: 1.349986, test acc: 0.650000, test avg acc: 0.637879
Train 8, loss: 1.658764, train acc: 0.546667, train avg acc: 0.549580
Test 8, loss: 1.925922, test acc: 0.475000, test avg acc: 0.481566
Train 9, loss: 1.527848, train acc: 0.646667, train avg acc: 0.651175
Test 9, loss: 1.602262, test acc: 0.625000, test avg acc: 0.615657
Train 10, loss: 1.537684, train acc: 0.620000, train avg acc: 0.619858
Test 10, loss: 1.436017, test acc: 0.675000, test avg acc: 0.657323
Train 11, loss: 1.416505, train acc: 0.660000, train avg acc: 0.661984
Test 11, loss: 1.374703, test acc: 0.625000, test avg acc: 0.609596
Train 12, loss: 1.321064, train acc: 0.693333, train avg acc: 0.702882
Test 12, loss: 1.192718, test acc: 0.675000, test avg acc: 0.662879
Train 13, loss: 1.280881, train acc: 0.633333, train avg acc: 0.635655
Test 13, loss: 1.156664, test acc: 0.700000, test avg acc: 0.687879
Train 14, loss: 1.329288, train acc: 0.700000, train avg acc: 0.698906
Test 14, loss: 1.300451, test acc: 0.775000, test avg acc: 0.761111
Train 15, loss: 1.207342, train acc: 0.746667, train avg acc: 0.744518
Test 15, loss: 1.074979, test acc: 0.725000, test avg acc: 0.716162
Train 16, loss: 1.325467, train acc: 0.660000, train avg acc: 0.658439
Test 16, loss: 1.467319, test acc: 0.725000, test avg acc: 0.716162
Train 17, loss: 1.289247, train acc: 0.700000, train avg acc: 0.706907
Test 17, loss: 1.033165, test acc: 0.700000, test avg acc: 0.688889
Train 18, loss: 1.284958, train acc: 0.653333, train avg acc: 0.653272
Test 18, loss: 1.132967, test acc: 0.775000, test avg acc: 0.752778
Train 19, loss: 1.198823, train acc: 0.686667, train avg acc: 0.692365
Test 19, loss: 1.191268, test acc: 0.675000, test avg acc: 0.668434
Train 20, loss: 1.254673, train acc: 0.666667, train avg acc: 0.668053
Test 20, loss: 0.977541, test acc: 0.825000, test avg acc: 0.811111
Train 21, loss: 1.222440, train acc: 0.686667, train avg acc: 0.688962
Test 21, loss: 1.209760, test acc: 0.825000, test avg acc: 0.822222
Train 22, loss: 1.157408, train acc: 0.700000, train avg acc: 0.703104
Test 22, loss: 0.975946, test acc: 0.725000, test avg acc: 0.708333
Train 23, loss: 1.086985, train acc: 0.773333, train avg acc: 0.776532
Test 23, loss: 1.037774, test acc: 0.725000, test avg acc: 0.710606
Train 24, loss: 1.089186, train acc: 0.726667, train avg acc: 0.725275
Test 24, loss: 1.032823, test acc: 0.775000, test avg acc: 0.772222
Train 25, loss: 1.065520, train acc: 0.773333, train avg acc: 0.779723
Test 25, loss: 1.006740, test acc: 0.750000, test avg acc: 0.730556
Train 26, loss: 1.050869, train acc: 0.760000, train avg acc: 0.765895
Test 26, loss: 0.944043, test acc: 0.775000, test avg acc: 0.758333
Train 27, loss: 1.041613, train acc: 0.766667, train avg acc: 0.770097
Test 27, loss: 1.038259, test acc: 0.775000, test avg acc: 0.775000
Train 28, loss: 1.055309, train acc: 0.766667, train avg acc: 0.767302
Test 28, loss: 0.996300, test acc: 0.825000, test avg acc: 0.813889
Train 29, loss: 1.010463, train acc: 0.800000, train avg acc: 0.801535
Test 29, loss: 0.939971, test acc: 0.775000, test avg acc: 0.752778
Train 30, loss: 0.996723, train acc: 0.773333, train avg acc: 0.776175
Test 30, loss: 0.995296, test acc: 0.800000, test avg acc: 0.786111
Train 31, loss: 1.013524, train acc: 0.766667, train avg acc: 0.764207
Test 31, loss: 0.940011, test acc: 0.825000, test avg acc: 0.813889
Train 32, loss: 0.992865, train acc: 0.780000, train avg acc: 0.785536
Test 32, loss: 0.943478, test acc: 0.775000, test avg acc: 0.758333
Train 33, loss: 0.986060, train acc: 0.780000, train avg acc: 0.782529
Test 33, loss: 0.956523, test acc: 0.775000, test avg acc: 0.766667
Train 34, loss: 0.966964, train acc: 0.833333, train avg acc: 0.832287
Test 34, loss: 0.922872, test acc: 0.825000, test avg acc: 0.813889
Train 35, loss: 0.993502, train acc: 0.786667, train avg acc: 0.795583
Test 35, loss: 0.936512, test acc: 0.825000, test avg acc: 0.811111
Train 36, loss: 0.993444, train acc: 0.753333, train avg acc: 0.754191
Test 36, loss: 0.939866, test acc: 0.850000, test avg acc: 0.844444
Train 37, loss: 0.958531, train acc: 0.786667, train avg acc: 0.785543
Test 37, loss: 0.966555, test acc: 0.800000, test avg acc: 0.797222
Train 38, loss: 0.982918, train acc: 0.800000, train avg acc: 0.804825
Test 38, loss: 0.923370, test acc: 0.775000, test avg acc: 0.761111
Train 39, loss: 0.974620, train acc: 0.760000, train avg acc: 0.770871
Test 39, loss: 0.912083, test acc: 0.850000, test avg acc: 0.838889
Train 40, loss: 0.986574, train acc: 0.780000, train avg acc: 0.782346
Test 40, loss: 0.959546, test acc: 0.850000, test avg acc: 0.841667
Train 41, loss: 0.951511, train acc: 0.840000, train avg acc: 0.841176
Test 41, loss: 0.935622, test acc: 0.825000, test avg acc: 0.813889
Train 42, loss: 0.975672, train acc: 0.780000, train avg acc: 0.791026
Test 42, loss: 0.962494, test acc: 0.775000, test avg acc: 0.761111
Train 43, loss: 0.939093, train acc: 0.806667, train avg acc: 0.800460
Test 43, loss: 0.949815, test acc: 0.800000, test avg acc: 0.786111
Train 44, loss: 0.948286, train acc: 0.813333, train avg acc: 0.807995
Test 44, loss: 0.932971, test acc: 0.825000, test avg acc: 0.816667
Train 45, loss: 0.955472, train acc: 0.826667, train avg acc: 0.828947
Test 45, loss: 0.939430, test acc: 0.775000, test avg acc: 0.761111
Train 46, loss: 0.964110, train acc: 0.840000, train avg acc: 0.846207
Test 46, loss: 0.912311, test acc: 0.825000, test avg acc: 0.811111
Train 47, loss: 0.923430, train acc: 0.833333, train avg acc: 0.835526
Test 47, loss: 0.935625, test acc: 0.850000, test avg acc: 0.844444
Train 48, loss: 0.944494, train acc: 0.800000, train avg acc: 0.801802
Test 48, loss: 0.906047, test acc: 0.850000, test avg acc: 0.838889
Train 49, loss: 0.940114, train acc: 0.813333, train avg acc: 0.817476
Test 49, loss: 0.904516, test acc: 0.875000, test avg acc: 0.866667
Train 50, loss: 0.958876, train acc: 0.820000, train avg acc: 0.825548
Test 50, loss: 0.931530, test acc: 0.800000, test avg acc: 0.791667
Train 51, loss: 0.932371, train acc: 0.860000, train avg acc: 0.860346
Test 51, loss: 0.918219, test acc: 0.825000, test avg acc: 0.816667
Train 52, loss: 0.955771, train acc: 0.826667, train avg acc: 0.823653
Test 52, loss: 0.907533, test acc: 0.850000, test avg acc: 0.838889
Train 53, loss: 0.973376, train acc: 0.780000, train avg acc: 0.782378
Test 53, loss: 0.914289, test acc: 0.850000, test avg acc: 0.841667
Train 54, loss: 0.963850, train acc: 0.800000, train avg acc: 0.799431
Test 54, loss: 0.920657, test acc: 0.825000, test avg acc: 0.811111
Train 55, loss: 0.920276, train acc: 0.820000, train avg acc: 0.824224
Test 55, loss: 0.911795, test acc: 0.850000, test avg acc: 0.838889
Train 56, loss: 0.949847, train acc: 0.820000, train avg acc: 0.825855
Test 56, loss: 0.911644, test acc: 0.850000, test avg acc: 0.841667
Train 57, loss: 0.926457, train acc: 0.820000, train avg acc: 0.825347
Test 57, loss: 0.910097, test acc: 0.850000, test avg acc: 0.841667
Train 58, loss: 0.950370, train acc: 0.833333, train avg acc: 0.837669
Test 58, loss: 0.905718, test acc: 0.850000, test avg acc: 0.841667
Train 59, loss: 0.943801, train acc: 0.826667, train avg acc: 0.830119
Test 59, loss: 0.904074, test acc: 0.800000, test avg acc: 0.783333
Train 60, loss: 0.933175, train acc: 0.846667, train avg acc: 0.851316
Test 60, loss: 0.907307, test acc: 0.850000, test avg acc: 0.838889
Train 61, loss: 0.930996, train acc: 0.846667, train avg acc: 0.847953
Test 61, loss: 0.899468, test acc: 0.850000, test avg acc: 0.838889
Train 62, loss: 0.942764, train acc: 0.820000, train avg acc: 0.820235
Test 62, loss: 0.895444, test acc: 0.850000, test avg acc: 0.838889
Train 63, loss: 0.927695, train acc: 0.840000, train avg acc: 0.839616
Test 63, loss: 0.894985, test acc: 0.825000, test avg acc: 0.811111
Train 64, loss: 0.940746, train acc: 0.840000, train avg acc: 0.839420
Test 64, loss: 0.902956, test acc: 0.850000, test avg acc: 0.838889
Train 65, loss: 0.916494, train acc: 0.813333, train avg acc: 0.809572
Test 65, loss: 0.910425, test acc: 0.875000, test avg acc: 0.872222
Train 66, loss: 0.948566, train acc: 0.800000, train avg acc: 0.800188
Test 66, loss: 0.909770, test acc: 0.850000, test avg acc: 0.844444
Train 67, loss: 0.937432, train acc: 0.840000, train avg acc: 0.844426
Test 67, loss: 0.903304, test acc: 0.850000, test avg acc: 0.838889
Train 68, loss: 0.911977, train acc: 0.806667, train avg acc: 0.807077
Test 68, loss: 0.905448, test acc: 0.850000, test avg acc: 0.838889
Train 69, loss: 0.920040, train acc: 0.813333, train avg acc: 0.814011
Test 69, loss: 0.903104, test acc: 0.850000, test avg acc: 0.836111
Train 70, loss: 0.915166, train acc: 0.860000, train avg acc: 0.860534
Test 70, loss: 0.894231, test acc: 0.875000, test avg acc: 0.866667
Train 71, loss: 0.910283, train acc: 0.833333, train avg acc: 0.833205
Test 71, loss: 0.898685, test acc: 0.900000, test avg acc: 0.891667
Train 72, loss: 0.907444, train acc: 0.880000, train avg acc: 0.879623
Test 72, loss: 0.898041, test acc: 0.850000, test avg acc: 0.841667
Train 73, loss: 0.895164, train acc: 0.860000, train avg acc: 0.858108
Test 73, loss: 0.900383, test acc: 0.850000, test avg acc: 0.841667
Train 74, loss: 0.926474, train acc: 0.840000, train avg acc: 0.842274
Test 74, loss: 0.903086, test acc: 0.850000, test avg acc: 0.841667
Train 75, loss: 0.924358, train acc: 0.846667, train avg acc: 0.847440
Test 75, loss: 0.902904, test acc: 0.850000, test avg acc: 0.841667
Train 76, loss: 0.925060, train acc: 0.806667, train avg acc: 0.811235
Test 76, loss: 0.912549, test acc: 0.850000, test avg acc: 0.838889
Train 77, loss: 0.923744, train acc: 0.840000, train avg acc: 0.841927
Test 77, loss: 0.917423, test acc: 0.850000, test avg acc: 0.838889
Train 78, loss: 0.924134, train acc: 0.820000, train avg acc: 0.829327
Test 78, loss: 0.911924, test acc: 0.825000, test avg acc: 0.813889
Train 79, loss: 0.919496, train acc: 0.860000, train avg acc: 0.859531
Test 79, loss: 0.903866, test acc: 0.825000, test avg acc: 0.813889
Train 80, loss: 0.912602, train acc: 0.806667, train avg acc: 0.810638
Test 80, loss: 0.900157, test acc: 0.850000, test avg acc: 0.841667
Train 81, loss: 0.926442, train acc: 0.820000, train avg acc: 0.823878
Test 81, loss: 0.903420, test acc: 0.850000, test avg acc: 0.841667
Train 82, loss: 0.931426, train acc: 0.833333, train avg acc: 0.836149
Test 82, loss: 0.914112, test acc: 0.825000, test avg acc: 0.819444
Train 83, loss: 0.912830, train acc: 0.846667, train avg acc: 0.851552
Test 83, loss: 0.907168, test acc: 0.875000, test avg acc: 0.869444
Train 84, loss: 0.931352, train acc: 0.826667, train avg acc: 0.827789
Test 84, loss: 0.902311, test acc: 0.875000, test avg acc: 0.866667
Train 85, loss: 0.907133, train acc: 0.860000, train avg acc: 0.860534
Test 85, loss: 0.904016, test acc: 0.850000, test avg acc: 0.841667
Train 86, loss: 0.894512, train acc: 0.853333, train avg acc: 0.851974
Test 86, loss: 0.908959, test acc: 0.850000, test avg acc: 0.844444
Train 87, loss: 0.930541, train acc: 0.820000, train avg acc: 0.828686
Test 87, loss: 0.917322, test acc: 0.850000, test avg acc: 0.844444
Train 88, loss: 0.897366, train acc: 0.846667, train avg acc: 0.848684
Test 88, loss: 0.912425, test acc: 0.850000, test avg acc: 0.841667
Train 89, loss: 0.894252, train acc: 0.873333, train avg acc: 0.874111
Test 89, loss: 0.916265, test acc: 0.875000, test avg acc: 0.869444
Train 90, loss: 0.934948, train acc: 0.833333, train avg acc: 0.839954
Test 90, loss: 0.924480, test acc: 0.850000, test avg acc: 0.844444
Train 91, loss: 0.910753, train acc: 0.853333, train avg acc: 0.856781
Test 91, loss: 0.922277, test acc: 0.875000, test avg acc: 0.869444
Train 92, loss: 0.910424, train acc: 0.840000, train avg acc: 0.838085
Test 92, loss: 0.920185, test acc: 0.875000, test avg acc: 0.869444
Train 93, loss: 0.912666, train acc: 0.820000, train avg acc: 0.828686
Test 93, loss: 0.919684, test acc: 0.875000, test avg acc: 0.866667
Train 94, loss: 0.916194, train acc: 0.840000, train avg acc: 0.841880
Test 94, loss: 0.928360, test acc: 0.850000, test avg acc: 0.841667
Train 95, loss: 0.895401, train acc: 0.860000, train avg acc: 0.859886
Test 95, loss: 0.918358, test acc: 0.850000, test avg acc: 0.841667
Train 96, loss: 0.899064, train acc: 0.840000, train avg acc: 0.844298
Test 96, loss: 0.920241, test acc: 0.850000, test avg acc: 0.841667
Train 97, loss: 0.926333, train acc: 0.826667, train avg acc: 0.832103
Test 97, loss: 0.923946, test acc: 0.875000, test avg acc: 0.872222
Train 98, loss: 0.898189, train acc: 0.840000, train avg acc: 0.834091
Test 98, loss: 0.934006, test acc: 0.800000, test avg acc: 0.797222
Train 99, loss: 0.916398, train acc: 0.833333, train avg acc: 0.831944
Test 99, loss: 0.916942, test acc: 0.825000, test avg acc: 0.819444
Train 100, loss: 0.899222, train acc: 0.820000, train avg acc: 0.824730
Test 100, loss: 0.915148, test acc: 0.825000, test avg acc: 0.813889
Train 101, loss: 0.903664, train acc: 0.873333, train avg acc: 0.876068
Test 101, loss: 0.918818, test acc: 0.825000, test avg acc: 0.813889
Train 102, loss: 0.912301, train acc: 0.846667, train avg acc: 0.856250
Test 102, loss: 0.912027, test acc: 0.875000, test avg acc: 0.869444
Train 103, loss: 0.907185, train acc: 0.813333, train avg acc: 0.814002
Test 103, loss: 0.916344, test acc: 0.850000, test avg acc: 0.844444
Train 104, loss: 0.890569, train acc: 0.886667, train avg acc: 0.891026
Test 104, loss: 0.913126, test acc: 0.900000, test avg acc: 0.894444
Train 105, loss: 0.893839, train acc: 0.833333, train avg acc: 0.839189
Test 105, loss: 0.918934, test acc: 0.825000, test avg acc: 0.813889
Train 106, loss: 0.901313, train acc: 0.860000, train avg acc: 0.865385
Test 106, loss: 0.909838, test acc: 0.875000, test avg acc: 0.866667
Train 107, loss: 0.934322, train acc: 0.833333, train avg acc: 0.835526
Test 107, loss: 0.904976, test acc: 0.875000, test avg acc: 0.869444
Train 108, loss: 0.937748, train acc: 0.813333, train avg acc: 0.815612
Test 108, loss: 0.907468, test acc: 0.875000, test avg acc: 0.869444
Train 109, loss: 0.906480, train acc: 0.820000, train avg acc: 0.818634
Test 109, loss: 0.912073, test acc: 0.875000, test avg acc: 0.866667
Train 110, loss: 0.920235, train acc: 0.846667, train avg acc: 0.844595
Test 110, loss: 0.941077, test acc: 0.825000, test avg acc: 0.811111
Train 111, loss: 0.906853, train acc: 0.846667, train avg acc: 0.850709
Test 111, loss: 0.939935, test acc: 0.800000, test avg acc: 0.786111
Train 112, loss: 0.898374, train acc: 0.840000, train avg acc: 0.844120
Test 112, loss: 0.915035, test acc: 0.825000, test avg acc: 0.813889
Train 113, loss: 0.912772, train acc: 0.840000, train avg acc: 0.840831
Test 113, loss: 0.904383, test acc: 0.875000, test avg acc: 0.869444
Train 114, loss: 0.888311, train acc: 0.873333, train avg acc: 0.870783
Test 114, loss: 0.902964, test acc: 0.850000, test avg acc: 0.838889
