K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 0, loss: 2.012099, train acc: 0.286667, train avg acc: 0.287895
Test 0, loss: 1.838626, test acc: 0.225000, test avg acc: 0.250000
Train 1, loss: 2.523898, train acc: 0.280000, train avg acc: 0.280350
Test 1, loss: 12.562529, test acc: 0.275000, test avg acc: 0.275000
Train 2, loss: 4.651711, train acc: 0.313333, train avg acc: 0.313834
Test 2, loss: 56.564752, test acc: 0.250000, test avg acc: 0.250000
Train 3, loss: 5.454199, train acc: 0.233333, train avg acc: 0.232723
Test 3, loss: 54.241666, test acc: 0.225000, test avg acc: 0.250000
Train 4, loss: 5.507656, train acc: 0.273333, train avg acc: 0.270833
Test 4, loss: 36.310952, test acc: 0.225000, test avg acc: 0.250000
Train 5, loss: 4.569569, train acc: 0.333333, train avg acc: 0.331568
Test 5, loss: 17.747204, test acc: 0.250000, test avg acc: 0.247727
Train 6, loss: 3.557884, train acc: 0.233333, train avg acc: 0.240772
Test 6, loss: 3.362620, test acc: 0.275000, test avg acc: 0.280556
Train 7, loss: 2.725256, train acc: 0.253333, train avg acc: 0.254090
Test 7, loss: 18.096268, test acc: 0.250000, test avg acc: 0.250000
Train 8, loss: 2.973671, train acc: 0.240000, train avg acc: 0.236620
Test 8, loss: 6.021725, test acc: 0.225000, test avg acc: 0.225000
Train 9, loss: 2.141061, train acc: 0.286667, train avg acc: 0.286838
Test 9, loss: 5.294040, test acc: 0.250000, test avg acc: 0.250000
Train 10, loss: 2.035825, train acc: 0.320000, train avg acc: 0.323037
Test 10, loss: 2.265563, test acc: 0.375000, test avg acc: 0.358333
Train 11, loss: 3.028430, train acc: 0.320000, train avg acc: 0.317082
Test 11, loss: 3.967157, test acc: 0.350000, test avg acc: 0.333333
Train 12, loss: 2.067971, train acc: 0.233333, train avg acc: 0.233963
Test 12, loss: 2.541246, test acc: 0.175000, test avg acc: 0.170455
Train 13, loss: 2.605705, train acc: 0.286667, train avg acc: 0.288808
Test 13, loss: 1.577676, test acc: 0.250000, test avg acc: 0.241919
Train 14, loss: 2.341008, train acc: 0.280000, train avg acc: 0.285791
Test 14, loss: 1.586921, test acc: 0.300000, test avg acc: 0.277778
Train 15, loss: 1.958457, train acc: 0.246667, train avg acc: 0.245481
Test 15, loss: 1.452222, test acc: 0.300000, test avg acc: 0.286364
Train 16, loss: 1.881147, train acc: 0.306667, train avg acc: 0.312162
Test 16, loss: 1.570788, test acc: 0.350000, test avg acc: 0.327273
Train 17, loss: 1.793067, train acc: 0.306667, train avg acc: 0.306066
Test 17, loss: 1.584210, test acc: 0.425000, test avg acc: 0.417929
Train 18, loss: 1.863287, train acc: 0.300000, train avg acc: 0.299227
Test 18, loss: 1.635442, test acc: 0.275000, test avg acc: 0.265909
Train 19, loss: 1.942840, train acc: 0.213333, train avg acc: 0.213834
Test 19, loss: 1.613175, test acc: 0.350000, test avg acc: 0.343182
Train 20, loss: 1.695639, train acc: 0.253333, train avg acc: 0.244788
Test 20, loss: 1.453726, test acc: 0.300000, test avg acc: 0.290909
Train 21, loss: 1.524418, train acc: 0.300000, train avg acc: 0.302276
Test 21, loss: 1.372832, test acc: 0.350000, test avg acc: 0.331818
Train 22, loss: 1.683777, train acc: 0.320000, train avg acc: 0.329057
Test 22, loss: 1.518459, test acc: 0.325000, test avg acc: 0.332071
Train 23, loss: 1.735779, train acc: 0.406667, train avg acc: 0.401610
Test 23, loss: 1.522517, test acc: 0.275000, test avg acc: 0.270960
Train 24, loss: 1.542873, train acc: 0.353333, train avg acc: 0.352724
Test 24, loss: 1.578752, test acc: 0.350000, test avg acc: 0.346465
Train 25, loss: 1.618673, train acc: 0.340000, train avg acc: 0.336488
Test 25, loss: 1.470825, test acc: 0.325000, test avg acc: 0.318687
Train 26, loss: 1.505504, train acc: 0.280000, train avg acc: 0.269444
Test 26, loss: 1.415081, test acc: 0.300000, test avg acc: 0.275000
Train 27, loss: 1.450270, train acc: 0.333333, train avg acc: 0.328185
Test 27, loss: 1.431574, test acc: 0.300000, test avg acc: 0.291414
Train 28, loss: 1.503999, train acc: 0.353333, train avg acc: 0.356722
Test 28, loss: 1.710686, test acc: 0.375000, test avg acc: 0.361364
Train 29, loss: 1.532551, train acc: 0.406667, train avg acc: 0.410055
Test 29, loss: 1.453095, test acc: 0.400000, test avg acc: 0.390909
Train 30, loss: 1.425200, train acc: 0.320000, train avg acc: 0.318713
Test 30, loss: 1.356043, test acc: 0.325000, test avg acc: 0.320960
Train 31, loss: 1.413336, train acc: 0.380000, train avg acc: 0.377515
Test 31, loss: 1.447848, test acc: 0.400000, test avg acc: 0.384091
Train 32, loss: 1.384393, train acc: 0.420000, train avg acc: 0.423597
Test 32, loss: 1.449142, test acc: 0.475000, test avg acc: 0.450000
Train 33, loss: 1.481719, train acc: 0.406667, train avg acc: 0.405582
Test 33, loss: 1.332590, test acc: 0.400000, test avg acc: 0.386364
