K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 0, loss: 2.003404, train acc: 0.253333, train avg acc: 0.253930
Test 0, loss: 1.829357, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 2.345398, train acc: 0.226667, train avg acc: 0.226474
Test 1, loss: 4.251538, test acc: 0.250000, test avg acc: 0.250000
Train 2, loss: 4.311915, train acc: 0.213333, train avg acc: 0.214794
Test 2, loss: 4.715903, test acc: 0.375000, test avg acc: 0.350000
Train 3, loss: 3.802091, train acc: 0.273333, train avg acc: 0.268216
Test 3, loss: 8.552820, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 3.207739, train acc: 0.293333, train avg acc: 0.296053
Test 4, loss: 11.405831, test acc: 0.275000, test avg acc: 0.277778
Train 5, loss: 2.975642, train acc: 0.360000, train avg acc: 0.355685
Test 5, loss: 2.369357, test acc: 0.300000, test avg acc: 0.303283
Train 6, loss: 4.570199, train acc: 0.273333, train avg acc: 0.278331
Test 6, loss: 3.361007, test acc: 0.225000, test avg acc: 0.244949
Train 7, loss: 3.748284, train acc: 0.293333, train avg acc: 0.294452
Test 7, loss: 2.325402, test acc: 0.250000, test avg acc: 0.250000
Train 8, loss: 3.635699, train acc: 0.266667, train avg acc: 0.263163
Test 8, loss: 2.817803, test acc: 0.250000, test avg acc: 0.250000
Train 9, loss: 3.219824, train acc: 0.273333, train avg acc: 0.267400
Test 9, loss: 6.915104, test acc: 0.250000, test avg acc: 0.250000
Train 10, loss: 3.692051, train acc: 0.220000, train avg acc: 0.218280
Test 10, loss: 6.957927, test acc: 0.300000, test avg acc: 0.318182
Train 11, loss: 3.165686, train acc: 0.233333, train avg acc: 0.233189
Test 11, loss: 5.615928, test acc: 0.175000, test avg acc: 0.172727
Train 12, loss: 2.430875, train acc: 0.300000, train avg acc: 0.307821
Test 12, loss: 3.424194, test acc: 0.125000, test avg acc: 0.133838
Train 13, loss: 2.487833, train acc: 0.280000, train avg acc: 0.278933
Test 13, loss: 1.744811, test acc: 0.275000, test avg acc: 0.254545
Train 14, loss: 3.368813, train acc: 0.293333, train avg acc: 0.295406
Test 14, loss: 2.037536, test acc: 0.300000, test avg acc: 0.300000
Train 15, loss: 3.488044, train acc: 0.326667, train avg acc: 0.323118
Test 15, loss: 2.154537, test acc: 0.175000, test avg acc: 0.172727
Train 16, loss: 3.389143, train acc: 0.240000, train avg acc: 0.238514
Test 16, loss: 5.008537, test acc: 0.225000, test avg acc: 0.250000
Train 17, loss: 3.549944, train acc: 0.293333, train avg acc: 0.290430
Test 17, loss: 2.545180, test acc: 0.250000, test avg acc: 0.251515
Train 18, loss: 2.091249, train acc: 0.300000, train avg acc: 0.299638
Test 18, loss: 2.253177, test acc: 0.225000, test avg acc: 0.250000
Train 19, loss: 2.172569, train acc: 0.213333, train avg acc: 0.210600
Test 19, loss: 2.578843, test acc: 0.175000, test avg acc: 0.174242
Train 20, loss: 2.564831, train acc: 0.240000, train avg acc: 0.246780
Test 20, loss: 1.909427, test acc: 0.300000, test avg acc: 0.275000
Train 21, loss: 1.899031, train acc: 0.246667, train avg acc: 0.249289
Test 21, loss: 1.494020, test acc: 0.225000, test avg acc: 0.209091
Train 22, loss: 2.006200, train acc: 0.260000, train avg acc: 0.260380
Test 22, loss: 1.497545, test acc: 0.275000, test avg acc: 0.272727
Train 23, loss: 1.975855, train acc: 0.220000, train avg acc: 0.230133
Test 23, loss: 1.407706, test acc: 0.275000, test avg acc: 0.272727
Train 24, loss: 1.602740, train acc: 0.273333, train avg acc: 0.269773
Test 24, loss: 1.409695, test acc: 0.225000, test avg acc: 0.236111
Train 25, loss: 1.842747, train acc: 0.306667, train avg acc: 0.307626
Test 25, loss: 1.592509, test acc: 0.225000, test avg acc: 0.247222
Train 26, loss: 1.794079, train acc: 0.300000, train avg acc: 0.290607
Test 26, loss: 1.824316, test acc: 0.225000, test avg acc: 0.250000
Train 27, loss: 1.830295, train acc: 0.306667, train avg acc: 0.314721
Test 27, loss: 1.408917, test acc: 0.325000, test avg acc: 0.302273
Train 28, loss: 1.556712, train acc: 0.286667, train avg acc: 0.290194
Test 28, loss: 1.393063, test acc: 0.325000, test avg acc: 0.304545
Train 29, loss: 1.467257, train acc: 0.300000, train avg acc: 0.295459
Test 29, loss: 1.372888, test acc: 0.450000, test avg acc: 0.431818
Train 30, loss: 1.398608, train acc: 0.360000, train avg acc: 0.362939
Test 30, loss: 1.388433, test acc: 0.400000, test avg acc: 0.386364
Train 31, loss: 1.460178, train acc: 0.346667, train avg acc: 0.336393
Test 31, loss: 1.368395, test acc: 0.400000, test avg acc: 0.386364
Train 32, loss: 1.507208, train acc: 0.313333, train avg acc: 0.315142
Test 32, loss: 1.397863, test acc: 0.275000, test avg acc: 0.280556
Train 33, loss: 1.439969, train acc: 0.260000, train avg acc: 0.258218
Test 33, loss: 1.377705, test acc: 0.325000, test avg acc: 0.325505
Train 34, loss: 1.424353, train acc: 0.280000, train avg acc: 0.274890
Test 34, loss: 1.368510, test acc: 0.350000, test avg acc: 0.347727
Train 35, loss: 1.418484, train acc: 0.346667, train avg acc: 0.357689
Test 35, loss: 1.362849, test acc: 0.350000, test avg acc: 0.343182
Train 36, loss: 1.403217, train acc: 0.266667, train avg acc: 0.272330
Test 36, loss: 1.343631, test acc: 0.400000, test avg acc: 0.379545
Train 37, loss: 1.396166, train acc: 0.406667, train avg acc: 0.408344
Test 37, loss: 1.337304, test acc: 0.450000, test avg acc: 0.431818
Train 38, loss: 1.399975, train acc: 0.293333, train avg acc: 0.295606
Test 38, loss: 1.368953, test acc: 0.250000, test avg acc: 0.247727
Train 39, loss: 1.393549, train acc: 0.313333, train avg acc: 0.310363
Test 39, loss: 1.362337, test acc: 0.275000, test avg acc: 0.275505
Train 40, loss: 1.381685, train acc: 0.266667, train avg acc: 0.264580
Test 40, loss: 1.354917, test acc: 0.375000, test avg acc: 0.383586
Train 41, loss: 1.360051, train acc: 0.373333, train avg acc: 0.358329
Test 41, loss: 1.346512, test acc: 0.350000, test avg acc: 0.358586
Train 42, loss: 1.375714, train acc: 0.333333, train avg acc: 0.331137
Test 42, loss: 1.336439, test acc: 0.350000, test avg acc: 0.335606
Train 43, loss: 1.363612, train acc: 0.380000, train avg acc: 0.384576
Test 43, loss: 1.327072, test acc: 0.400000, test avg acc: 0.383333
Train 44, loss: 1.371508, train acc: 0.300000, train avg acc: 0.294801
Test 44, loss: 1.338666, test acc: 0.425000, test avg acc: 0.419697
Train 45, loss: 1.376964, train acc: 0.266667, train avg acc: 0.263783
Test 45, loss: 1.332408, test acc: 0.350000, test avg acc: 0.358586
Train 46, loss: 1.340938, train acc: 0.353333, train avg acc: 0.361554
Test 46, loss: 1.321582, test acc: 0.350000, test avg acc: 0.358586
Train 47, loss: 1.341080, train acc: 0.326667, train avg acc: 0.326201
Test 47, loss: 1.321845, test acc: 0.350000, test avg acc: 0.347475
Train 48, loss: 1.350287, train acc: 0.293333, train avg acc: 0.292852
Test 48, loss: 1.319379, test acc: 0.375000, test avg acc: 0.366919
Train 49, loss: 1.331029, train acc: 0.360000, train avg acc: 0.373829
Test 49, loss: 1.317298, test acc: 0.325000, test avg acc: 0.316414
Train 50, loss: 1.352088, train acc: 0.326667, train avg acc: 0.322292
Test 50, loss: 1.337361, test acc: 0.325000, test avg acc: 0.318182
Train 51, loss: 1.357550, train acc: 0.380000, train avg acc: 0.380507
Test 51, loss: 1.335612, test acc: 0.425000, test avg acc: 0.400000
Train 52, loss: 1.373097, train acc: 0.346667, train avg acc: 0.346403
Test 52, loss: 1.323136, test acc: 0.400000, test avg acc: 0.377778
Train 53, loss: 1.302156, train acc: 0.413333, train avg acc: 0.416493
Test 53, loss: 1.325273, test acc: 0.350000, test avg acc: 0.340152
Train 54, loss: 1.315923, train acc: 0.373333, train avg acc: 0.367862
Test 54, loss: 1.314969, test acc: 0.450000, test avg acc: 0.453030
Train 55, loss: 1.371395, train acc: 0.373333, train avg acc: 0.378829
Test 55, loss: 1.389309, test acc: 0.425000, test avg acc: 0.406818
Train 56, loss: 1.311579, train acc: 0.373333, train avg acc: 0.375606
Test 56, loss: 1.321069, test acc: 0.375000, test avg acc: 0.380808
Train 57, loss: 1.314125, train acc: 0.380000, train avg acc: 0.384868
Test 57, loss: 1.316309, test acc: 0.450000, test avg acc: 0.441919
Train 58, loss: 1.346210, train acc: 0.366667, train avg acc: 0.369562
Test 58, loss: 1.297687, test acc: 0.425000, test avg acc: 0.414141
Train 59, loss: 1.326209, train acc: 0.340000, train avg acc: 0.339396
Test 59, loss: 1.315252, test acc: 0.550000, test avg acc: 0.536364
Train 60, loss: 1.298317, train acc: 0.413333, train avg acc: 0.411027
Test 60, loss: 1.291103, test acc: 0.425000, test avg acc: 0.411364
Train 61, loss: 1.331581, train acc: 0.386667, train avg acc: 0.384246
Test 61, loss: 1.287899, test acc: 0.475000, test avg acc: 0.469697
Train 62, loss: 1.289872, train acc: 0.420000, train avg acc: 0.426877
