K: 16, local_K: 16, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 0, loss: 1.986372, train acc: 0.481250, train avg acc: 0.482833
Test 0, loss: 7.108795, test acc: 0.525000, test avg acc: 0.500000
Train 1, loss: 4.076965, train acc: 0.393750, train avg acc: 0.395927
Test 1, loss: 44.681010, test acc: 0.300000, test avg acc: 0.275000
Train 2, loss: 3.006835, train acc: 0.468750, train avg acc: 0.471095
Test 2, loss: 10.009284, test acc: 0.325000, test avg acc: 0.323232
Train 3, loss: 2.924319, train acc: 0.487500, train avg acc: 0.489220
Test 3, loss: 2.194113, test acc: 0.475000, test avg acc: 0.477273
Train 4, loss: 2.011636, train acc: 0.412500, train avg acc: 0.414982
Test 4, loss: 1.165402, test acc: 0.650000, test avg acc: 0.627778
Train 5, loss: 1.460366, train acc: 0.506250, train avg acc: 0.507047
Test 5, loss: 1.291581, test acc: 0.525000, test avg acc: 0.500000
Train 6, loss: 1.491337, train acc: 0.418750, train avg acc: 0.421873
Test 6, loss: 1.201172, test acc: 0.550000, test avg acc: 0.530556
Train 7, loss: 1.340667, train acc: 0.537500, train avg acc: 0.539884
Test 7, loss: 1.068297, test acc: 0.675000, test avg acc: 0.650000
Train 8, loss: 1.185873, train acc: 0.600000, train avg acc: 0.602240
Test 8, loss: 1.073806, test acc: 0.675000, test avg acc: 0.652778
Train 9, loss: 1.236234, train acc: 0.593750, train avg acc: 0.597072
Test 9, loss: 1.067181, test acc: 0.650000, test avg acc: 0.650000
Train 10, loss: 1.173158, train acc: 0.618750, train avg acc: 0.621295
Test 10, loss: 1.018207, test acc: 0.650000, test avg acc: 0.633333
Train 11, loss: 1.205134, train acc: 0.562500, train avg acc: 0.564435
Test 11, loss: 1.022074, test acc: 0.725000, test avg acc: 0.700000
Train 12, loss: 1.078991, train acc: 0.687500, train avg acc: 0.689923
Test 12, loss: 1.046387, test acc: 0.650000, test avg acc: 0.650000
Train 13, loss: 1.151290, train acc: 0.612500, train avg acc: 0.615373
Test 13, loss: 1.067317, test acc: 0.600000, test avg acc: 0.594444
Train 14, loss: 1.113607, train acc: 0.656250, train avg acc: 0.658040
Test 14, loss: 0.987673, test acc: 0.675000, test avg acc: 0.652778
Train 15, loss: 1.132763, train acc: 0.631250, train avg acc: 0.633947
Test 15, loss: 1.049280, test acc: 0.725000, test avg acc: 0.702778
Train 16, loss: 1.127557, train acc: 0.618750, train avg acc: 0.620685
Test 16, loss: 1.097760, test acc: 0.625000, test avg acc: 0.625000
Train 17, loss: 1.078606, train acc: 0.706250, train avg acc: 0.709299
Test 17, loss: 0.985472, test acc: 0.700000, test avg acc: 0.686111
Train 18, loss: 1.066826, train acc: 0.718750, train avg acc: 0.721029
Test 18, loss: 1.003072, test acc: 0.700000, test avg acc: 0.691667
Train 19, loss: 1.086642, train acc: 0.706250, train avg acc: 0.706660
Test 19, loss: 1.023881, test acc: 0.625000, test avg acc: 0.608333
Train 20, loss: 1.119353, train acc: 0.643750, train avg acc: 0.646623
Test 20, loss: 1.020044, test acc: 0.700000, test avg acc: 0.694444
Train 21, loss: 1.094383, train acc: 0.718750, train avg acc: 0.721326
Test 21, loss: 0.986650, test acc: 0.750000, test avg acc: 0.738889
Train 22, loss: 1.028029, train acc: 0.756250, train avg acc: 0.757591
Test 22, loss: 0.996705, test acc: 0.700000, test avg acc: 0.694444
Train 23, loss: 1.077252, train acc: 0.712500, train avg acc: 0.714634
Test 23, loss: 0.969773, test acc: 0.750000, test avg acc: 0.736111
Train 24, loss: 0.995247, train acc: 0.781250, train avg acc: 0.783071
Test 24, loss: 0.984804, test acc: 0.725000, test avg acc: 0.716667
Train 25, loss: 1.047913, train acc: 0.725000, train avg acc: 0.727134
Test 25, loss: 0.989593, test acc: 0.725000, test avg acc: 0.719444
Train 26, loss: 1.046940, train acc: 0.743750, train avg acc: 0.746639
Test 26, loss: 0.987184, test acc: 0.725000, test avg acc: 0.716667
Train 27, loss: 1.045536, train acc: 0.712500, train avg acc: 0.715228
Test 27, loss: 0.950316, test acc: 0.800000, test avg acc: 0.780556
Train 28, loss: 1.018704, train acc: 0.762500, train avg acc: 0.764787
Test 28, loss: 1.016189, test acc: 0.750000, test avg acc: 0.750000
Train 29, loss: 1.023260, train acc: 0.768750, train avg acc: 0.771341
Test 29, loss: 1.021567, test acc: 0.750000, test avg acc: 0.741667
Train 30, loss: 1.054312, train acc: 0.731250, train avg acc: 0.733834
Test 30, loss: 1.031904, test acc: 0.700000, test avg acc: 0.694444
Train 31, loss: 1.026675, train acc: 0.768750, train avg acc: 0.771181
Test 31, loss: 0.951848, test acc: 0.725000, test avg acc: 0.716667
Train 32, loss: 0.989888, train acc: 0.768750, train avg acc: 0.770579
Test 32, loss: 0.951061, test acc: 0.750000, test avg acc: 0.744444
Train 33, loss: 1.005396, train acc: 0.800000, train avg acc: 0.801982
Test 33, loss: 0.982417, test acc: 0.700000, test avg acc: 0.686111
Train 34, loss: 1.052890, train acc: 0.725000, train avg acc: 0.727720
Test 34, loss: 0.991206, test acc: 0.725000, test avg acc: 0.719444
Train 35, loss: 1.005840, train acc: 0.793750, train avg acc: 0.795267
Test 35, loss: 1.037050, test acc: 0.750000, test avg acc: 0.741667
Train 36, loss: 1.016819, train acc: 0.775000, train avg acc: 0.777889
Test 36, loss: 0.992366, test acc: 0.725000, test avg acc: 0.719444
Train 37, loss: 1.019059, train acc: 0.762500, train avg acc: 0.765396
Test 37, loss: 1.004737, test acc: 0.725000, test avg acc: 0.719444
Train 38, loss: 1.013062, train acc: 0.781250, train avg acc: 0.783376
Test 38, loss: 0.983737, test acc: 0.700000, test avg acc: 0.688889
Train 39, loss: 1.009978, train acc: 0.800000, train avg acc: 0.801982
Test 39, loss: 0.978452, test acc: 0.750000, test avg acc: 0.736111
Train 40, loss: 0.985775, train acc: 0.800000, train avg acc: 0.802431
Test 40, loss: 1.039305, test acc: 0.725000, test avg acc: 0.719444
Train 41, loss: 1.006896, train acc: 0.768750, train avg acc: 0.770732
Test 41, loss: 0.980757, test acc: 0.700000, test avg acc: 0.686111
Train 42, loss: 0.979526, train acc: 0.831250, train avg acc: 0.832774
Test 42, loss: 1.042367, test acc: 0.700000, test avg acc: 0.688889
Train 43, loss: 1.006427, train acc: 0.731250, train avg acc: 0.733841
Test 43, loss: 0.963039, test acc: 0.700000, test avg acc: 0.686111
Train 44, loss: 0.967033, train acc: 0.831250, train avg acc: 0.833689
Test 44, loss: 0.985407, test acc: 0.725000, test avg acc: 0.713889
Train 45, loss: 0.962271, train acc: 0.800000, train avg acc: 0.801829
Test 45, loss: 0.933374, test acc: 0.800000, test avg acc: 0.780556
Train 46, loss: 1.000122, train acc: 0.806250, train avg acc: 0.809299
Test 46, loss: 0.984811, test acc: 0.725000, test avg acc: 0.719444
Train 47, loss: 0.940520, train acc: 0.850000, train avg acc: 0.851829
Test 47, loss: 0.973676, test acc: 0.750000, test avg acc: 0.736111
Train 48, loss: 0.974317, train acc: 0.818750, train avg acc: 0.820274
Test 48, loss: 0.989023, test acc: 0.700000, test avg acc: 0.680556
Train 49, loss: 1.022446, train acc: 0.781250, train avg acc: 0.783681
Test 49, loss: 0.989141, test acc: 0.725000, test avg acc: 0.713889
Train 50, loss: 0.975484, train acc: 0.793750, train avg acc: 0.796799
Test 50, loss: 0.986437, test acc: 0.700000, test avg acc: 0.686111
Train 51, loss: 0.995527, train acc: 0.756250, train avg acc: 0.758689
Test 51, loss: 0.931355, test acc: 0.825000, test avg acc: 0.811111
Train 52, loss: 0.967196, train acc: 0.800000, train avg acc: 0.802896
Test 52, loss: 0.956540, test acc: 0.725000, test avg acc: 0.708333
Train 53, loss: 0.955438, train acc: 0.806250, train avg acc: 0.808384
Test 53, loss: 0.932457, test acc: 0.800000, test avg acc: 0.783333
Train 54, loss: 0.958547, train acc: 0.812500, train avg acc: 0.814787
Test 54, loss: 0.944186, test acc: 0.775000, test avg acc: 0.761111
Train 55, loss: 0.935986, train acc: 0.843750, train avg acc: 0.845122
Test 55, loss: 0.972232, test acc: 0.725000, test avg acc: 0.713889
