K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 0, loss: 1.329984, train acc: 0.540000, train avg acc: 0.545091
Test 0, loss: 2.682119, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.349364, train acc: 0.526667, train avg acc: 0.528846
Test 1, loss: 3.381962, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.765897, train acc: 0.553333, train avg acc: 0.556703
Test 2, loss: 3.082449, test acc: 0.500000, test avg acc: 0.475000
Train 3, loss: 1.992374, train acc: 0.506667, train avg acc: 0.506401
Test 3, loss: 10.592904, test acc: 0.300000, test avg acc: 0.275000
Train 4, loss: 1.642951, train acc: 0.666667, train avg acc: 0.667360
Test 4, loss: 1.777317, test acc: 0.350000, test avg acc: 0.325000
Train 5, loss: 1.686150, train acc: 0.566667, train avg acc: 0.562593
Test 5, loss: 2.062226, test acc: 0.600000, test avg acc: 0.575000
Train 6, loss: 2.513366, train acc: 0.526667, train avg acc: 0.533046
Test 6, loss: 1.550456, test acc: 0.475000, test avg acc: 0.455556
Train 7, loss: 2.276928, train acc: 0.533333, train avg acc: 0.531540
Test 7, loss: 2.397923, test acc: 0.525000, test avg acc: 0.500000
Train 8, loss: 1.699351, train acc: 0.633333, train avg acc: 0.637738
Test 8, loss: 4.660114, test acc: 0.525000, test avg acc: 0.500000
Train 9, loss: 1.513027, train acc: 0.653333, train avg acc: 0.651791
Test 9, loss: 1.490940, test acc: 0.675000, test avg acc: 0.672222
Train 10, loss: 1.490603, train acc: 0.626667, train avg acc: 0.639476
Test 10, loss: 1.243695, test acc: 0.700000, test avg acc: 0.694444
Train 11, loss: 1.252796, train acc: 0.680000, train avg acc: 0.669886
Test 11, loss: 1.136545, test acc: 0.700000, test avg acc: 0.694444
Train 12, loss: 1.274757, train acc: 0.626667, train avg acc: 0.630482
Test 12, loss: 1.216127, test acc: 0.625000, test avg acc: 0.622222
Train 13, loss: 1.234185, train acc: 0.633333, train avg acc: 0.627843
Test 13, loss: 1.094141, test acc: 0.800000, test avg acc: 0.797222
Train 14, loss: 1.250768, train acc: 0.593333, train avg acc: 0.592350
Test 14, loss: 1.140274, test acc: 0.725000, test avg acc: 0.702778
Train 15, loss: 1.174711, train acc: 0.673333, train avg acc: 0.669859
Test 15, loss: 1.025475, test acc: 0.750000, test avg acc: 0.747222
Train 16, loss: 1.098904, train acc: 0.720000, train avg acc: 0.721056
Test 16, loss: 1.031476, test acc: 0.750000, test avg acc: 0.725000
Train 17, loss: 1.093655, train acc: 0.720000, train avg acc: 0.721491
Test 17, loss: 1.055927, test acc: 0.725000, test avg acc: 0.700000
Train 18, loss: 1.082558, train acc: 0.713333, train avg acc: 0.713839
Test 18, loss: 1.014342, test acc: 0.800000, test avg acc: 0.786111
Train 19, loss: 1.110511, train acc: 0.706667, train avg acc: 0.708945
Test 19, loss: 1.020468, test acc: 0.825000, test avg acc: 0.816667
Train 20, loss: 1.019896, train acc: 0.766667, train avg acc: 0.759081
Test 20, loss: 0.972450, test acc: 0.750000, test avg acc: 0.725000
Train 21, loss: 1.026235, train acc: 0.746667, train avg acc: 0.736537
Test 21, loss: 0.945374, test acc: 0.750000, test avg acc: 0.725000
Train 22, loss: 1.072874, train acc: 0.686667, train avg acc: 0.686513
Test 22, loss: 0.979726, test acc: 0.725000, test avg acc: 0.722222
Train 23, loss: 1.025659, train acc: 0.733333, train avg acc: 0.728493
Test 23, loss: 0.976359, test acc: 0.700000, test avg acc: 0.677778
Train 24, loss: 1.018002, train acc: 0.700000, train avg acc: 0.709122
Test 24, loss: 0.946770, test acc: 0.725000, test avg acc: 0.700000
Train 25, loss: 0.986311, train acc: 0.793333, train avg acc: 0.787340
Test 25, loss: 0.969779, test acc: 0.850000, test avg acc: 0.844444
Train 26, loss: 0.990516, train acc: 0.780000, train avg acc: 0.777560
Test 26, loss: 0.923409, test acc: 0.825000, test avg acc: 0.808333
Train 27, loss: 0.992278, train acc: 0.740000, train avg acc: 0.748246
Test 27, loss: 0.917991, test acc: 0.800000, test avg acc: 0.780556
Train 28, loss: 1.021619, train acc: 0.706667, train avg acc: 0.711221
Test 28, loss: 0.926310, test acc: 0.775000, test avg acc: 0.766667
