K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 0, loss: 1.362036, train acc: 0.506667, train avg acc: 0.511606
Test 0, loss: 2.182811, test acc: 0.200000, test avg acc: 0.200000
Train 1, loss: 1.417189, train acc: 0.506667, train avg acc: 0.511752
Test 1, loss: 3.682955, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.481370, train acc: 0.580000, train avg acc: 0.582158
Test 2, loss: 1.891678, test acc: 0.325000, test avg acc: 0.300000
Train 3, loss: 1.652385, train acc: 0.620000, train avg acc: 0.619666
Test 3, loss: 2.190222, test acc: 0.325000, test avg acc: 0.300000
Train 4, loss: 1.642960, train acc: 0.586667, train avg acc: 0.588704
Test 4, loss: 1.714259, test acc: 0.425000, test avg acc: 0.402778
Train 5, loss: 1.568171, train acc: 0.546667, train avg acc: 0.544095
Test 5, loss: 1.351016, test acc: 0.650000, test avg acc: 0.636111
Train 6, loss: 1.849405, train acc: 0.586667, train avg acc: 0.591826
Test 6, loss: 1.506035, test acc: 0.675000, test avg acc: 0.675000
Train 7, loss: 1.764213, train acc: 0.586667, train avg acc: 0.585416
Test 7, loss: 1.455105, test acc: 0.675000, test avg acc: 0.672222
Train 8, loss: 1.631196, train acc: 0.633333, train avg acc: 0.639846
Test 8, loss: 1.282815, test acc: 0.750000, test avg acc: 0.725000
Train 9, loss: 1.379899, train acc: 0.600000, train avg acc: 0.602303
Test 9, loss: 1.282581, test acc: 0.650000, test avg acc: 0.650000
Train 10, loss: 1.487150, train acc: 0.560000, train avg acc: 0.572414
Test 10, loss: 1.079604, test acc: 0.700000, test avg acc: 0.677778
Train 11, loss: 1.253267, train acc: 0.606667, train avg acc: 0.600675
Test 11, loss: 1.133687, test acc: 0.725000, test avg acc: 0.719444
Train 12, loss: 1.390910, train acc: 0.633333, train avg acc: 0.637061
Test 12, loss: 0.976250, test acc: 0.800000, test avg acc: 0.780556
Train 13, loss: 1.290191, train acc: 0.653333, train avg acc: 0.651506
Test 13, loss: 1.169786, test acc: 0.750000, test avg acc: 0.730556
Train 14, loss: 1.250410, train acc: 0.673333, train avg acc: 0.675741
Test 14, loss: 1.148319, test acc: 0.725000, test avg acc: 0.722222
