K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 0, loss: 1.328715, train acc: 0.500000, train avg acc: 0.503695
Test 0, loss: 2.714624, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.203654, train acc: 0.666667, train avg acc: 0.667735
Test 1, loss: 5.733101, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.306918, train acc: 0.620000, train avg acc: 0.621650
Test 2, loss: 2.857042, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.320420, train acc: 0.653333, train avg acc: 0.653272
Test 3, loss: 4.463204, test acc: 0.300000, test avg acc: 0.275000
Train 4, loss: 1.479532, train acc: 0.593333, train avg acc: 0.595461
Test 4, loss: 2.437114, test acc: 0.325000, test avg acc: 0.300000
Train 5, loss: 1.230338, train acc: 0.706667, train avg acc: 0.704802
Test 5, loss: 1.243106, test acc: 0.650000, test avg acc: 0.633333
Train 6, loss: 1.300360, train acc: 0.680000, train avg acc: 0.684708
Test 6, loss: 1.209892, test acc: 0.725000, test avg acc: 0.719444
Train 7, loss: 1.330521, train acc: 0.686667, train avg acc: 0.686668
Test 7, loss: 1.554508, test acc: 0.575000, test avg acc: 0.569697
Train 8, loss: 1.398100, train acc: 0.653333, train avg acc: 0.656801
Test 8, loss: 1.316666, test acc: 0.700000, test avg acc: 0.675000
Train 9, loss: 1.336425, train acc: 0.666667, train avg acc: 0.667507
Test 9, loss: 0.987719, test acc: 0.800000, test avg acc: 0.786111
Train 10, loss: 1.345763, train acc: 0.626667, train avg acc: 0.640349
Test 10, loss: 1.874348, test acc: 0.625000, test avg acc: 0.602778
Train 11, loss: 1.239700, train acc: 0.780000, train avg acc: 0.773646
Test 11, loss: 1.248890, test acc: 0.700000, test avg acc: 0.688889
Train 12, loss: 1.210920, train acc: 0.720000, train avg acc: 0.720760
Test 12, loss: 1.171331, test acc: 0.775000, test avg acc: 0.755556
Train 13, loss: 1.382567, train acc: 0.673333, train avg acc: 0.670708
Test 13, loss: 1.222287, test acc: 0.700000, test avg acc: 0.700000
Train 14, loss: 1.211195, train acc: 0.720000, train avg acc: 0.720911
Test 14, loss: 1.065671, test acc: 0.725000, test avg acc: 0.702778
Train 15, loss: 1.191029, train acc: 0.720000, train avg acc: 0.717582
Test 15, loss: 1.014383, test acc: 0.725000, test avg acc: 0.722222
Train 16, loss: 1.195735, train acc: 0.720000, train avg acc: 0.722699
Test 16, loss: 1.012810, test acc: 0.800000, test avg acc: 0.780556
Train 17, loss: 1.102348, train acc: 0.713333, train avg acc: 0.716374
Test 17, loss: 1.017768, test acc: 0.750000, test avg acc: 0.744444
Train 18, loss: 1.116450, train acc: 0.806667, train avg acc: 0.806328
