K: 15, local_K: 15, Batch: 28.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 0, loss: 1.309944, train acc: 0.521429, train avg acc: 0.516070
Test 0, loss: 2.291413, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.336586, train acc: 0.564286, train avg acc: 0.567042
Test 1, loss: 5.467200, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.405469, train acc: 0.642857, train avg acc: 0.640313
Test 2, loss: 1.794261, test acc: 0.350000, test avg acc: 0.325000
Train 3, loss: 1.409732, train acc: 0.657143, train avg acc: 0.649898
Test 3, loss: 4.254397, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.339969, train acc: 0.614286, train avg acc: 0.617647
Test 4, loss: 1.390668, test acc: 0.575000, test avg acc: 0.552778
Train 5, loss: 1.527224, train acc: 0.700000, train avg acc: 0.700000
Test 5, loss: 1.325034, test acc: 0.475000, test avg acc: 0.480808
Train 6, loss: 1.560120, train acc: 0.585714, train avg acc: 0.586438
Test 6, loss: 1.566840, test acc: 0.550000, test avg acc: 0.527778
Train 7, loss: 1.604594, train acc: 0.492857, train avg acc: 0.500696
Test 7, loss: 1.515884, test acc: 0.500000, test avg acc: 0.475000
Train 8, loss: 1.610974, train acc: 0.621429, train avg acc: 0.622672
Test 8, loss: 1.945253, test acc: 0.750000, test avg acc: 0.750000
Train 9, loss: 1.719552, train acc: 0.664286, train avg acc: 0.667528
Test 9, loss: 1.410821, test acc: 0.725000, test avg acc: 0.702778
Train 10, loss: 1.372693, train acc: 0.657143, train avg acc: 0.672305
Test 10, loss: 1.285132, test acc: 0.725000, test avg acc: 0.705556
Train 11, loss: 1.492158, train acc: 0.614286, train avg acc: 0.607666
Test 11, loss: 1.091712, test acc: 0.800000, test avg acc: 0.797222
Train 12, loss: 1.297128, train acc: 0.664286, train avg acc: 0.664899
Test 12, loss: 1.192478, test acc: 0.775000, test avg acc: 0.752778
Train 13, loss: 1.435669, train acc: 0.735714, train avg acc: 0.736302
Test 13, loss: 1.493053, test acc: 0.725000, test avg acc: 0.722222
Train 14, loss: 1.292972, train acc: 0.621429, train avg acc: 0.619690
Test 14, loss: 0.996585, test acc: 0.750000, test avg acc: 0.725000
Train 15, loss: 1.268718, train acc: 0.714286, train avg acc: 0.722388
Test 15, loss: 1.337617, test acc: 0.775000, test avg acc: 0.775000
Train 16, loss: 1.262368, train acc: 0.678571, train avg acc: 0.681725
Test 16, loss: 1.084796, test acc: 0.750000, test avg acc: 0.744444
Train 17, loss: 1.114518, train acc: 0.728571, train avg acc: 0.728933
Test 17, loss: 1.118631, test acc: 0.650000, test avg acc: 0.644444
