K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Train 0, loss: 2.154002, train acc: 0.173333, train avg acc: 0.172770
Test 0, loss: 2.221984, test acc: 0.225000, test avg acc: 0.250000
Train 1, loss: 4.171180, train acc: 0.246667, train avg acc: 0.243643
Test 1, loss: 6.700605, test acc: 0.250000, test avg acc: 0.272222
Train 2, loss: 4.206754, train acc: 0.273333, train avg acc: 0.274986
Test 2, loss: 17.862091, test acc: 0.250000, test avg acc: 0.252778
Train 3, loss: 4.528941, train acc: 0.286667, train avg acc: 0.285213
Test 3, loss: 12.553924, test acc: 0.275000, test avg acc: 0.275000
Train 4, loss: 4.137959, train acc: 0.300000, train avg acc: 0.298655
Test 4, loss: 16.500701, test acc: 0.150000, test avg acc: 0.155556
Train 5, loss: 5.396086, train acc: 0.253333, train avg acc: 0.251026
Test 5, loss: 5.018392, test acc: 0.175000, test avg acc: 0.194444
Train 6, loss: 3.489820, train acc: 0.300000, train avg acc: 0.296838
Test 6, loss: 6.076956, test acc: 0.275000, test avg acc: 0.275000
Train 7, loss: 3.331158, train acc: 0.280000, train avg acc: 0.277923
Test 7, loss: 8.076580, test acc: 0.175000, test avg acc: 0.186616
Train 8, loss: 3.320849, train acc: 0.326667, train avg acc: 0.328191
Test 8, loss: 4.449169, test acc: 0.350000, test avg acc: 0.327273
Train 9, loss: 3.546764, train acc: 0.260000, train avg acc: 0.257929
Test 9, loss: 9.813203, test acc: 0.200000, test avg acc: 0.213889
Train 10, loss: 2.925244, train acc: 0.266667, train avg acc: 0.264608
Test 10, loss: 4.802488, test acc: 0.300000, test avg acc: 0.300000
Train 11, loss: 2.416978, train acc: 0.260000, train avg acc: 0.260859
Test 11, loss: 4.690332, test acc: 0.125000, test avg acc: 0.138889
Train 12, loss: 2.203083, train acc: 0.286667, train avg acc: 0.294963
Test 12, loss: 2.520946, test acc: 0.200000, test avg acc: 0.213889
Train 13, loss: 2.307831, train acc: 0.300000, train avg acc: 0.296015
Test 13, loss: 3.171050, test acc: 0.225000, test avg acc: 0.236111
Train 14, loss: 2.373952, train acc: 0.213333, train avg acc: 0.212728
Test 14, loss: 1.837967, test acc: 0.250000, test avg acc: 0.238636
Train 15, loss: 1.919704, train acc: 0.306667, train avg acc: 0.303931
Test 15, loss: 1.652662, test acc: 0.200000, test avg acc: 0.208838
Train 16, loss: 1.807288, train acc: 0.233333, train avg acc: 0.231140
Test 16, loss: 1.624246, test acc: 0.225000, test avg acc: 0.226010
Train 17, loss: 1.735564, train acc: 0.313333, train avg acc: 0.334135
Test 17, loss: 1.496154, test acc: 0.225000, test avg acc: 0.220455
Train 18, loss: 1.680948, train acc: 0.186667, train avg acc: 0.191911
Test 18, loss: 1.634438, test acc: 0.300000, test avg acc: 0.306566
Train 19, loss: 1.490016, train acc: 0.306667, train avg acc: 0.301418
Test 19, loss: 1.433833, test acc: 0.200000, test avg acc: 0.193182
Train 20, loss: 1.527987, train acc: 0.346667, train avg acc: 0.345273
Test 20, loss: 1.382585, test acc: 0.325000, test avg acc: 0.336111
Train 21, loss: 1.514030, train acc: 0.253333, train avg acc: 0.249053
Test 21, loss: 1.486983, test acc: 0.325000, test avg acc: 0.322980
Train 22, loss: 1.426091, train acc: 0.320000, train avg acc: 0.316758
Test 22, loss: 1.512013, test acc: 0.350000, test avg acc: 0.332828
Train 23, loss: 1.454914, train acc: 0.313333, train avg acc: 0.321000
Test 23, loss: 1.446630, test acc: 0.200000, test avg acc: 0.186869
Train 24, loss: 1.411334, train acc: 0.233333, train avg acc: 0.233214
Test 24, loss: 1.413736, test acc: 0.250000, test avg acc: 0.261111
Train 25, loss: 1.435488, train acc: 0.246667, train avg acc: 0.249399
Test 25, loss: 1.420550, test acc: 0.150000, test avg acc: 0.155556
Train 26, loss: 1.413057, train acc: 0.253333, train avg acc: 0.250073
Test 26, loss: 1.400900, test acc: 0.275000, test avg acc: 0.277525
Train 27, loss: 1.381251, train acc: 0.333333, train avg acc: 0.335759
Test 27, loss: 1.416115, test acc: 0.300000, test avg acc: 0.299747
Train 28, loss: 1.377714, train acc: 0.333333, train avg acc: 0.338675
Test 28, loss: 1.446931, test acc: 0.200000, test avg acc: 0.195455
Train 29, loss: 1.385396, train acc: 0.333333, train avg acc: 0.334137
Test 29, loss: 1.393619, test acc: 0.300000, test avg acc: 0.296465
Train 30, loss: 1.390856, train acc: 0.313333, train avg acc: 0.314322
Test 30, loss: 1.402273, test acc: 0.350000, test avg acc: 0.344192
Train 31, loss: 1.356611, train acc: 0.340000, train avg acc: 0.338944
Test 31, loss: 1.409422, test acc: 0.250000, test avg acc: 0.249747
Train 32, loss: 1.376305, train acc: 0.286667, train avg acc: 0.296730
Test 32, loss: 1.422557, test acc: 0.250000, test avg acc: 0.244192
Train 33, loss: 1.361329, train acc: 0.286667, train avg acc: 0.295850
Test 33, loss: 1.418186, test acc: 0.250000, test avg acc: 0.252525
Train 34, loss: 1.386611, train acc: 0.300000, train avg acc: 0.300300
Test 34, loss: 1.381121, test acc: 0.300000, test avg acc: 0.302525
Train 35, loss: 1.357867, train acc: 0.306667, train avg acc: 0.307692
Test 35, loss: 1.355207, test acc: 0.400000, test avg acc: 0.407576
Train 36, loss: 1.385720, train acc: 0.313333, train avg acc: 0.313686
Test 36, loss: 1.366423, test acc: 0.325000, test avg acc: 0.324747
Train 37, loss: 1.372939, train acc: 0.300000, train avg acc: 0.304288
Test 37, loss: 1.373612, test acc: 0.350000, test avg acc: 0.339646
Train 38, loss: 1.379130, train acc: 0.293333, train avg acc: 0.295571
Test 38, loss: 1.380117, test acc: 0.250000, test avg acc: 0.253788
Train 39, loss: 1.374240, train acc: 0.340000, train avg acc: 0.346386
Test 39, loss: 1.396714, test acc: 0.225000, test avg acc: 0.228283
Train 40, loss: 1.327876, train acc: 0.386667, train avg acc: 0.382883
Test 40, loss: 1.400377, test acc: 0.275000, test avg acc: 0.271465
Train 41, loss: 1.384168, train acc: 0.313333, train avg acc: 0.312027
Test 41, loss: 1.386888, test acc: 0.375000, test avg acc: 0.360606
Train 42, loss: 1.367941, train acc: 0.340000, train avg acc: 0.340295
Test 42, loss: 1.371431, test acc: 0.450000, test avg acc: 0.438384
Train 43, loss: 1.358268, train acc: 0.386667, train avg acc: 0.384087
Test 43, loss: 1.359327, test acc: 0.450000, test avg acc: 0.441162
Train 44, loss: 1.342369, train acc: 0.426667, train avg acc: 0.422315
Test 44, loss: 1.377240, test acc: 0.325000, test avg acc: 0.317929
Train 45, loss: 1.346658, train acc: 0.380000, train avg acc: 0.389070
Test 45, loss: 1.364363, test acc: 0.375000, test avg acc: 0.366162
Train 46, loss: 1.352184, train acc: 0.393333, train avg acc: 0.390645
Test 46, loss: 1.365359, test acc: 0.375000, test avg acc: 0.363384
Train 47, loss: 1.376488, train acc: 0.320000, train avg acc: 0.316155
Test 47, loss: 1.386036, test acc: 0.300000, test avg acc: 0.289646
Train 48, loss: 1.347157, train acc: 0.326667, train avg acc: 0.327906
Test 48, loss: 1.383598, test acc: 0.350000, test avg acc: 0.348737
Train 49, loss: 1.363916, train acc: 0.333333, train avg acc: 0.332980
Test 49, loss: 1.383020, test acc: 0.275000, test avg acc: 0.275505
Train 50, loss: 1.337938, train acc: 0.373333, train avg acc: 0.371847
Test 50, loss: 1.373057, test acc: 0.300000, test avg acc: 0.293182
Train 51, loss: 1.355302, train acc: 0.400000, train avg acc: 0.402205
Test 51, loss: 1.365096, test acc: 0.325000, test avg acc: 0.311364
Train 52, loss: 1.366951, train acc: 0.366667, train avg acc: 0.376788
Test 52, loss: 1.398597, test acc: 0.250000, test avg acc: 0.240909
Train 53, loss: 1.364225, train acc: 0.346667, train avg acc: 0.345484
Test 53, loss: 1.402843, test acc: 0.175000, test avg acc: 0.165909
Train 54, loss: 1.355492, train acc: 0.380000, train avg acc: 0.379159
Test 54, loss: 1.391080, test acc: 0.275000, test avg acc: 0.261869
Train 55, loss: 1.353716, train acc: 0.346667, train avg acc: 0.350191
Test 55, loss: 1.386947, test acc: 0.350000, test avg acc: 0.327273
Train 56, loss: 1.344665, train acc: 0.360000, train avg acc: 0.361817
Test 56, loss: 1.369294, test acc: 0.400000, test avg acc: 0.381818
Train 57, loss: 1.344629, train acc: 0.393333, train avg acc: 0.396946
Test 57, loss: 1.386494, test acc: 0.425000, test avg acc: 0.402273
Train 58, loss: 1.366666, train acc: 0.300000, train avg acc: 0.300684
Test 58, loss: 1.345697, test acc: 0.475000, test avg acc: 0.459596
Train 59, loss: 1.345336, train acc: 0.373333, train avg acc: 0.370802
Test 59, loss: 1.358597, test acc: 0.350000, test avg acc: 0.339646
Train 60, loss: 1.357379, train acc: 0.320000, train avg acc: 0.323407
Test 60, loss: 1.369739, test acc: 0.400000, test avg acc: 0.389646
Train 61, loss: 1.361478, train acc: 0.380000, train avg acc: 0.377489
Test 61, loss: 1.383857, test acc: 0.300000, test avg acc: 0.286364
Train 62, loss: 1.351143, train acc: 0.360000, train avg acc: 0.365497
Test 62, loss: 1.360452, test acc: 0.375000, test avg acc: 0.352273
Train 63, loss: 1.331432, train acc: 0.333333, train avg acc: 0.341527
Test 63, loss: 1.354490, test acc: 0.275000, test avg acc: 0.265909
Train 64, loss: 1.334422, train acc: 0.360000, train avg acc: 0.366715
Test 64, loss: 1.327030, test acc: 0.500000, test avg acc: 0.482828
Train 65, loss: 1.326832, train acc: 0.393333, train avg acc: 0.399472
Test 65, loss: 1.327134, test acc: 0.450000, test avg acc: 0.430556
Train 66, loss: 1.354742, train acc: 0.320000, train avg acc: 0.321265
Test 66, loss: 1.367086, test acc: 0.300000, test avg acc: 0.300000
Train 67, loss: 1.321236, train acc: 0.386667, train avg acc: 0.389730
Test 67, loss: 1.405176, test acc: 0.325000, test avg acc: 0.322727
Train 68, loss: 1.308733, train acc: 0.413333, train avg acc: 0.416984
Test 68, loss: 1.412239, test acc: 0.225000, test avg acc: 0.225000
Train 69, loss: 1.320707, train acc: 0.360000, train avg acc: 0.359500
Test 69, loss: 1.386318, test acc: 0.250000, test avg acc: 0.245455
Train 70, loss: 1.324878, train acc: 0.406667, train avg acc: 0.410073
Test 70, loss: 1.377465, test acc: 0.275000, test avg acc: 0.270455
Train 71, loss: 1.310664, train acc: 0.460000, train avg acc: 0.462058
Test 71, loss: 1.396899, test acc: 0.375000, test avg acc: 0.366414
Train 72, loss: 1.287035, train acc: 0.420000, train avg acc: 0.421897
Test 72, loss: 1.342035, test acc: 0.400000, test avg acc: 0.382828
Train 73, loss: 1.331525, train acc: 0.386667, train avg acc: 0.385016
Test 73, loss: 1.339990, test acc: 0.350000, test avg acc: 0.330556
Train 74, loss: 1.303555, train acc: 0.440000, train avg acc: 0.440078
Test 74, loss: 1.337153, test acc: 0.400000, test avg acc: 0.380556
Train 75, loss: 1.348396, train acc: 0.380000, train avg acc: 0.380487
Test 75, loss: 1.328268, test acc: 0.475000, test avg acc: 0.457323
Train 76, loss: 1.289552, train acc: 0.493333, train avg acc: 0.498173
Test 76, loss: 1.313258, test acc: 0.375000, test avg acc: 0.360101
Train 77, loss: 1.294305, train acc: 0.426667, train avg acc: 0.433671
Test 77, loss: 1.331612, test acc: 0.375000, test avg acc: 0.378030
Train 78, loss: 1.312101, train acc: 0.346667, train avg acc: 0.357179
Test 78, loss: 1.327044, test acc: 0.475000, test avg acc: 0.472980
Train 79, loss: 1.302770, train acc: 0.413333, train avg acc: 0.412873
Test 79, loss: 1.336475, test acc: 0.425000, test avg acc: 0.437121
Train 80, loss: 1.277416, train acc: 0.480000, train avg acc: 0.476460
Test 80, loss: 1.330035, test acc: 0.400000, test avg acc: 0.402525
Train 81, loss: 1.289446, train acc: 0.460000, train avg acc: 0.458779
Test 81, loss: 1.359112, test acc: 0.375000, test avg acc: 0.372475
Train 82, loss: 1.313441, train acc: 0.413333, train avg acc: 0.416701
Test 82, loss: 1.334137, test acc: 0.425000, test avg acc: 0.415657
Train 83, loss: 1.302292, train acc: 0.406667, train avg acc: 0.406738
Test 83, loss: 1.429567, test acc: 0.375000, test avg acc: 0.352778
Train 84, loss: 1.292263, train acc: 0.493333, train avg acc: 0.500085
Test 84, loss: 1.327381, test acc: 0.400000, test avg acc: 0.375000
Train 85, loss: 1.316529, train acc: 0.426667, train avg acc: 0.429314
Test 85, loss: 1.341875, test acc: 0.350000, test avg acc: 0.335606
Train 86, loss: 1.324151, train acc: 0.420000, train avg acc: 0.422543
Test 86, loss: 1.354473, test acc: 0.300000, test avg acc: 0.285101
Train 87, loss: 1.307401, train acc: 0.400000, train avg acc: 0.403628
Test 87, loss: 1.368567, test acc: 0.400000, test avg acc: 0.383333
Train 88, loss: 1.277829, train acc: 0.506667, train avg acc: 0.505631
Test 88, loss: 1.321825, test acc: 0.475000, test avg acc: 0.461111
Train 89, loss: 1.301862, train acc: 0.433333, train avg acc: 0.438509
Test 89, loss: 1.395144, test acc: 0.250000, test avg acc: 0.255556
Train 90, loss: 1.311816, train acc: 0.380000, train avg acc: 0.383554
Test 90, loss: 1.365901, test acc: 0.325000, test avg acc: 0.321465
Train 91, loss: 1.297855, train acc: 0.393333, train avg acc: 0.396063
Test 91, loss: 1.347919, test acc: 0.375000, test avg acc: 0.360101
Train 92, loss: 1.292572, train acc: 0.446667, train avg acc: 0.446161
Test 92, loss: 1.385921, test acc: 0.400000, test avg acc: 0.385101
Train 93, loss: 1.314065, train acc: 0.393333, train avg acc: 0.395626
Test 93, loss: 1.363862, test acc: 0.350000, test avg acc: 0.351515
Train 94, loss: 1.295738, train acc: 0.466667, train avg acc: 0.474452
Test 94, loss: 1.374426, test acc: 0.300000, test avg acc: 0.313889
Train 95, loss: 1.250221, train acc: 0.440000, train avg acc: 0.439291
Test 95, loss: 1.530615, test acc: 0.375000, test avg acc: 0.383333
Train 96, loss: 1.247726, train acc: 0.533333, train avg acc: 0.541041
Test 96, loss: 1.369503, test acc: 0.375000, test avg acc: 0.378788
Train 97, loss: 1.256627, train acc: 0.500000, train avg acc: 0.502871
Test 97, loss: 1.320096, test acc: 0.425000, test avg acc: 0.421970
Train 98, loss: 1.243459, train acc: 0.493333, train avg acc: 0.497186
Test 98, loss: 1.284422, test acc: 0.600000, test avg acc: 0.598990
Train 99, loss: 1.260144, train acc: 0.480000, train avg acc: 0.484279
Test 99, loss: 1.272165, test acc: 0.500000, test avg acc: 0.486111
Train 100, loss: 1.243067, train acc: 0.466667, train avg acc: 0.468122
Test 100, loss: 1.280353, test acc: 0.550000, test avg acc: 0.536111
Train 101, loss: 1.272746, train acc: 0.486667, train avg acc: 0.483118
Test 101, loss: 1.257814, test acc: 0.475000, test avg acc: 0.461111
Train 102, loss: 1.244707, train acc: 0.493333, train avg acc: 0.497807
Test 102, loss: 1.289645, test acc: 0.475000, test avg acc: 0.461111
Train 103, loss: 1.252459, train acc: 0.500000, train avg acc: 0.500638
Test 103, loss: 1.270193, test acc: 0.475000, test avg acc: 0.468434
Train 104, loss: 1.244292, train acc: 0.500000, train avg acc: 0.500173
Test 104, loss: 1.263896, test acc: 0.475000, test avg acc: 0.458333
Train 105, loss: 1.260811, train acc: 0.506667, train avg acc: 0.507257
Test 105, loss: 1.286296, test acc: 0.475000, test avg acc: 0.452778
Train 106, loss: 1.243325, train acc: 0.513333, train avg acc: 0.513633
Test 106, loss: 1.342719, test acc: 0.425000, test avg acc: 0.405556
Train 107, loss: 1.244237, train acc: 0.493333, train avg acc: 0.499770
Test 107, loss: 1.328360, test acc: 0.425000, test avg acc: 0.405556
Train 108, loss: 1.300844, train acc: 0.440000, train avg acc: 0.441826
Test 108, loss: 1.295423, test acc: 0.450000, test avg acc: 0.432828
Train 109, loss: 1.234537, train acc: 0.480000, train avg acc: 0.481570
Test 109, loss: 1.307298, test acc: 0.400000, test avg acc: 0.403030
Train 110, loss: 1.241780, train acc: 0.493333, train avg acc: 0.497616
Test 110, loss: 1.342859, test acc: 0.250000, test avg acc: 0.258838
Train 111, loss: 1.230413, train acc: 0.493333, train avg acc: 0.495726
Test 111, loss: 1.349076, test acc: 0.475000, test avg acc: 0.462374
Train 112, loss: 1.209383, train acc: 0.586667, train avg acc: 0.588193
Test 112, loss: 1.337680, test acc: 0.425000, test avg acc: 0.416919
Train 113, loss: 1.253374, train acc: 0.520000, train avg acc: 0.519795
