K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Train 0, loss: 1.941703, train acc: 0.240000, train avg acc: 0.239401
Test 0, loss: 1.824820, test acc: 0.225000, test avg acc: 0.250000
Train 1, loss: 3.390679, train acc: 0.220000, train avg acc: 0.216835
Test 1, loss: 5.797629, test acc: 0.225000, test avg acc: 0.250000
Train 2, loss: 3.638125, train acc: 0.246667, train avg acc: 0.249234
Test 2, loss: 6.250019, test acc: 0.300000, test avg acc: 0.313889
Train 3, loss: 3.924991, train acc: 0.266667, train avg acc: 0.266546
Test 3, loss: 7.417710, test acc: 0.275000, test avg acc: 0.297222
Train 4, loss: 4.258154, train acc: 0.260000, train avg acc: 0.256755
Test 4, loss: 15.385509, test acc: 0.250000, test avg acc: 0.250000
Train 5, loss: 4.158166, train acc: 0.226667, train avg acc: 0.227457
Test 5, loss: 19.030710, test acc: 0.225000, test avg acc: 0.250000
Train 6, loss: 3.844900, train acc: 0.320000, train avg acc: 0.321868
Test 6, loss: 15.324578, test acc: 0.275000, test avg acc: 0.288889
Train 7, loss: 3.744423, train acc: 0.313333, train avg acc: 0.307583
Test 7, loss: 8.598944, test acc: 0.325000, test avg acc: 0.327778
Train 8, loss: 3.884379, train acc: 0.260000, train avg acc: 0.260567
Test 8, loss: 6.849893, test acc: 0.275000, test avg acc: 0.272727
Train 9, loss: 2.957023, train acc: 0.353333, train avg acc: 0.356944
Test 9, loss: 4.960733, test acc: 0.300000, test avg acc: 0.300000
Train 10, loss: 3.267649, train acc: 0.240000, train avg acc: 0.242706
Test 10, loss: 2.022922, test acc: 0.350000, test avg acc: 0.338636
Train 11, loss: 2.751251, train acc: 0.306667, train avg acc: 0.308868
Test 11, loss: 3.681471, test acc: 0.225000, test avg acc: 0.230556
Train 12, loss: 3.064359, train acc: 0.306667, train avg acc: 0.303147
Test 12, loss: 2.389215, test acc: 0.250000, test avg acc: 0.254798
Train 13, loss: 2.087972, train acc: 0.386667, train avg acc: 0.380230
Test 13, loss: 1.981679, test acc: 0.350000, test avg acc: 0.334091
Train 14, loss: 2.354940, train acc: 0.240000, train avg acc: 0.242005
Test 14, loss: 2.049366, test acc: 0.300000, test avg acc: 0.300000
Train 15, loss: 2.395854, train acc: 0.280000, train avg acc: 0.279820
Test 15, loss: 1.830765, test acc: 0.275000, test avg acc: 0.284848
Train 16, loss: 1.978775, train acc: 0.280000, train avg acc: 0.277595
Test 16, loss: 1.653199, test acc: 0.350000, test avg acc: 0.355556
Train 17, loss: 1.864331, train acc: 0.213333, train avg acc: 0.210697
Test 17, loss: 1.634965, test acc: 0.275000, test avg acc: 0.277778
Train 18, loss: 1.715217, train acc: 0.240000, train avg acc: 0.238450
Test 18, loss: 1.528989, test acc: 0.250000, test avg acc: 0.258333
Train 19, loss: 1.614934, train acc: 0.326667, train avg acc: 0.322880
Test 19, loss: 1.452837, test acc: 0.300000, test avg acc: 0.312121
Train 20, loss: 1.560723, train acc: 0.313333, train avg acc: 0.319048
Test 20, loss: 1.522599, test acc: 0.325000, test avg acc: 0.306818
Train 21, loss: 1.624869, train acc: 0.280000, train avg acc: 0.281206
Test 21, loss: 1.448013, test acc: 0.275000, test avg acc: 0.270455
Train 22, loss: 1.500209, train acc: 0.340000, train avg acc: 0.336442
Test 22, loss: 1.432644, test acc: 0.250000, test avg acc: 0.264899
Train 23, loss: 1.476196, train acc: 0.273333, train avg acc: 0.269804
Test 23, loss: 1.378562, test acc: 0.300000, test avg acc: 0.299747
Train 24, loss: 1.438374, train acc: 0.333333, train avg acc: 0.336913
Test 24, loss: 1.345654, test acc: 0.325000, test avg acc: 0.325505
Train 25, loss: 1.481473, train acc: 0.280000, train avg acc: 0.269144
Test 25, loss: 1.403637, test acc: 0.275000, test avg acc: 0.280556
Train 26, loss: 1.391098, train acc: 0.266667, train avg acc: 0.271382
Test 26, loss: 1.410588, test acc: 0.200000, test avg acc: 0.198232
Train 27, loss: 1.403053, train acc: 0.286667, train avg acc: 0.285343
Test 27, loss: 1.393704, test acc: 0.300000, test avg acc: 0.300000
Train 28, loss: 1.398743, train acc: 0.326667, train avg acc: 0.329060
Test 28, loss: 1.380574, test acc: 0.350000, test avg acc: 0.340909
Train 29, loss: 1.384724, train acc: 0.333333, train avg acc: 0.335599
Test 29, loss: 1.338348, test acc: 0.350000, test avg acc: 0.354293
Train 30, loss: 1.354630, train acc: 0.313333, train avg acc: 0.315020
Test 30, loss: 1.337411, test acc: 0.475000, test avg acc: 0.477020
Train 31, loss: 1.382652, train acc: 0.333333, train avg acc: 0.331754
