K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Train 0, loss: 1.512568, train acc: 0.426667, train avg acc: 0.429867
Test 0, loss: 3.227758, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.680237, train acc: 0.580000, train avg acc: 0.582226
Test 1, loss: 5.954679, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 2.082699, train acc: 0.546667, train avg acc: 0.548282
Test 2, loss: 4.028923, test acc: 0.500000, test avg acc: 0.475000
Train 3, loss: 2.404207, train acc: 0.613333, train avg acc: 0.615385
Test 3, loss: 9.070746, test acc: 0.525000, test avg acc: 0.500000
Train 4, loss: 3.260411, train acc: 0.513333, train avg acc: 0.520833
Test 4, loss: 18.443010, test acc: 0.525000, test avg acc: 0.500000
Train 5, loss: 2.760960, train acc: 0.613333, train avg acc: 0.612171
Test 5, loss: 14.756312, test acc: 0.525000, test avg acc: 0.500000
Train 6, loss: 2.731071, train acc: 0.600000, train avg acc: 0.594611
Test 6, loss: 4.403340, test acc: 0.550000, test avg acc: 0.550000
Train 7, loss: 2.194748, train acc: 0.646667, train avg acc: 0.645003
Test 7, loss: 6.939752, test acc: 0.550000, test avg acc: 0.529545
Train 8, loss: 2.589220, train acc: 0.613333, train avg acc: 0.623007
Test 8, loss: 2.847086, test acc: 0.625000, test avg acc: 0.634091
Train 9, loss: 2.460990, train acc: 0.580000, train avg acc: 0.593715
Test 9, loss: 2.667007, test acc: 0.675000, test avg acc: 0.656818
Train 10, loss: 2.081592, train acc: 0.700000, train avg acc: 0.702553
Test 10, loss: 3.091643, test acc: 0.625000, test avg acc: 0.600000
Train 11, loss: 1.895072, train acc: 0.713333, train avg acc: 0.713617
Test 11, loss: 1.918489, test acc: 0.750000, test avg acc: 0.725000
Train 12, loss: 1.677436, train acc: 0.680000, train avg acc: 0.685869
Test 12, loss: 2.428883, test acc: 0.600000, test avg acc: 0.586364
Train 13, loss: 1.609758, train acc: 0.720000, train avg acc: 0.719620
Test 13, loss: 1.881734, test acc: 0.700000, test avg acc: 0.675000
Train 14, loss: 1.633024, train acc: 0.640000, train avg acc: 0.636430
Test 14, loss: 1.509824, test acc: 0.700000, test avg acc: 0.691667
Train 15, loss: 1.582591, train acc: 0.640000, train avg acc: 0.642405
Test 15, loss: 1.284768, test acc: 0.825000, test avg acc: 0.805556
Train 16, loss: 1.537154, train acc: 0.653333, train avg acc: 0.651421
Test 16, loss: 1.662732, test acc: 0.725000, test avg acc: 0.711111
Train 17, loss: 1.596553, train acc: 0.733333, train avg acc: 0.733544
Test 17, loss: 1.412436, test acc: 0.800000, test avg acc: 0.800000
Train 18, loss: 1.418601, train acc: 0.733333, train avg acc: 0.732780
Test 18, loss: 1.380297, test acc: 0.775000, test avg acc: 0.772222
Train 19, loss: 1.487644, train acc: 0.706667, train avg acc: 0.704317
Test 19, loss: 1.387235, test acc: 0.750000, test avg acc: 0.744444
Train 20, loss: 1.491578, train acc: 0.766667, train avg acc: 0.766132
Test 20, loss: 1.335740, test acc: 0.775000, test avg acc: 0.772222
Train 21, loss: 1.320878, train acc: 0.666667, train avg acc: 0.670691
Test 21, loss: 1.039798, test acc: 0.750000, test avg acc: 0.738889
Train 22, loss: 1.250856, train acc: 0.800000, train avg acc: 0.801388
Test 22, loss: 1.298286, test acc: 0.675000, test avg acc: 0.650000
Train 23, loss: 1.213705, train acc: 0.780000, train avg acc: 0.779971
Test 23, loss: 1.243753, test acc: 0.525000, test avg acc: 0.500000
Train 24, loss: 1.107435, train acc: 0.766667, train avg acc: 0.764546
