K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Train 0, loss: 1.580677, train acc: 0.400000, train avg acc: 0.403956
Test 0, loss: 2.385940, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.412492, train acc: 0.653333, train avg acc: 0.655649
Test 1, loss: 2.438868, test acc: 0.500000, test avg acc: 0.500000
Train 2, loss: 1.732258, train acc: 0.586667, train avg acc: 0.589145
Test 2, loss: 1.551076, test acc: 0.675000, test avg acc: 0.672222
Train 3, loss: 1.821146, train acc: 0.573333, train avg acc: 0.573458
Test 3, loss: 4.518630, test acc: 0.525000, test avg acc: 0.500000
Train 4, loss: 2.027735, train acc: 0.666667, train avg acc: 0.674145
Test 4, loss: 5.496285, test acc: 0.450000, test avg acc: 0.456818
Train 5, loss: 2.063952, train acc: 0.620000, train avg acc: 0.619115
Test 5, loss: 6.442059, test acc: 0.525000, test avg acc: 0.500000
Train 6, loss: 2.200818, train acc: 0.613333, train avg acc: 0.609222
Test 6, loss: 2.606061, test acc: 0.575000, test avg acc: 0.555556
Train 7, loss: 2.344760, train acc: 0.640000, train avg acc: 0.632323
Test 7, loss: 3.217305, test acc: 0.350000, test avg acc: 0.325000
Train 8, loss: 2.368508, train acc: 0.606667, train avg acc: 0.613429
Test 8, loss: 3.086979, test acc: 0.725000, test avg acc: 0.722222
Train 9, loss: 2.194646, train acc: 0.553333, train avg acc: 0.562955
Test 9, loss: 2.109888, test acc: 0.700000, test avg acc: 0.700000
Train 10, loss: 2.180443, train acc: 0.620000, train avg acc: 0.627309
Test 10, loss: 3.971698, test acc: 0.600000, test avg acc: 0.583333
Train 11, loss: 1.980012, train acc: 0.606667, train avg acc: 0.605509
Test 11, loss: 4.316722, test acc: 0.525000, test avg acc: 0.500000
Train 12, loss: 2.278052, train acc: 0.593333, train avg acc: 0.602296
Test 12, loss: 2.355916, test acc: 0.450000, test avg acc: 0.427778
Train 13, loss: 1.785751, train acc: 0.620000, train avg acc: 0.621405
Test 13, loss: 5.878557, test acc: 0.525000, test avg acc: 0.500000
Train 14, loss: 1.660012, train acc: 0.620000, train avg acc: 0.623311
Test 14, loss: 2.053910, test acc: 0.550000, test avg acc: 0.530556
Train 15, loss: 1.876002, train acc: 0.613333, train avg acc: 0.617591
Test 15, loss: 1.802053, test acc: 0.775000, test avg acc: 0.752778
Train 16, loss: 1.961331, train acc: 0.706667, train avg acc: 0.705475
Test 16, loss: 2.137440, test acc: 0.600000, test avg acc: 0.583333
Train 17, loss: 1.571013, train acc: 0.706667, train avg acc: 0.704933
Test 17, loss: 1.318751, test acc: 0.725000, test avg acc: 0.702778
Train 18, loss: 1.375448, train acc: 0.713333, train avg acc: 0.713640
Test 18, loss: 1.594253, test acc: 0.700000, test avg acc: 0.686111
Train 19, loss: 1.372160, train acc: 0.733333, train avg acc: 0.734333
Test 19, loss: 1.247601, test acc: 0.800000, test avg acc: 0.780556
Train 20, loss: 1.294624, train acc: 0.733333, train avg acc: 0.734762
Test 20, loss: 1.331874, test acc: 0.750000, test avg acc: 0.727778
Train 21, loss: 1.177118, train acc: 0.720000, train avg acc: 0.724863
Test 21, loss: 1.039464, test acc: 0.725000, test avg acc: 0.708333
Train 22, loss: 1.234745, train acc: 0.713333, train avg acc: 0.711293
Test 22, loss: 1.226923, test acc: 0.775000, test avg acc: 0.755556
Train 23, loss: 1.186524, train acc: 0.760000, train avg acc: 0.759503
Test 23, loss: 1.058051, test acc: 0.675000, test avg acc: 0.666667
Train 24, loss: 1.080796, train acc: 0.760000, train avg acc: 0.758473
Test 24, loss: 1.220660, test acc: 0.725000, test avg acc: 0.722222
Train 25, loss: 1.135435, train acc: 0.840000, train avg acc: 0.838253
Test 25, loss: 1.148454, test acc: 0.725000, test avg acc: 0.722222
Train 26, loss: 1.176083, train acc: 0.706667, train avg acc: 0.701727
Test 26, loss: 1.117868, test acc: 0.750000, test avg acc: 0.736111
Train 27, loss: 1.107514, train acc: 0.806667, train avg acc: 0.807255
Test 27, loss: 1.085215, test acc: 0.700000, test avg acc: 0.688889
Train 28, loss: 1.118028, train acc: 0.813333, train avg acc: 0.816912
Test 28, loss: 1.023182, test acc: 0.725000, test avg acc: 0.722222
Train 29, loss: 1.149913, train acc: 0.706667, train avg acc: 0.706437
Test 29, loss: 1.180366, test acc: 0.750000, test avg acc: 0.747222
Train 30, loss: 1.128635, train acc: 0.800000, train avg acc: 0.802023
Test 30, loss: 1.030568, test acc: 0.750000, test avg acc: 0.747222
Train 31, loss: 1.055208, train acc: 0.760000, train avg acc: 0.759516
Test 31, loss: 0.940693, test acc: 0.750000, test avg acc: 0.747222
Train 32, loss: 1.023255, train acc: 0.833333, train avg acc: 0.837007
Test 32, loss: 1.071261, test acc: 0.775000, test avg acc: 0.772222
Train 33, loss: 1.026120, train acc: 0.833333, train avg acc: 0.836483
Test 33, loss: 0.936716, test acc: 0.700000, test avg acc: 0.686111
Train 34, loss: 1.044767, train acc: 0.786667, train avg acc: 0.786143
Test 34, loss: 1.073267, test acc: 0.750000, test avg acc: 0.730556
Train 35, loss: 1.078434, train acc: 0.826667, train avg acc: 0.831815
Test 35, loss: 0.951083, test acc: 0.775000, test avg acc: 0.755556
Train 36, loss: 1.009970, train acc: 0.780000, train avg acc: 0.788855
Test 36, loss: 0.950681, test acc: 0.750000, test avg acc: 0.730556
Train 37, loss: 1.045760, train acc: 0.766667, train avg acc: 0.766714
Test 37, loss: 1.020053, test acc: 0.775000, test avg acc: 0.769444
Train 38, loss: 0.986567, train acc: 0.820000, train avg acc: 0.821637
Test 38, loss: 0.958848, test acc: 0.800000, test avg acc: 0.786111
Train 39, loss: 0.964792, train acc: 0.833333, train avg acc: 0.835526
Test 39, loss: 0.961023, test acc: 0.750000, test avg acc: 0.736111
Train 40, loss: 0.955501, train acc: 0.806667, train avg acc: 0.809654
Test 40, loss: 0.943839, test acc: 0.725000, test avg acc: 0.713889
Train 41, loss: 0.974046, train acc: 0.853333, train avg acc: 0.859539
Test 41, loss: 0.991699, test acc: 0.775000, test avg acc: 0.769444
Train 42, loss: 0.970997, train acc: 0.840000, train avg acc: 0.844426
Test 42, loss: 0.980994, test acc: 0.775000, test avg acc: 0.769444
Train 43, loss: 0.957501, train acc: 0.826667, train avg acc: 0.827522
Test 43, loss: 0.949647, test acc: 0.775000, test avg acc: 0.763889
